area,year,context,question,options,correct_answer,bloom_level,difficult_level,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer,model
"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []",Qual é o tema central do contexto apresentado?,"{'A': 'A solidão do homem.', 'B': 'A importância da comunidade.', 'C': 'A individualidade absoluta.', 'D': 'A morte como fim inevitável.', 'E': 'A superioridade do indivíduo.'}",{'B': 'A importância da comunidade.'},Remember,Beginner,5,4,5,1,"A questão é altamente relevante, pois está diretamente relacionada ao contexto apresentado. Quanto à aderência, o nível de Bloom 'Remember' e a dificuldade 'Beginner' estão adequados para a pergunta proposta. A questão fornece informações suficientes para chegar à resposta correta, que é claramente indicada. A opção marcada como correta ('A importância da comunidade.') está de acordo com o tema central do contexto apresentado.","Score(precision=0.0, recall=0.0, fmeasure=0.0)",0.0,{B: A importância da comunidade.},"O tema central do contexto apresentado é a interconexão entre os seres humanos e a importância da comunidade. O trecho ressalta que nenhum indivíduo está isolado, mas sim faz parte de um todo, sendo afetado pela morte de qualquer outro ser humano.",gpt-3.5-turbo
"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []","De acordo com o texto, por que a morte de qualquer homem diminui o eu lírico?","{'A': 'Porque o eu lírico é egoísta.', 'B': 'Porque o eu lírico se sente parte da humanidade.', 'C': 'Porque o eu lírico tem medo da morte.', 'D': 'Porque o eu lírico é indiferente às pessoas.', 'E': 'Porque o eu lírico é um ilha isolada.'}",{'B': 'Porque o eu lírico se sente parte da humanidade.'},Understand,Intermediate,5,4,5,1,"A questão apresenta alta relevância, pois está diretamente relacionada ao contexto fornecido. Quanto à aderência, o nível de Bloom 'Understand' e a dificuldade 'Intermediate' estão adequados considerando a análise da questão. A resposta correta é clara e baseada no texto fornecido, facilitando a chegada à resposta. A opção marcada como correta ('Porque o eu lírico se sente parte da humanidade.') está correta de acordo com o texto apresentado.","Score(precision=0.058823529411764705, recall=0.030303030303030304, fmeasure=0.04)",3.351072670927232e-232,{B: Porque o eu lírico se sente parte da humanidade.},"O texto menciona que 'Every man is a piece of the continent, A part of the main', indicando que o eu lírico se sente como parte integrante da humanidade, e por isso a morte de qualquer homem o afeta e o diminui.",gpt-3.5-turbo
"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []",Qual é a principal mensagem transmitida no contexto em relação à interconexão entre os seres humanos?,"{'A': 'A solidão é a única forma de existência.', 'B': 'A morte é o fim de tudo.', 'C': 'A importância de se manter distante dos outros.', 'D': 'A ideia de que cada pessoa é parte de algo maior.', 'E': 'A individualidade é o valor supremo.'}",{'D': 'A ideia de que cada pessoa é parte de algo maior.'},Apply,Advanced,5,5,5,1,"A questão apresenta alta qualidade em todas as métricas avaliadas. A relevância é máxima, pois a pergunta está diretamente relacionada ao contexto fornecido. O nível de Bloom (Apply) e a dificuldade (Advanced) estão apropriados para a análise da mensagem transmitida. A questão fornece informações claras o suficiente para chegar à resposta correta. A opção marcada como correta ('A ideia de que cada pessoa é parte de algo maior.') está correta de acordo com o contexto apresentado. Excelente trabalho na elaboração desta questão de múltipla escolha.","Score(precision=0.0625, recall=0.030303030303030304, fmeasure=0.04081632653061225)",3.351072670927232e-232,{D: A ideia de que cada pessoa é parte de algo maior.},"A mensagem principal transmitida no contexto é sobre a interconexão entre os seres humanos, destacando que cada pessoa é parte de algo maior, ou seja, faz parte de um todo, da humanidade. Isso é evidenciado na frase 'Every man is a piece of the continent, A part of the main'. Portanto, a resposta correta é a opção D.",gpt-3.5-turbo
"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []",Como o eu lírico se relaciona com a humanidade de acordo com o texto?,"{'A': 'Como um ser superior.', 'B': 'Como um ser indiferente.', 'C': 'Como parte integrante.', 'D': 'Como um estranho.', 'E': 'Como um inimigo.'}",{'C': 'Como parte integrante.'},Analyze,Intermediate,5,4,5,1,"A questão apresenta alta relevância, pois está diretamente relacionada ao contexto e tópico propostos. Quanto à aderência, o nível de Bloom 'Analyze' e a dificuldade 'Intermediate' estão adequados para a pergunta. A resposta correta é claramente identificada e as opções fornecem informações suficientes para chegar a ela. A opção marcada como correta ('Como parte integrante.') está correta de acordo com o texto apresentado.","Score(precision=0.06666666666666667, recall=0.030303030303030304, fmeasure=0.041666666666666664)",2.603740479950863e-232,{C: Como parte integrante.},"O eu lírico se relaciona com a humanidade como parte integrante, conforme expresso no trecho 'Every man is a piece of the continent, A part of the main'.",gpt-3.5-turbo
"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []",Qual é o impacto da morte de qualquer indivíduo no eu lírico?,"{'A': 'Nenhum impacto.', 'B': 'Diminuição do eu lírico.', 'C': 'Aumento da solidão.', 'D': 'Desconexão com a humanidade.', 'E': 'Fortalecimento da individualidade.'}",{'B': 'Diminuição do eu lírico.'},Evaluate,Advanced,5,4,5,1,"A questão apresenta alta relevância, pois está diretamente relacionada ao contexto e tópico fornecidos. Quanto à aderência, o nível de Bloom 'Evaluate' e a dificuldade 'Advanced' estão adequados considerando a complexidade da pergunta. A resposta correta é clara e baseada no texto fornecido, permitindo uma escolha precisa. A opção marcada como correta ('Diminuição do eu lírico.') está de acordo com a informação apresentada no contexto.","Score(precision=0.07692307692307693, recall=0.030303030303030304, fmeasure=0.043478260869565216)",0.0,{B: Diminuição do eu lírico.},"O impacto da morte de qualquer indivíduo no eu lírico é de diminuição, conforme expresso na frase 'Any man’s death diminishes me'.",gpt-3.5-turbo
"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []","Considerando o contexto, o que significa 'No man is an island'?","{'A': 'Ninguém está sozinho no mundo.', 'B': 'Todos são ilhas isoladas.', 'C': 'Os homens são egoístas.', 'D': 'A solidão é inevitável.', 'E': 'A individualidade é suprema.'}",{'A': 'Ninguém está sozinho no mundo.'},Create,Advanced,5,4,5,1,"A questão é altamente relevante, pois está diretamente relacionada ao contexto apresentado. Quanto à aderência, o nível de Bloom 'Create' e a dificuldade 'Advanced' estão adequados considerando a complexidade da interpretação necessária. A questão fornece informações suficientes para chegar à resposta correta, que é claramente indicada. A opção marcada como correta está correta e bem alinhada com o significado da expressão 'No man is an island'.","Score(precision=0.45454545454545453, recall=0.15151515151515152, fmeasure=0.22727272727272727)",5.0507686311704147e-79,{A: Ninguém está sozinho no mundo.},"A expressão 'No man is an island' significa que ninguém vive de forma isolada, todos estão interligados e fazem parte de algo maior, ou seja, as ações e consequências de um indivíduo afetam os outros. Portanto, a opção correta é 'Ninguém está sozinho no mundo.'.",gpt-3.5-turbo
"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",2023,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore... []",Qual item é mencionado como sendo carregado em pequenas bolsas para que o lar nunca desapareça em nossos corações?,"{'A': 'Lágrimas', 'B': 'Carnificina', 'C': 'Solo', 'D': 'Diplomas', 'E': 'Ilhas'}",{'C': 'Solo'},Lembrar,Iniciante,5,4,5,1,"A questão é altamente relevante, pois está diretamente relacionada ao contexto fornecido sobre o que é carregado em pequenas bolsas para manter o lar no coração. Quanto à aderência, o nível de Bloom 'Lembrar' e a dificuldade 'Iniciante' estão adequados para a pergunta. A resposta correta é clara e facilmente identificável a partir das opções fornecidas. A opção marcada como correta ('Solo') está correta de acordo com o contexto apresentado.","Score(precision=0.05, recall=0.006060606060606061, fmeasure=0.010810810810810811)",0.0,{C: Solo},O item mencionado como sendo carregado em pequenas bolsas para que o lar nunca desapareça em nossos corações é o solo.,gpt-3.5-turbo
"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",2023,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore... []",O que os refugiados carregam de suas famílias e vizinhos incinerados em nuvens de cogumelo?,"{'A': 'Diplomas', 'B': 'Ilhas', 'C': 'Carnificina', 'D': 'Terra', 'E': 'Lágrimas'}",{'C': 'Carnificina'},Compreender,Intermediário,5,4,5,1,"A questão apresenta alta relevância, pois está diretamente relacionada ao contexto descrito. Quanto à aderência, o nível de Bloom 'Compreender' e a dificuldade 'Intermediário' estão adequados considerando a informação fornecida. A questão fornece informações suficientes para chegar à resposta correta, tornando-a altamente respondível. A opção marcada como correta ('Carnificina') está correta de acordo com o enunciado. Excelente questão de múltipla escolha.","Score(precision=0.0, recall=0.0, fmeasure=0.0)",0.0,{C: Carnificina},"A questão pergunta o que os refugiados carregam de suas famílias e vizinhos incinerados em nuvens de cogumelo. A opção correta é 'Carnificina', pois se refere ao sofrimento causado por eventos como mineração, secas, inundações e genocídios.",gpt-3.5-turbo
"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",2023,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore... []","O que os refugiados carregam para uma nova vida, incluindo mãos, pés, ossos, corações e melhores mentes?","{'A': 'Diplomas', 'B': 'Ilhas', 'C': 'Carnificina', 'D': 'Terra', 'E': 'Partes do corpo'}",{'E': 'Partes do corpo'},Aplicar,Avançado,5,4,5,1,"A questão é altamente relevante, pois está diretamente relacionada ao contexto apresentado sobre refugiados e o que eles carregam para uma nova vida. Quanto à aderência, a questão está bem alinhada com o nível de Bloom 'Aplicar' e a dificuldade 'Avançado'. A resposta correta é claramente apresentada nas opções, fornecendo informações suficientes para chegar à resposta correta. Além disso, a opção marcada como correta ('Partes do corpo') está correta de acordo com o enunciado da questão.","Score(precision=0.0, recall=0.0, fmeasure=0.0)",0.0,{E: Partes do corpo},"A questão menciona que os refugiados carregam 'nossas mãos, pés, ossos, corações e melhores mentes' para uma nova vida, indicando que estão levando partes do corpo consigo.",gpt-3.5-turbo
"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",2023,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore... []","Além de medicina, engenharia, enfermagem, educação, matemática e poesia, que outro item é mencionado como sendo carregado, mesmo que não signifique nada para a outra margem?","{'A': 'Diplomas', 'B': 'Ilhas', 'C': 'Carnificina', 'D': 'Terra', 'E': 'Lágrimas'}",{'A': 'Diplomas'},Analisar,Iniciante,5,4,5,1,"A questão é altamente relevante, pois está diretamente relacionada ao contexto apresentado sobre as coisas que são carregadas no mar. Quanto à aderência, a questão está bem alinhada com o nível de Bloom 'Analisar' e a dificuldade 'Iniciante'. A resposta correta é claramente apresentada nas opções, tornando a questão facilmente respondível. Além disso, a opção marcada como correta ('Diplomas') está correta de acordo com o enunciado da questão.","Score(precision=0.034482758620689655, recall=0.006060606060606061, fmeasure=0.010309278350515465)",3.996349898783046e-234,{B: Ilhas},"O texto menciona que 'carregamos nossas ilhas afundando sob o mar', indicando que as ilhas são carregadas, mesmo que não signifiquem nada para a outra margem.",gpt-3.5-turbo
