area,year,context,question,options,correct_answer,bloom_level,difficult_level,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer,model
"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []",What is the central theme of the presented context?,"{'A': 'The loneliness of man.', 'B': 'The importance of community.', 'C': 'The absolute individuality.', 'D': 'Death as an inevitable end.', 'E': 'The superiority of the individual.'}",{'B': 'The importance of community.'},Remember,Beginner,5,4,5,1,"The question is highly relevant to the context provided, focusing on the central theme. The bloom taxonomy level and difficulty seem appropriate for the given information. The question provides enough information for the test-taker to arrive at an answer. The correctness score is 1 as the correct answer is clear and accurate.","Score(precision=0.4444444444444444, recall=0.12121212121212122, fmeasure=0.19047619047619047)",4.502777928178369e-156,{B: The importance of community.},"The central theme of the presented context emphasizes the idea that no man is an island and every man is connected to others, highlighting the importance of community and interconnectedness. Therefore, the correct answer is B: The importance of community.",gpt-3.5-turbo
"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []","According to the text, why does the death of any man diminish the lyrical self?","{'A': 'Because the lyrical self is selfish.', 'B': 'Because the lyrical self feels part of humanity.', 'C': 'Because the lyrical self is afraid of death.', 'D': 'Because the lyrical self is indifferent to people.', 'E': 'Because the lyrical self is an isolated island.'}",{'B': 'Because the lyrical self feels part of humanity.'},Understand,Intermediate,5,4,5,1,The question is highly relevant to the provided context and topic. It tests the understanding of the text and the concept of interconnectedness. The bloom taxonomy level 'Understand' is appropriate as it requires interpreting the text. The question is clear and provides enough information for the test taker to arrive at the correct answer. The correct answer option is accurate in reflecting the theme of the text.,"Score(precision=0.3333333333333333, recall=0.15151515151515152, fmeasure=0.20833333333333331)",3.9005124291214174e-232,{B: Because the lyrical self feels part of humanity.},"The text mentions that 'Every man is a piece of the continent, A part of the main' and 'Any man’s death diminishes me, Because I am involved in mankind.' This indicates that the lyrical self feels connected to humanity, hence the death of any man diminishes it.",gpt-3.5-turbo
"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []",What is the main message conveyed in the context regarding the interconnection between human beings?,"{'A': 'Loneliness is the only form of existence.', 'B': 'Death is the end of everything.', 'C': 'The importance of keeping away from others.', 'D': 'The idea that each person is part of something greater.', 'E': 'Individuality is the supreme value.'}",{'D': 'The idea that each person is part of something greater.'},Apply,Advanced,5,4,5,1,The question is highly relevant to the provided context and topic. It aligns well with the theme of interconnectedness among human beings. The bloom taxonomy level 'Apply' seems appropriate as it requires understanding and applying the message conveyed in the context. The question is clear and provides enough information for the test-taker to arrive at the correct answer. The correctness score is 1 as the correct option 'D: The idea that each person is part of something greater.' accurately reflects the main message conveyed in the context.,"Score(precision=0.26666666666666666, recall=0.12121212121212122, fmeasure=0.16666666666666666)",3.688876900654346e-232,{D: The main message conveyed in the context regarding the interconnection between human beings is the idea that each person is part of something greater.},"The passage emphasizes that no man is an island and that every man is a piece of the continent, highlighting the interconnectedness of individuals. It further states that any man's death diminishes the speaker because they are involved in mankind, reinforcing the concept of being part of a larger whole.",gpt-3.5-turbo
"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []",How does the lyrical self relate to humanity according to the text?,"{'A': 'As a superior being.', 'B': 'As an indifferent being.', 'C': 'As an integral part.', 'D': 'As a stranger.', 'E': 'As an enemy.'}",{'C': 'As an integral part.'},Analyze,Intermediate,5,4,5,1,The question is highly relevant to the context provided and tests understanding of the relationship between the lyrical self and humanity in the given text. The bloom taxonomy level 'Analyze' is appropriate for this question as it requires students to interpret the text. The question is clear and provides enough information for the test-taker to arrive at an answer. The correctness score is 1 as the correct option can be clearly deduced from the text.,"Score(precision=0.16666666666666666, recall=0.06060606060606061, fmeasure=0.08888888888888888)",1.861075366666417e-232,{C: As an integral part.},"The text expresses that every man is a piece of the continent and a part of the main, emphasizing the interconnectedness and unity of humanity. This indicates that the lyrical self relates to humanity as an integral part.",gpt-3.5-turbo
"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []",What is the impact of the death of any individual on the lyrical self?,"{'A': 'No impact.', 'B': 'Decrease of the lyrical self.', 'C': 'Increase in loneliness.', 'D': 'Disconnection from humanity.', 'E': 'Strengthening of individuality.'}",{'B': 'Decrease of the lyrical self.'},Evaluate,Advanced,5,4,5,1,The question is highly relevant to the context provided and tests understanding of the impact of an individual's death on the lyrical self. The bloom taxonomy level and difficulty seem appropriate for the given information. The question is clear and provides ample information for the test-taker to arrive at the correct answer. The correctness score is high as the correct answer aligns with the context provided.,"Score(precision=0.35714285714285715, recall=0.15151515151515152, fmeasure=0.21276595744680848)",1.5232510735336044e-155,{B: Decrease of the lyrical self.},"The impact of the death of any individual on the lyrical self is described as a decrease, as stated in the text: 'Any man’s death diminishes me'. Therefore, the correct answer is B: Decrease of the lyrical self.",gpt-3.5-turbo
"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []","Considering the context, what does 'No man is an island' mean?","{'A': 'Nobody is alone in the world.', 'B': 'Everyone is isolated islands.', 'C': 'Men are selfish.', 'D': 'Loneliness is inevitable.', 'E': 'Individuality is supreme.'}",{'A': 'Nobody is alone in the world.'},Create,Advanced,5,4,5,0,"The question is highly relevant to the context provided and tests understanding of the given text. The bloom and difficulty level seem appropriate. The question is clear and provides enough information for the test-taker to arrive at an answer. However, the correctness score is 0 as the correct option was not specified.","Score(precision=0.45454545454545453, recall=0.15151515151515152, fmeasure=0.22727272727272727)",4.525114008994072e-79,{A: Nobody is alone in the world.},"In the context of the passage, 'No man is an island' means that nobody is alone in the world, emphasizing the interconnectedness and interdependence of individuals.",gpt-3.5-turbo
"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore... []",Which item is mentioned as being carried in small bags so that home never fades in our hearts?,"{'A': 'Tears', 'B': 'Carnage', 'C': 'Soil', 'D': 'Diplomas', 'E': 'Islands'}",{'C': 'Soil'},Remember,Beginner,5,4,5,0,"The question is highly relevant to the context provided about things carried on the sea. The bloom taxonomy level and difficulty seem appropriate for a beginner level. The question provides clear information for the answer to be deduced. However, the correct answer marked is 'Remember', which is incorrect. The correct answer should be 'Soil'.","Score(precision=0.5555555555555556, recall=0.06060606060606061, fmeasure=0.1092896174863388)",2.205206112974166e-158,{C: Soil},"The item mentioned as being carried in small bags so that home never fades in our hearts is soil. Therefore, the correct answer is C: Soil.",gpt-3.5-turbo
"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore... []",What do refugees carry from their families and neighbors incinerated in mushroom clouds?,"{'A': 'Diplomas', 'B': 'Islands', 'C': 'Carnage', 'D': 'Soil', 'E': 'Tears'}",{'C': 'Carnage'},Understanding,Intermediate,5,4,5,0,"The question is highly relevant to the context provided about refugees and what they carry. The bloom taxonomy level and difficulty are appropriate for an intermediate understanding level. The question provides clear information for the test-taker to arrive at the correct answer. However, the correctness score is 0 as the correct answer should be 'Carnage' not 'Diplomas'.","Score(precision=0.6153846153846154, recall=0.048484848484848485, fmeasure=0.0898876404494382)",3.8016460128019405e-06,{C: Carnage},"The refugees carry the carnage of their families and neighbors incinerated in mushroom clouds, as mentioned in the text.",gpt-3.5-turbo
"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore... []","What do refugees carry for a new life, including hands, feet, bones, hearts and best minds?","{'A': 'Diplomas', 'B': 'Islands', 'C': 'Carnage', 'D': 'Soil', 'E': 'Body parts'}",{'E': 'Body parts'},Apply,Advanced,5,4,5,0,"The question is highly relevant to the context provided about refugees and what they carry for a new life. The bloom taxonomy level and difficulty level are appropriate for the given information. The question is clear and provides enough information for the test taker to arrive at the correct answer. However, the correctness score is 0 as the correct answer should be 'Body parts' but it is marked as 'Diplomas'.","Score(precision=0.5, recall=0.048484848484848485, fmeasure=0.08839779005524863)",3.8757064974315365e-05,{E: Body parts},"The passage mentions that refugees carry hands, feet, bones, hearts, and best minds for a new life, indicating that they carry body parts.",gpt-3.5-turbo
"LANGUAGES, CODES AND THEIR TECHNOLOGIES",2023,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore... []","Besides medicine, engineering, nursing, education, mathematics, and poetry, what other item is mentioned as being carried, even if it means nothing to the other shore?","{'A': 'Diplomas', 'B': 'Islands', 'C': 'Carnage', 'D': 'Soil', 'E': 'Tears'}",{'A': 'Diplomas'},Analyzing,Beginner,5,4,5,0,"The question is highly relevant to the context provided, as it directly references the text about things being carried on the sea. The question aligns with the Analyzing level of Bloom's Taxonomy as it requires students to analyze the text to identify the item mentioned. The question provides enough information for the students to arrive at the correct answer. However, the correctness score is 0 as the correct answer 'Diplomas' is not actually mentioned in the text provided; it is implied by the context.","Score(precision=0.52, recall=0.07878787878787878, fmeasure=0.1368421052631579)",0.0004903653058612301,{E: Tears},"The passage mentions carrying tears in our eyes along with other items like diplomas. Therefore, the correct answer is Tears.",gpt-3.5-turbo
