id,year,context,question,options,correct_answer,CE,DS,EK,IC,MR,TC,image,IU,ledor,figures,description,area,cor,system_answer,steps_answer
1,2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []","Nesse poema, a expressão “No man is an island”ressalta o(a)","{'A': 'medo da morte.', 'B': 'ideia de conexão.', 'C': 'conceito de solidão.', 'D': 'risco de devastação.', 'E': 'necessidade de empatia.'}",{'B': 'ideia de conexão.'},,,,,,,No,False,True,[],[],"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",LARANJA,{B: ideia de conexão.},"O poema destaca a interconexão entre os seres humanos, enfatizando que ninguém existe isoladamente, mas sim como parte de um todo, da humanidade. Portanto, a expressão 'No man is an island' ressalta a ideia de conexão."
2,2023,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore... []","Ao retratar a trajetória de refugiados, o poema recorre à imagem de viagem marítima para destacar o(a)","{'A': 'risco de choques culturais.', 'B': 'impacto do ensino de história.', 'C': 'importância da luta ambiental.', 'D': 'existência de experiências plurais.', 'E': 'necessidade de capacitação profissional.'}",{'D': 'existência de experiências plurais.'},,,,,,,No,False,True,[],[],"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",LARANJA,{D: existência de experiências plurais.},"O poema retrata a trajetória de refugiados que carregam consigo uma variedade de experiências e vivências, representando a existência de experiências plurais ao longo da viagem marítima."
5,2023,"(fragmento)
Spanglish
Tato Laviera
pues estoy creando Spanglish
bi-cultural systems
scientific lexicographical
inter-textual integrations
two expressions
existentially wired
two dominant languages
continentally abrazándose
in colloquial combate
imperio spanglish emerges
sobre territorio bi-lingual
las novelas mexicanas
mixing with radiorocknroll
immigrant/migrant
nasal mispronouncements
hip-hop, street salsa, spanish pop
standard english classroom
with computer technicalitie
spanglish is literally perfect []","Nesse poema de Tato Laviera, o eu lírico destaca uma","{'A': 'convergência linguístico-cultural.', 'B': 'característica histórico-cultural.', 'C': 'tendência estilístico-literária.', 'D': 'discriminação cultural.', 'E': 'censura musical.'}",{'A': 'convergência linguístico-cultural.'},,,,,,,No,False,True,[],[],"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",LARANJA,,
6,2023,"## Rui Barbosa
Mestre e companheiro, disse eu que nos íamos despedir. Mas disse mal. A morte não extingue: transforma; não aniquila: renova; não divorcia: aproxima. Um dia supuseste “morta e separada” a consorte dos teus sonhos e das tuas agonias, que te soubera “pôr um mundo inteiro no recanto” do teu ninho; e, todavia, nunca ela te esteve mais presente, no íntimo de ti mesmo e na expressão do teu canto, no fundo do teu ser e na face de tuas ações. Esses catorze versos inimitáveis, em que o enlevo dos teus discípulos resume o valor de toda uma literatura, eram a aliança de ouro do teu segundo noivado, um anel de outras núpcias, para a vida nova do teu renascimento e da tua glorificação, com a sócia sem nódoa dos teus anos de mocidade e madureza, da florescência e frutificação de tua alma. Para os eleitos do mundo das ideias a miséria está na decadência, e não na morte. A nobreza de uma nos preserva das ruínas da outra. Quando eles atravessavam essa passagem do invisível, que os conduz à região da verdade sem mescla, então é que entramos a sentir o começo do seu reino, o reino dos mortos sobre os vivos. []",Esse é um trecho do discurso de Rui Barbosa na Academia Brasileira de Letras em homenagem a Machado de Assis por ocasião de sua morte. Uma das características desse discurso de homenagem é a presença de,"{'A': 'metáforas relacionadas à trajetória pessoal e criadora do homenageado.', 'B': 'recursos fonológicos empregados para a valorização do ritmo do texto.', 'C': 'frases curtas e diretas no relato da vida e da morte do homenageado.', 'D': 'contraposição de ideias presentes na obra do homenageado.', 'E': 'seleção vocabular representativa do sentimento de nostalgia.'}",{'A': 'metáforas relacionadas à trajetória pessoal e criadora do homenageado.'},,,,,,,No,False,True,[],[],"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",LARANJA,{A: metáforas relacionadas à trajetória pessoal e criadora do homenageado.},"No trecho do discurso de Rui Barbosa, ele utiliza metáforas para descrever a morte como uma transformação, renovação e aproximação, destacando a continuidade da presença do homenageado mesmo após sua partida. Essas metáforas estão relacionadas à trajetória pessoal e criadora de Machado de Assis, evidenciando a importância e o impacto duradouro de sua obra e vida."
8,2023,"## Carta aberta à população brasileira
Prezados Cidadãos e Cidadãs,
O envelhecimento populacional é um fenômeno mundial. Infelizmente, nosso país ainda não está preparado para atender às demandas dessa população.
Este é o retrato da saúde pública no Brasil, que, apesar dos indiscutíveis avanços, apresenta um cenário de deficiências e falta de integração em todos os níveis de atenção à saúde: primária (atendimento deficiente nas unidades de saúde da atenção básica), secundária (carência de centros de referência com atendimento por especialistas) e terciária (atendimento hospitalar com abordagem ao idoso centrada na doença), ou seja, não há, na prática, uma rede de atenção à saúde do idoso.
Diante desse cenário, a Sociedade Brasileira de Geriatria e Gerontologia (SBGG) vem a público manifestar suas preocupações com o presente e o futuro dos idosos no Brasil. É preciso garantir a saúde como direito universal.
Esperamos que tanto nossos atuais quanto os futuros governantes e legisladores reflitam sobre a necessidade de investir na saúde e na qualidade de vida associada ao envelhecimento.Dignidade à saúde do idoso!
Rio de Janeiro, 15 de setembro de 2014. []",O objetivo desse texto é,"{'A': 'sensibilizar o idoso a respeito dos cuidados com a saúde.', 'B': 'alertar os governantes sobre os cuidados requeridos pelo idoso.', 'C': 'divulgar o trabalho da Sociedade Brasileira de Geriatria e Gerontologia.', 'D': 'informar o setor público sobre o retrocesso da legislação destinada à população idosa.', 'E': 'chamar a atenção da população sobre a qualidade dos serviços de saúde pública para o idoso.'}",{'E': 'chamar a atenção da população sobre a qualidade dos serviços de saúde pública para o idoso.'},,,,,,,No,False,True,[],[],"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",LARANJA,{B: alertar os governantes sobre os cuidados requeridos pelo idoso.},"O texto apresenta uma carta aberta à população brasileira, na qual a Sociedade Brasileira de Geriatria e Gerontologia manifesta suas preocupações com a falta de preparo do país para atender às demandas da população idosa. Assim, o principal objetivo do texto é alertar os governantes sobre os cuidados necessários para com os idosos, destacando a importância de investir na saúde e na qualidade de vida dessa parcela da população."
9,2023,"A petição on-line criada por um cidadão paulista surtiu efeito: casado há três anos com seu companheiro, ele pedia a alteração da definição de “casamento” no tradicional dicionário Michaelis em português. Na definição anterior, casamento aparecia como “união legítima entre homem e mulher” e “união legal entre homem e mulher, para constituir família”.
O novo verbete não traz em nenhum momento as palavras homem ou mulher — agora a definição de casamento se refere a “pessoas”.
Para o diretor de comunicação do site onde a petição foi publicada, a iniciativa mostra a “eficiência da mobilização”. “Em dois dias, mudou-se uma definição que permanecia a mesma há décadas”, afirma. E conclui: “A plataforma serve para todos os tipos de causas, para as mudanças que importam para as pessoas.”. []","A notícia trata da mudança ocorrida em um dicionário da língua portuguesa. Segundo o texto, essa mudança foi impulsionada pela","{'A': 'inclusão de informações no verbete.', 'B': 'relevância social da instituição casamento.', 'C': 'utilização pública da petição pelos cidadãos.', 'D': 'rapidez na disseminação digital do verbete.', 'E': 'divulgação de plataformas para a criação de petição.'}",{'C': 'utilização pública da petição pelos cidadãos.'},,,,,,,No,False,True,[],[],"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",LARANJA,,
10,2023,"A neozelandesa Laurel Hubbard fez história nos Jogos Olímpicos. Apesar de ter ficado de fora da disputa por medalhas, a levantadora de peso deixou sua marca na edição de Tóquio por ser a primeira mulher abertamente transgênero a participar de uma competição olímpica. No início da carreira, na década de 1990, a neozelandesa participava de disputas na categoria masculina. Em 2001, aos 23 anos, ela se afastou da atividade. “A pressão de tentar me encaixar em um mundo que talvez não tenha sido feito para pessoas como eu se tornou um fardo muito grande para suportar.” Em 2012, Laurel começou sua transição de gênero por meio de terapias hormonais e, em 2013, declarou abertamente ser uma mulher trans. Para o Comitê Olímpico Internacional, a participação de mulheres trans nos Jogos é permitida caso o nível de testosterona, hormônio que aumenta a massa muscular, esteja abaixo de 10 nanomols por litro por pelo menos 12 meses. []","No texto, os limites do potencial inclusivo do esporte são dados pela","{'A': 'dificuldade de conseguir bons resultados esportivos.', 'B': 'dependência de características biológicas padronizadas.', 'C': 'inexistência de uma categoria para pessoas transgênero.', 'D': 'necessidade de afastamento temporário das competições.', 'E': 'impossibilidade de uso controlado de substâncias exógenas.'}",{'B': 'dependência de características biológicas padronizadas.'},,,,,,,No,False,True,[],[],"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",LARANJA,{B: dependência de características biológicas padronizadas.},"No texto, é mencionado que o Comitê Olímpico Internacional permite a participação de mulheres trans nos Jogos desde que o nível de testosterona esteja abaixo de 10 nanomols por litro por pelo menos 12 meses. Isso demonstra a dependência de características biológicas padronizadas para inclusão no esporte."
11,2023,"“Ganhei 25 medalhas em mundiais, sete em Jogos Olímpicos, e sou uma sobrevivente de abuso sexual.” Foi assim que Simone Biles se apresentou ao comitê do Senado norte-americano que investiga as supostas falhas do FBI no caso Larry Nassar. Biles e outras três atletas, vítimas dos abusos do ex-médico da equipe de ginástica feminina dos EUA, exigiram que os agentes da investigação sejam processados por falta de ação prévia contra Nassar, agora preso. Biles esclareceu que culpa Larry Nassar e “todo o sistema que o permitiu e o perpetrou”, acusando a Federação de Ginástica e o Comitê Olímpico dos Estados Unidos de saberem “muito antes” que ela havia sofrido abusos. A melhor ginasta do mundo é um ícone. Nos Jogos Olímpicos de Tóquio, uma lesão psicológica a impediu de competir como previa. No entanto, ela chegou ao topo como uma líder no trabalho de acabar com o preconceito com os problemas de saúde mental. “Não quero que nenhum outro atleta olímpico sofra o horror que eu e outras centenas suportamos e continuamos suportando até hoje”, afirmou. []",O fato relatado na notícia chama a atenção acerca da necessidade de reflexão sobre a relação entre o esporte e,"{'A': 'o desempenho atlético internacional.', 'B': 'a dimensão emocional dos atletas.', 'C': 'os comitês olímpicos nacionais.', 'D': 'as instituições de inteligência.', 'E': 'as federações esportivas.'}",{'B': 'a dimensão emocional dos atletas.'},,,,,,,No,False,True,[],[],"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",LARANJA,{B: a dimensão emocional dos atletas.},"A notícia destaca a importância de refletir sobre a relação entre o esporte e a dimensão emocional dos atletas, considerando o impacto do abuso sexual sofrido por Simone Biles e outras atletas, e a necessidade de cuidar da saúde mental dos esportistas."
12,2023,"O acesso às Práticas Corporais/Atividades Físicas (PC/AF) é desigual no Brasil, à semelhança de outros indicadores sociais e de saúde. Em geral, PC/AF prazerosas, diversificadas, mais afeitas ao período de lazer estão concentradas nas populações mais abastadas. As atividades físicas de deslocamento, trajetos a pé ou de bicicleta para estudar ou trabalhar, por exemplo, são mais frequentes na classe social menos favorecida. Aqui, há uma relação inversa e perversa entre variáveis socioeconômicas de acesso às PC/AF. As maiores prevalências de inatividade física foram em mulheres, pessoas com 60 anos ou mais, negros, pessoas com autoavaliação de saúde ruim ou muito ruim, com renda familiar de até quatro salários mínimos por pessoa, pessoas que desconhecem programas públicos de PC/AF e residentes em áreas sem locais públicos para a prática. []",O fator central que impacta a realização de práticas corporais/atividades físicas no tempo de lazer no Brasil é a,"{'A': 'diferença entre homens e mulheres.', 'B': 'inexistência de políticas públicas.', 'C': 'diversidade de faixa etária.', 'D': 'variação de condição étnica.', 'E': 'desigualdade entre classes sociais.'}",{'E': 'desigualdade entre classes sociais.'},,,,,,,No,False,True,[],[],"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",LARANJA,{E: desigualdade entre classes sociais.},"O texto menciona que as práticas corporais/atividades físicas mais prazerosas e diversificadas, voltadas para o lazer, estão concentradas nas populações mais abastadas, enquanto as atividades físicas de deslocamento são mais frequentes na classe social menos favorecida. Isso evidencia a desigualdade entre classes sociais no acesso e realização de práticas corporais/atividades físicas."
13,2023,"A indústria do esporte eletrônico é um mercado que está crescendo em um ritmo mais rápido do que a economia mundial. Sua popularidade cresceu muito e no Brasil não é diferente. De acordo com os dados de uma pesquisa, mais de 64 por cento dos brasileiros que jogam videogame já ouviram falar de esporte eletrônico. No entanto, o que chama a atenção é o crescimento superior a 10 por cento do público praticante comparado ao ano anterior, que subiu de 44,7 por cento para 55,4 por cento. Trata-se de um percentual expressivo, já que o Brasil está no top 3 dentre os países que têm maior número de espectadores de esporte eletrônico do mundo. Comparado ao ano anterior, em 2020, o Brasil teve um marco de crescimento de 20 por cento na audiência. Mundo afora, a árdua dedicação de grandes gamers contribuiu para o reconhecimento do Comitê Olímpico Internacional, aliado a outras cinco federações esportivas e suas desenvolvedoras de jogos, que direcionaram um olhar mais atento ao assunto, permitindo dar o primeiro passo para concretizar, pela primeira vez na história dos jogos eletrônicos, um evento olímpico oficial. []",O contexto em que o esporte eletrônico é apresentado no texto demonstra o(a),"{'A': 'condição favorável à expansão dessa modalidade.', 'B': 'promoção dessa prática por jogadores profissionais.', 'C': 'impulsionamento de um processo de marketing.', 'D': 'favorecimento de fabricantes dos jogos.', 'E': 'modificação da audiência televisiva.'}",{'A': 'condição favorável à expansão dessa modalidade.'},,,,,,,No,False,True,[],[],"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS",LARANJA,{A: condição favorável à expansão dessa modalidade.},"O texto destaca o crescimento significativo da indústria de esportes eletrônicos, com dados que evidenciam o aumento da popularidade no Brasil e no mundo. Além disso, menciona o reconhecimento do Comitê Olímpico Internacional e outras federações esportivas, indicando uma condição favorável para a expansão dessa modalidade esportiva."
