id,year,context,question,options,correct_answer,CE,DS,EK,IC,MR,TC,image,IU,ledor,figures,description,area,cor,system_answer,steps_answer
1,2023,"No man is an island,
Entire of itself;
Every man is a piece of the continent,
A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind. []","In this poem, the expression 'No man is an island' emphasizes","{'A': 'fear of death.', 'B': 'idea of connection.', 'C': 'concept of loneliness.', 'D': 'risk of devastation.', 'E': 'need for empathy.'}",{'B': 'idea of connection.'},,,,,,,No,False,True,[],,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",ORANGE,{B: idea of connection.},The expression 'No man is an island' in the poem emphasizes the idea of connection because it highlights how every individual is interconnected and not isolated.
2,2023,"## Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on [our ancestors’ backs
We carry old homes along the spine, new dreams in our chestsWe carry yesterday, today and tomorrowWe’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore... []","In portraying the trajectory of refugees, the poem uses the image of a sea voyage to highlight the","{'A': 'risk of cultural clashes.', 'B': 'impact of history teaching.', 'C': 'importance of environmental struggle.', 'D': 'existence of plural experiences.', 'E': 'need for professional training.'}",{'D': 'existence of plural experiences.'},,,,,,,No,False,True,[],,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",ORANGE,{D: existence of plural experiences.},"The poem portrays the trajectory of refugees by highlighting the various experiences and backgrounds they carry with them, emphasizing the existence of plural experiences."
6,2023,"## Rui Barbosa
Master and companion, I said we were going to say goodbye. But I said it wrong. Death does not extinguish: it transforms; it does not annihilate: it renews; it does not divorce: it brings closer. One day you supposed the consort of your dreams and agonies, who had managed to 'put a whole world in the corner' of your nest, 'dead and separated'; and yet, she was never more present to you, in the depths of yourself and in the expression of your song, in the depths of your being and in the face of your actions. These fourteen inimitable verses, in which the rapture of your disciples summarizes the value of a whole literature, were the golden alliance of your second engagement, a ring of other nuptials, for the new life of your rebirth and glorification, with the partner without blemish of your years of youth and maturity, of the flowering and fruiting of your soul. For the chosen ones of the world of ideas, misery lies in decadence, not in death. The nobility of one preserves us from the ruins of the other. When they cross that passage from the invisible, which leads them to the region of truth without mixture, then we begin to feel the beginning of their kingdom, the kingdom of the dead over the living. []",This is an excerpt from Rui Barbosa's speech at the Brazilian Academy of Letters in homage to Machado de Assis on the occasion of his death. One of the characteristics of this tribute speech is the presence of,"{'A': 'metaphors related to the personal and creative trajectory of the honoree.', 'B': 'phonological resources employed to enhance the rhythm of the text.', 'C': 'short and direct sentences in the account of the life and death of the honoree.', 'D': 'contrasting ideas present in the work of the honoree.', 'E': 'vocabulary selection representative of the feeling of nostalgia.'}",{'A': 'metaphors related to the personal and creative trajectory of the honoree.'},,,,,,,No,False,True,[],,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",ORANGE,{A: metaphors related to the personal and creative trajectory of the honoree.},"The excerpt from Rui Barbosa's speech contains metaphors that relate to the personal and creative journey of the honoree, Machado de Assis. These metaphors symbolize transformation, renewal, and closeness in the context of death, reflecting the honoree's life and work."
8,2023,"## Open letter to the Brazilian population
Dear Citizens,
The aging population is a worldwide phenomenon. Unfortunately, our country is not yet prepared to meet the demands of this population.
This is the picture of public health in Brazil, which, despite undeniable advances, presents a scenario of deficiencies and lack of integration at all levels of health care: primary (poor care in basic health units), secondary (lack of reference centers with specialist care) and tertiary (hospital care focused on the disease in the elderly), that is, there is no, in practice, a health care network for the elderly.
Faced with this scenario, the Brazilian Society of Geriatrics and Gerontology (SBGG) publicly expresses its concerns about the present and future of the elderly in Brazil. Health must be guaranteed as a universal right.
We hope that both our current and future rulers and legislators reflect on the need to invest in health and quality of life associated with aging. Dignity for the health of the elderly!
Rio de Janeiro, September 15, 2014. []",The purpose of this text is,"{'A': 'sensitize the elderly about health care.', 'B': 'alert the rulers about the care required by the elderly.', 'C': 'publicize the work of the Brazilian Society of Geriatrics and Gerontology.', 'D': 'inform the public sector about the setback of legislation aimed at the elderly population.', 'E': 'draw the population's attention to the quality of public health services for the elderly.'}",{'E': 'draw the population's attention to the quality of public health services for the elderly.'},,,,,,,No,False,True,[],,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",ORANGE,{B: alert the rulers about the care required by the elderly.},"The purpose of the text is to highlight the deficiencies in the health care system for the elderly in Brazil and to urge current and future rulers and legislators to invest in health and quality of life associated with aging. This aligns with the option B, which states that the purpose is to alert the rulers about the care required by the elderly."
10,2023,"The New Zealander Laurel Hubbard made history at the Olympic Games. Despite being out of the running for medals, the weightlifter made her mark at the Tokyo edition for being the first openly transgender woman to participate in an Olympic competition. At the beginning of her career, in the 1990s, the New Zealander competed in the men's category. In 2001, at the age of 23, she stepped away from the sport. 'The pressure of trying to fit into a world that may not have been made for people like me became too heavy a burden to bear.' In 2012, Laurel began her gender transition through hormonal therapies and, in 2013, openly declared herself a transgender woman. For the International Olympic Committee, the participation of transgender women in the Games is allowed if the testosterone level, a hormone that increases muscle mass, is below 10 nanomoles per liter for at least 12 months.","In the text, the limits of the sport's inclusive potential are given by","{'A': 'difficulty in achieving good sports results.', 'B': 'dependence on standardized biological characteristics.', 'C': 'lack of a category for transgender people.', 'D': 'need for temporary withdrawal from competitions.', 'E': 'inability to use controlled exogenous substances.'}",{'B': 'dependence on standardized biological characteristics.'},,,,,,,No,False,True,[],,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",ORANGE,{B: dependence on standardized biological characteristics.},"The text mentions that the International Olympic Committee allows the participation of transgender women if their testosterone level is below a certain threshold, indicating a dependence on standardized biological characteristics for inclusion in sports."
11,2023,"""I won 25 medals in world championships, seven in Olympic Games, and I am a survivor of sexual abuse."" This is how Simone Biles introduced herself to the US Senate committee investigating the alleged failures of the FBI in the Larry Nassar case. Biles and three other athletes, victims of the abuses of the former doctor of the US women's gymnastics team, demanded that the investigating agents be prosecuted for lack of prior action against Nassar, who is now in prison. Biles clarified that she blames Larry Nassar and ""the entire system that allowed and perpetrated him"", accusing the Gymnastics Federation and the US Olympic Committee of knowing ""long before"" that she had suffered abuse. The world's best gymnast is an icon. At the Tokyo Olympics, a psychological injury prevented her from competing as expected. However, she rose to the top as a leader in the work to end the stigma surrounding mental health issues. ""I don't want any other Olympic athlete to suffer the horror that I and hundreds of others endured and continue to endure to this day,"" she said. []",The fact reported in the news draws attention to the need for reflection on the relationship between sports and,"{'A': 'international athletic performance.', 'B': 'the emotional dimension of athletes.', 'C': 'national Olympic committees.', 'D': 'intelligence institutions.', 'E': 'sports federations.'}",{'B': 'the emotional dimension of athletes.'},,,,,,,No,False,True,[],,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",ORANGE,{B: the emotional dimension of athletes.},The fact reported in the news about Simone Biles and other athletes demanding accountability for the failures in handling sexual abuse cases in gymnastics draws attention to the need for reflection on the relationship between sports and the emotional dimension of athletes.
12,2023,"Access to Body Practices/Physical Activities (PC/AF) is unequal in Brazil, similar to other social and health indicators. In general, pleasurable and diverse PC/AF, more suited to leisure time, are concentrated in the wealthier populations. Physical activities involving commuting, walking or cycling to study or work, for example, are more frequent in the less privileged social class. Here, there is an inverse and perverse relationship between socioeconomic variables and access to PC/AF. The highest prevalence of physical inactivity was found in women, people aged 60 or older, black individuals, people who rated their health as poor or very poor, those with a family income of up to four minimum wages per person, individuals who are unaware of public PC/AF programs, and residents in areas without public spaces for practice.",The central factor that impacts the practice of body activities/physical activities in leisure time in Brazil is,"{'A': 'difference between men and women.', 'B': 'lack of public policies.', 'C': 'diversity of age groups.', 'D': 'variation of ethnic background.', 'E': 'inequality between social classes.'}",{'E': 'inequality between social classes.'},,,,,,,No,False,True,[],,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",ORANGE,{E: inequality between social classes.},"The passage mentions that access to pleasurable and diverse physical activities in leisure time is concentrated in wealthier populations, while physical activities involving commuting are more frequent in the less privileged social class. This indicates an inverse and perverse relationship between socioeconomic variables and access to physical activities. Therefore, the central factor impacting the practice of body activities in leisure time in Brazil is the inequality between social classes."
14,2023,"The Marabaixo is an artistic-cultural expression formed in the traditions and cultural identification among the black communities of Amapá. The name dates back to the deaths of enslaved people on slave ships who were thrown into the water. In their honor, lament hymns were sung down the sea, up the sea. Subsequently, Marabaixo became integrated into the experience of black communities in a cycle of dances, singing with drums and religious parties, receiving, in 2018, the title of Cultural Heritage of Brazil.","The manifestation of Marabaixo was constituted as an expression of art and culture, performing the function of","{'A': 're-signify dramatic episodes in new cultural practices.', 'B': 'adapt choreographies as imitation of the movements of the sea.', 'C': 'remember the dead in the slave past as a form of lament.', 'D': 'perpetuate a narrative of erasing traumatic historical facts.', 'E': 'ritualize the passage of funeral acts in collective productions with a festive spirit.'}",{'A': 're-signify dramatic episodes in new cultural practices.'},,,,,,,No,False,True,[],,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",ORANGE,{C: remember the dead in the slave past as a form of lament.},"The Marabaixo manifestation was constituted to remember the dead in the slave past as a form of lament, honoring the enslaved people who died on slave ships by singing lament hymns down the sea, up the sea."
15,2023,"The use of social networks as a way to expand universes was a recent discovery for the artist Wolney Fernandes, who started creating when the environment in Goiás was more arid in relation to visual arts. 'Today, being different is a power and those who know what they want with their own art find space,' he says. The artistic collages of the artist from Goiás appear on covers of literary works in Brazil and abroad.",The Goiás artist Wolney Fernandes seeks to exhibit his work through virtual platforms with the aim of,"{'A': 'supporting the technique of collage in Visual Arts, overcoming practical difficulties.', 'B': 'get closer to the visual aesthetics typical of the editing of artistic works, such as book covers.', 'C': 'offer an international showcase for his artistic production, in order to give more visibility to his works.', 'D': 'emphasize the original and innovative character of his artistic creations, differentiating himself from traditional arts.', 'E': 'bring a technological sense to his collages, since artistic images are recurrent on social networks.'}","{'C': 'offer an international showcase for his artistic production, in order to give more visibility to his works.'}",,,,,,,No,False,True,[],,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",ORANGE,"{C: offer an international showcase for his artistic production, in order to give more visibility to his works.}","The Goiás artist Wolney Fernandes seeks to exhibit his work through virtual platforms with the aim of providing an international showcase for his artistic production, in order to give more visibility to his works."
16,2023,"The oldest indigenous rap group in the country, Brô MCs, emerged in 2009, in the Jaguapiru village, in Dourados, Mato Grosso do Sul. The members got to know rap through the radio, listening to a program that featured Brazilian singers and groups of this musical genre. Brô MCs managed to influence others to rap and fight for indigenous causes. One of the names in the movement, Kunumí MC, is a 16-year-old young man from the Krukutu village, in São Paulo. The teenager sees rap as a culture of defense and started to rhyme when he realized that poetry, which he has always been interested in, could turn into music. In the lyrics he creates, inspired by both rap and indigenous rhythms, he always tries to include subjects to which he finds it important to give voice, especially the issue of land demarcation.",The rap movement of the indigenous peoples of Brazil reveals the,"{'A': 'fusion of contemporary urban artistic expressions with indigenous culture.', 'B': 'opposition of indigenous socio-environmental themes to urban issues.', 'C': 'rejection of the radio industry to indigenous music.', 'D': 'distancing from the indigenous social reality.', 'E': 'encouragement to study indigenous poetry.'}",{'A': 'fusion of contemporary urban artistic expressions with indigenous culture.'},,,,,,,No,False,True,[],,"LANGUAGES, CODES AND THEIR TECHNOLOGIES",ORANGE,{A: fusion of contemporary urban artistic expressions with indigenous culture.},"The passage mentions how the indigenous rap group Brô MCs combines rap music with indigenous rhythms to give voice to important subjects, showing a fusion of contemporary urban artistic expressions with indigenous culture."
