id,year,context,question,options,correct_answer,CE,DS,EK,IC,MR,TC,image,IU,ledor,figures,description,area,cor,system_answer,steps_answer
2,2013,"
This is a gigantic movement of city construction, necessary for the residential settlement of this population, as well as for their work, supply, transportation, health, energy, water needs, etc. Even though the direction taken by urban growth has not satisfactorily met all these needs, the territory was occupied and the conditions for living in this space were built.

MARICATO, E. Brazil, cities: alternatives for the urban crisis. Petrópolis: Vozes, 2001.
","
The dynamics of city transformation tends to result in the expansion of peripheral areas by
","{'A': ' urban population growth and increased real estate speculation.\n', 'B': ' greater flow of people, due to the existence of a large number of services.\n', 'C': ' delimitation of areas for an organized occupation of physical space, improving quality of life.\n', 'D': ' implementation of public policies that promote housing and the right to the city for its residents.\n', 'E': ' reurbanization of housing in central areas, keeping the worker close to their job, reducing commutes to the periphery.\n\n'}",{'A': ' urban population growth and increased real estate speculation.\n'},No,No,Yes,No,No,No,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,{A: urban population growth and increased real estate speculation.},The dynamics of city transformation tends to result in the expansion of peripheral areas by urban population growth and increased real estate speculation as mentioned in the text.
3,2013,"
On July 1st, 2012, the city of Rio de Janeiro 
became the first in the world to receive the title of 
UNESCO World Heritage as a Cultural Landscape. 
The application, submitted by the National Institute of 
Historical and Artistic Heritage (Iphan), was approved 
during the 36th Session of the World Heritage Committee. 
The president of Iphan explained that 'the carioca landscape 
is the most explicit image of what we can call 
Brazilian civilization, with its originality, challenges, 
contradictions, and possibilities'. From now on, the 
places in the city valued with the UNESCO title will be 
the target of integrated actions aimed at preserving its 
cultural landscape.

Available at: www.cultura.gov.br. Accessed on: Mar 7, 2013 (adapted).
","
The recognition of the landscape in question as 
a world heritage derives from
","{'A': '  presence of the local artistic body.\n', 'B': '  international image of the metropolis.\n', 'C': '  heritage of buildings from the former capital of the country.\n', 'D': '  diversity of cultures present in the city.\n', 'E': '  society-nature relationship of a singular nature.\n'}",{'E': '  society-nature relationship of a singular nature.\n'},No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,{E: society-nature relationship of a singular nature.},"The recognition of the landscape in question as a world heritage derives from understanding the society-nature relationship of a singular nature, as stated in the text provided."
4,2013,"TEXT I

Some time ago I realized that, since my early years, I had received many false opinions as true, and that what I later founded on such poorly secured principles could only be very doubtful and uncertain. It was necessary to seriously try, once in my life, to get rid of all the opinions to which I had previously given credit, and start all over again in order to establish a firm and unshakable knowledge.

DESCARTES, R. Meditations on First Philosophy. São Paulo: Abril Cultural, 1973 (adapted).

TEXT II

It is the radical character of what is sought that demands the radicalization of the search process itself. If all space is occupied by doubt, any certainty that appears from there will have been in some way generated by doubt itself, and will certainly not be any of those that were previously swept away by that same doubt.
SILVA, F. L. Descartes: the metaphysics of modernity. São Paulo: Moderna, 2001 (adapted).
","
The exposition and analysis of the Cartesian project indicate that, to enable the radical reconstruction of knowledge, one must","{'A': 'resume the method of tradition to build science with legitimacy.', 'B': 'question old ideas and conceptions broadly and deeply.', 'C': 'investigate the contents of the consciousness of less enlightened men.', 'D': 'seek a way to eliminate ancient and outdated knowledge from memory.', 'E': 'find clear ideas and thoughts that do not need to be questioned.'}",{'B': 'question old ideas and conceptions broadly and deeply.'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,{B: question old ideas and conceptions broadly and deeply.},"The text mentions the need for a radical reconstruction of knowledge, which involves questioning old ideas and conceptions broadly and deeply to establish firm and unshakable knowledge."
5,2013,"
From end to end, it's all palm beach, very flat and 
very beautiful. Through the backlands, it seemed to us, seen from the sea, 
very large, because, stretching our eyes, we could not 
see anything but land with trees, which seemed very 
long to us. So far, we could not find out if there is gold, 
nor silver, nor any metal or iron; nor did we see it. But the land itself has very good airs [...]. 
But the best fruit that can be taken from it seems to me 
that it will be to save these people.

Letter from Pero Vaz de Caminha. In: MARQUES, A.; BERUTTI, F.; FARIA, R. 
Modern history through texts. São Paulo: Contexto, 2001.
","
The letter from Pero Vaz de Caminha allows us to understand the 
colonizing project for the new land. In this excerpt, the 
account emphasizes the following objective:
","{'A': '  Value the catechesis to be carried out on the \n\nnative peoples.\n\n', 'B': '  Describe the culture \n\nPortuguese prosperity.\n\nplace to praise the \n\n', 'C': '  Transmit the knowledge of the indigenous people about the \n\nexisting economic potential.\n\n', 'D': '  Highlight the poverty of the native inhabitants to \n\nmark European superiority.\n\n', 'E': '  Criticize the way of life of the indigenous peoples to \n\nhighlight the absence of work.\n\n'}",{'A': '  Value the catechesis to be carried out on the \n\nnative peoples.\n\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,{C: Transmit the knowledge of the indigenous people about the existing economic potential.},"The excerpt from Pero Vaz de Caminha's letter describes the land as very beautiful and large, emphasizing the economic potential of the new land. It mentions the possibility of finding gold, silver, and other metals, indicating an interest in the resources of the land. Therefore, the objective highlighted in the excerpt is to transmit the knowledge of the indigenous people about the existing economic potential."
6,2013,"
The sad song of the conquered: 
the last days of Tenochtitlán 

In the paths lie broken darts;
hair is scattered.
Houses are roofless,
Waters, rivers, are red, as if someone 
had dyed them,
In the shields was our protection,
but the shields do not hold back the desolation...

PINSKY, J. et al. History of America through texts. 
São Paulo: Contexto, 2007 (fragment).   
","
The text is an Aztec record, whose meaning is related to
","{'A': ' the tragedy caused by the destruction of the culture \n\nof this people.\n\n', 'B': ' the failed attempt to resist a \npower considered superior.\n\n', 'C': ' the extermination of indigenous populations \nby the Spanish Army.\n\n', 'D': ' the dissolution of the memory of the deeds of their \nancestors.\n\n', 'E': ' the prophesying of the consequences of the colonization \nof America.\n\n'}",{'B': ' the failed attempt to resist a \npower considered superior.\n\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,{C: the extermination of indigenous populations by the Spanish Army.},"The text describes broken darts, scattered hair, roofless houses, and red waters, indicating a scene of destruction and desolation. This aligns with the historical context of the Spanish conquest of the Aztec Empire, where indigenous populations were exterminated by the Spanish Army."
8,2013,"
 The International Brigades 

 were units of 
 fighters formed by volunteers from 53 nationalities 
 willing to fight in defense of the Spanish Republic. 
 It is estimated that about 60,000 citizens from various 
 parts of the world - including 40 Brazilians - joined these units. Although coordinated 
 by the communists, the Brigades had 
 members who were socialists, liberals, and from other 
 political-ideological currents. 

 SOUZA, I. I. The European Civil War. Living History, n. 70, 2009 (excerpt). 
","
 The Spanish Civil War expressed the ongoing disputes 
 in Europe in the 1930s. The common political perspective 
 that promoted the described mobilization was 
","{'A': ' criticism of Stalinism.\n', 'B': ' fight against fascism.\n', 'C': ' rejection of federalism.\n', 'D': ' support for corporatism.\n', 'E': ' adherence to anarchism.\n\n'}",{'B': ' fight against fascism.\n'},No,No,Yes,No,No,No,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,{B: fight against fascism.},"The common political perspective that promoted the described mobilization was the fight against fascism, as indicated by the International Brigades formed by volunteers from various nationalities willing to fight in defense of the Spanish Republic."
9,2013,"
Of all the transformations imposed by the technical-scientific-informational environment on transport logistics, we are most interested in intermodality. And for a very simple reason: the potential that such a 'logistic tool' boasts allows for a transportation system that is indeed commensurate with Brazil's geographical scale.
HUERTAS, D. M. The role of transportation in the recent expansion of the Brazilian agricultural frontier. Transport and Territory Journal, University of Buenos Aires, n. 3, 2010 (adapted).
","
The need for interconnected modes of transportation in the Brazilian territory is justified by
","{'A': 'climatic variations in the territory, associated with the internalization of production.', 'B': 'long distances and the pursuit of transportation cost reduction.', 'C': 'geological formation of the country, which prevents the use of a single mode.', 'D': 'proximity between the area of intensive agricultural production and ports.', 'E': 'decrease in material flows at the expense of immaterial flows.'}",{'B': 'long distances and the pursuit of transportation cost reduction.'},No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,{B: long distances and the pursuit of transportation cost reduction.},"The interconnected modes of transportation in the Brazilian territory are justified by the long distances within the country and the need to reduce transportation costs, making option B the correct answer."
10,2013,"
Hence arises a question: whether it is better to be loved than feared, or feared than loved. It might be answered that we should wish to be both; but since love and fear can hardly exist together, if we must choose between them, it is far safer to be feared than loved when one of the two must be lacking. For men in general are ungrateful, fickle, simulators and deceivers, avoiders of danger, greedy for gain; and while you do them good, they are wholly yours: they offer you their blood, their goods, their life and their children, when the danger is far off; but when it comes near, they turn against you.","
From the historical analysis of human behavior in their social and political relations, Machiavelli defines man as a being","{'A': 'endowed with virtue, with a natural disposition to practice \n\ngood to oneself and others.\n\n', 'B': 'possessor of fortune, using wealth \n\nto achieve success in politics.\n\n', 'C': 'guided by interests, so that his actions \n\nare unpredictable and inconsistent.\n\n', 'D': 'naturally rational, living in a \n\npre-social state and bearing his natural rights.\n\n', 'E': 'sociable by nature, maintaining peaceful relationships \n\nwith his peers.\n\n\n\n'}","{'C': 'guided by interests, so that his actions \n\nare unpredictable and inconsistent.\n\n'}",No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,"{C: guided by interests, so that his actions are unpredictable and inconsistent.}","The passage mentions that men in general are ungrateful, fickle, simulators, and deceivers, which implies that their actions are guided by interests and can be unpredictable and inconsistent. Therefore, the correct answer is C."
11,2013,"
In the states, however, the oligarchies were being established, 
of which Saint-Hilaire had already warned us about the danger, 
under the disguise of what was called 'the governors' policy'. 
In concentric circles, this system culminates in the 
central power itself, which is the sun of our system.

PRADO, P. Portrait of Brazil. Rio de Janeiro: José Olympio, 1972.
","
The criticism present in the text refers to the agreement that 
founded the Brazilian republican regime during the 
first three decades of the 20th century and strengthened the
","{'A': ' military power, as guarantor of the economic order. \n', 'B': ' presidentialism, with the aim of limiting the power \nof the colonels.\n\n', 'C': ' dominance of regional groups over the federative order.\n', 'D': ' intervention in the states, authorized by the \n\nconstitutional norms. \n\n', 'E': ' isonomy of the federal government in dealing with \n\nlocal disputes.\n\n'}",{'C': ' dominance of regional groups over the federative order.\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,{C: dominance of regional groups over the federative order.},"The text criticizes the dominance of regional groups over the federative order, as it mentions the establishment of oligarchies in the states under the disguise of 'the governors' policy'. This aligns with the option C."
12,2013,"
At the end of the 19th century, the Great Carnival Societies 
achieved wide popularity among the revelers in Rio de Janeiro. Such societies cultivated a pretentious 
objective regarding the carnival celebration itself: with their parades of decorated cars through the 
main streets of the city, they intended to abolish the 'entrudo' (a game that consisted of throwing water 
at the revelers) and other practices spread among the population since colonial times, replacing them with 
forms of entertainment that they considered more civilized, inspired by the carnivals of Venice. However, 
no one seemed willing to give up their amusements to attend the societies' carnival. The 'entrudo', in the view of its lively practitioners, could perfectly coexist with the parades.","
Cultural manifestations such as carnival also have their own history, being constantly reinvented over time. The performance of the Great Societies, described in the text, shows that the carnival represented a moment when","{'A': 'social distinctions were set aside in the name of celebration.', 'B': 'cosmopolitan aspirations of the elite prevented the celebration outside the clubs.', 'C': 'individual freedoms were extinguished by the rules of public authorities.', 'D': 'popular traditions became a matter of social disputes.', 'E': 'police persecutions had a xenophobic character for repudiating foreign traditions.'}",{'D': 'popular traditions became a matter of social disputes.'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,{D: popular traditions became a matter of social disputes.},"The passage describes how the Great Carnival Societies aimed to replace popular traditions like the 'entrudo' with more civilized forms of entertainment, but the revelers were not willing to give up their amusements. This shows that popular traditions became a matter of social disputes during the carnival celebrations."
