header,statement,answers
" 
A  atmosfera  terrestre  é  composta  pelos  gases 
nitrogênio (N2) e oxigênio (O2), que somam cerca de 99%, 
e por gases traços, entre eles o gás carbônico (CO2), vapor 
de água (H2O), metano (CH4), ozônio (O3) e o óxido nitroso 
(N2O), que compõem o restante 1% do ar que respiramos. 
Os  gases  traços,  por  serem  constituídos  por  pelo  menos 
três  átomos,  conseguem  absorver  o  calor  irradiado  pela 
Terra, aquecendo o planeta. Esse fenômeno, que acontece 
há bilhões de anos, é chamado de efeito estufa. A partir da 
Revolução  Industrial  (século  XIX),  a  concentração  de 
gases  traços  na  atmosfera,  em  particular  o CO2,  tem aumentado significativamente, o que resultou no aumento 
da  temperatura  em  escala  global.  Mais  recentemente, 
outro fator tornou-se diretamente envolvido no aumento da 
concentração de CO2 na atmosfera: o desmatamento.  


BROWN, I. F.; ALECHANDRE, A. S. Conceitos básicos sobre clima,  
carbono, florestas e comunidades. A.G. Moreira & S.  
Schwartzman. As mudanças climáticas globais e os  
ecossistemas brasileiros. Brasília: Instituto de Pesquisa 
Ambiental da Amazônia, 2000 (adaptado). 
","
Considerando  o texto,  uma  alternativa  viável  para 
combater o efeito estufa é 
",
"Analise a figura

Disponível em: http//www.alcoologia.net. Acesso em: 15 jul. 2009 (adaptado). 
","
Supondo  que  seja  necessário  dar  um  título  para  essa figura,  a  alternativa  que  melhor  traduziria  o  processo representado seria: 
",
"Estima-se  que  haja  atualmente  no  mundo  40 
milhões de pessoas infectadas pelo HIV (o vírus que causa 
a  AIDS),  sendo  que  as taxas  de  novas 
infecções 
continuam  crescendo,  principalmente  na  África,  Ásia  e 
Rússia. Nesse cenário de pandemia, uma vacina contra o 
HIV  teria  imenso  impacto,  pois  salvaria  milhões  de  vidas. 
Certamente  seria  um  marco  na  história  planetária  e 
também  uma  esperança  para  as  populações  carentes  de 
tratamento antiviral e de acompanhamento médico. 
TANURI, A.; FERREIRA JUNIOR, O. C. Vacina contra Aids: desafios e esperanças. Ciência 
Hoje (44) 26, 2009 (adaptado). 
","
Uma vacina eficiente contra o HIV deveria 
",
"  
Em um experimento, preparou-se um conjunto de plantas  por  técnica  de  clonagem  a  partir  de  uma  planta original  que  apresentava  folhas  verdes.  Esse  conjunto  foi dividido  em  dois  grupos,  que  foram  tratados  de  maneira idêntica, com exceção das condições de iluminação, sendo um  grupo  exposto  a  ciclos  de  iluminação  solar  natural  e outro  mantido  no  escuro.  Após  alguns  dias,  observou-se que o grupo exposto à luz apresentava folhas verdes como a planta original e o grupo cultivado no escuro apresentava 
folhas amareladas. 
","
Ao  final  do  experimento,  os  dois  grupos  de  plantas 
apresentaram 
",
" 
Na  linha  de  uma  tradição  antiga,  o  astrônomo grego  Ptolomeu  (100-170  d.C.)  afirmou  a tese  do geocentrismo,  segundo  a  qual  a  Terra  seria  o  centro  do universo, sendo que o Sol, a Lua e os planetas girariam em seu  redor  em  órbitas  circulares.  A  teoria  de  Ptolomeu resolvia de modo razoável os problemas astronômicos da sua  época.  Vários  séculos  mais 
tarde,  o  clérigo  e astrônomo  polonês  Nicolau  Copérnico  (1473-1543),  ao 
encontrar  inexatidões  na  teoria  de  Ptolomeu,  formulou  a teoria do heliocentrismo, segundo a qual o Sol deveria ser considerado o centro do universo, com a Terra, a Lua e os planetas  girando  circularmente  em  torno  dele.  Por  fim,  o astrônomo  e  matemático  alemão  Johannes  Kepler  (1571-
1630),  depois  de  estudar  o  planeta  Marte  por  cerca  de trinta  anos,  verificou  que  a  sua  órbita  é  elíptica.  Esse resultado generalizou-se para os demais planetas. 
"," 
A  respeito  dos  estudiosos  citados  no  texto,  é  correto afirmar que 
",
"O  ciclo  biogeoquímico  do  carbono  compreende diversos  compartimentos,  entre  os  quais  a  Terra,  a atmosfera  e  os  oceanos,  e  diversos  processos  que permitem  a transferência  de  compostos  entre  esses 
reservatórios.  Os  estoques  de  carbono  armazenados  na forma  de  recursos  não  renováveis,  por  exemplo,  o petróleo, são limitados, sendo de grande relevância que se perceba  a  importância  da  substituição  de  combustíveis 
fósseis por combustíveis de fontes renováveis. 
"," 
A  utilização  de  combustíveis  fósseis  interfere  no  ciclo  do 
carbono, pois provoca 
",
"Um  novo  método  para  produzir  insulina  artificial que  utiliza tecnologia  de  DNA recombinante foi desenvolvido  por  pesquisadores  do  Departamento  de 
Biologia  Celular  da  Universidade  de  Brasília  (UnB)  em parceria  com  a 
iniciativa  privada.  Os  pesquisadores modificaram  geneticamente  a  bactéria  Escherichia  coli para  torná-la  capaz  de  sintetizar  o  hormônio.  O  processo permitiu  fabricar  insulina  em  maior  quantidade  e  em apenas 30 dias, um terço do tempo necessário para obtê-la pelo  método  tradicional,  que  consiste  na  extração  do hormônio a partir do pâncreas de animais abatidos. 

Ciência Hoje, 24 abr. 2001. Disponível em: http://cienciahoje.uol.com.br (adaptado). 
","
A produção de insulina pela técnica do DNA recombinante tem, como consequência, 
",
"A  economia  moderna  depende  da  disponibilidade de  muita  energia  em  diferentes  formas,  para  funcionar  e crescer.  No  Brasil,  o  consumo  total  de  energia  pelas indústrias cresceu mais de quatro vezes no período entre 1970  e  2005.  Enquanto  os  investimentos  em  energias limpas  e  renováveis,  como  solar  e  eólica,  ainda  são incipientes, ao se avaliar a possibilidade de instalação de usinas  geradoras  de  energia  elétrica,  diversos  fatores devem  ser levados  em  consideração, tais  como  os impactos causados ao ambiente e às populações locais. 

RICARDO, B.; CAMPANILI, M. Almanaque Brasil Socioambiental. São Paulo: Instituto Socioambiental, 2007 (adaptado).   
","
Em  uma  situação  hipotética,  optou-se  por  construir  uma usina hidrelétrica em região que abrange diversas quedas d’água  em  rios  cercados  por  mata,  alegando-se  que causaria  impacto  ambiental  muito  menor  que  uma  usina termelétrica. Entre os possíveis impactos da instalação de uma usina hidrelétrica nessa região, inclui-se 
",
" 
As mudanças climáticas e da vegetação ocorridas nos trópicos  da  América  do  Sul têm  sido  bem documentadas  por  diversos  autores,  existindo  um  grande 
acúmulo  de  evidências  geológicas  ou  paleoclimatológicas que  evidenciam  essas  mudanças  ocorridas  durante  o Quaternário nessa região. Essas mudanças resultaram em restrição  da  distribuição  das florestas  pluviais,  com 
expansões  concomitantes  de  habitats  não-florestais durante  períodos  áridos  (glaciais),  seguido  da  expansão das  florestas  pluviais  e  restrição  das  áreas  não-florestais durante períodos úmidos (interglaciais). 

Disponível em: http://zoo.bio.ufpr.br. Acesso em: 1 maio 2009. 
","
Durante os períodos glaciais, 
",
"A fotossíntese é importante para a vida na Terra. Nos  cloroplastos  dos  organismos  fotossintetizantes,  a energia  solar  é  convertida  em  energia  química  que, juntamente  com  água  e  gás  carbônico  (CO2),  é  utilizada 
para  a  síntese  de  compostos  orgânicos  (carboidratos).  A fotossíntese  é  o  único  processo  de  importância  biológica capaz  de  realizar  essa  conversão.  Todos  os  organismos, incluindo os produtores, aproveitam a energia armazenada nos carboidratos para impulsionar os processos celulares, 
liberando CO2 para a atmosfera e água para a célula por meio da respiração celular. Além disso, grande fração dos recursos  energéticos  do  planeta,  produzidos  tanto  no presente (biomassa)  como  em tempos remotos 
(combustível fóssil), é resultante da atividade fotossintética. 
"," 
As  informações  sobre  obtenção  e  transformação  dos recursos  naturais  por  meio  dos  processos  vitais  de fotossíntese  e  respiração,  descritas  no  texto,  permitem concluir que 
",
" 
Para  que  todos  os  órgãos  do  corpo  humano funcionem  em  boas  condições,  é  necessário  que  a temperatura  do  corpo  fique  sempre  entre  36  ºC  e  37  ºC. Para manter-se dentro dessa faixa, em dias de muito calor ou  durante  intensos  exercícios  físicos,  uma  série  de mecanismos fisiológicos é acionada.  
"," 
Pode-se  citar  como  o  principal responsável  pela manutenção da temperatura corporal humana o sistema 
",
" 
Sabões  são  sais  de  ácidos  carboxílicos  de cadeia  longa  utilizados  com  a  finalidade  de  facilitar, durante  processos  de lavagem,  a remoção  de 
substâncias  de  baixa  solubilidade  em  água,  por exemplo, óleos e gorduras. A figura a seguir representa a estrutura de uma molécula de sabão. 
 
Em  solução,  os  ânions  do  sabão  podem hidrolisar  a  água  e,  desse  modo,  formar  o  ácido carboxílico  correspondente.  Por  exemplo,  para  o 
estearato de sódio, é estabelecido o seguinte equilíbrio:  
<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>CH</mtext><mn>3</mn></msub><msub><mfenced><msub><mtext>CH</mtext><mn>2</mn></msub></mfenced><mn>16</mn></msub><msup><mtext>COO</mtext><mo>-</mo></msup><mo>+</mo><msub><mtext>H</mtext><mn>2</mn></msub><mtext>O</mtext><mo>&#x21CB;</mo><msub><mtext>CH</mtext><mn>3</mn></msub><msub><mfenced><msub><mtext>CH</mtext><mn>2</mn></msub></mfenced><mn>16</mn></msub><mtext>COOH</mtext><mo>+</mo><msup><mtext>OH</mtext><mo>-</mo></msup></math>

Uma  vez  que  o  ácido  carboxílico  formado  é pouco solúvel em água e menos eficiente na remoção de  gorduras,  o  pH  do  meio  deve  ser  controlado  de 
maneira a evitar que o equilíbrio acima seja deslocado para a direita.  
","
Com base nas informações do texto, é correto concluir que os sabões atuam de maneira 
",
