id,area,year,context,response_gpt,response_llama,response_gpt_4,runtime_gpt,runtime_llama,runtime_gpt_4
1,Administration,2022,"TEXT 1
Representative democracy requires, for its functioning, a set of characteristics, which can be understood as institutions. They are: Elected officials; Free, fair and frequent elections; Inclusive suffrage; Right to run for elective office; Freedom of expression; Diversified sources of information; Autonomy for associations. Among the mentioned categories, two stand out as pillars of the democratic regime.
Freedom of expression: citizens have the right to express themselves, without the danger of severe punishments, regarding political matters in general, which includes the freedom to criticize government officials, the government itself, the regime, the socioeconomic order, and the dominant ideology.
Diversified sources of information: citizens have the right to seek alternative, diversified, and independent sources of information. Furthermore, the existence of alternative sources of information must be protected by law.
Source of the Text: DAHL, R. A. On Democracy, EDU: UnB, 2001 (adapted).
TEXT 2
Source of the Text: DAHL, R. A. On Democracy, EDU: UnB, 2001 (adapted).
Although political regimes can be overthrown and ideologies criticized and stripped of their legitimacy, behind a regime and its ideology there is always a way of thinking and feeling, a series of cultural habits, a nebula of obscure instincts and unfathomable impulses.
Source of the Text: ECO, U. The Eternal Fascism. In: Five Moral Writings. Editora Record: Rio de Janeiro, 2002 (adapted).
TEXT 3
The figure below exemplifies some behaviors that, according to Umberto Eco, can be considered contradictory to democratic principles.
Description of the Figure:
7 frames are presented with different phrases and illustrations.
Phrase: 'Cult of traditions and roots'.
Illustration: drawing of a bald eagle wearing a baseball cap.
Phrase: 'Constant state of threat'.
Illustration: tank.
Phrase: 'Exaltation of popular will'.
Illustration: hand prop with raised index finger and the writing '#1 - the best'.
Phrase: 'Opposition to critical analysis'.
Illustration: microphones emitting the phrase 'Fake News!'.
Phrase: 'Obsession with conspiracies and external culprits'.
Illustration: drawing of immigrants as targets.
Phrase: 'Proclamation of a leader (the voice of the people)'.
Illustration: a person on a hill speaking to the crowds.
Phrase: 'Limited and repetitive language'.
Illustration: a mouth saying 'I have the best words'.",,,"{""questions"":[
    {""question"": ""What are the two pillars of the democratic regime according to Dahl?"", 
    ""bloom_level"": ""Remember"", 
    ""difficult_level"": ""Beginner"", 
    ""options"": {
        ""A"": ""Elected officials and Free elections"", 
        ""B"": ""Freedom of expression and Diversified sources of information"", 
        ""C"": ""Inclusive suffrage and Right to run for elective office"", 
        ""D"": ""Autonomy for associations and Elected officials"", 
        ""E"": ""Free elections and Inclusive suffrage""
    }, 
    ""correct_answer"": [""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""Freedom of expression and Diversified sources of information""
    },
    {""question"": ""What does the 'Cult of traditions and roots' phrase in the figure represent in the context of democratic principles?"", 
    ""bloom_level"": ""Understand"", 
    ""difficult_level"": ""Intermediate"", 
    ""options"": {
        ""A"": ""The importance of historical context in decision making"", 
        ""B"": ""The tendency to uphold traditional values and norms at the expense of progress"", 
        ""C"": ""The need for a strong cultural identity to maintain a democratic society"", 
        ""D"": ""The role of cultural heritage in shaping political ideologies"", 
        ""E"": ""The influence of traditional institutions on democratic processes""
    }, 
    ""correct_answer"": [""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""The tendency to uphold traditional values and norms at the expense of progress""
    },
    {""question"": ""How does the 'Obsession with conspiracies and external culprits' phrase in the figure contradict democratic principles?"", 
    ""bloom_level"": ""Analyze"", 
    ""difficult_level"": ""Advanced"", 
    ""options"": {
        ""A"": ""It promotes fear and division among citizens"", 
        ""B"": ""It undermines the principle of freedom of expression"", 
        ""C"": ""It encourages the spread of misinformation"", 
        ""D"": ""It distracts from the real issues that need to be addressed"", 
        ""E"": ""All of the above""
    }, 
    ""correct_answer"": [""E""], 
    ""correct_answer_letter"": ""E"", 
    ""correct_answer_text"": ""All of the above""
    }
]}",,,19.427923917770386
2,Administration,2022,"TEXT 1
Data from the survey conducted by TransgenderEurope (TGEU) shows that Brazil has remained for the 13th consecutive year as the country that most kills transgender people.
Map Description:
Title: Transgender Deaths - by countries from 2008 to 2021 - Absolute numbers:
• More than 1000: Brazil.
• 501 to 1000: Mexico.
• 251 to 500: USA.
• 101 to 250: Argentina, Venezuela, Colombia, India.
• 51 to 100: Turkey.
• 2 to 50: Canada, Russia, China, Saudi Arabia, Australia and part of Europe.
TEXT 2
According to data from the Notification of Injuries Information System (Sinan), from the Ministry of Health, there was a gross increase of 5% in violence against homosexuals and 37.1% in violence against bisexuals, going from 4,855 records in 2018 to 5,330 in 2019. The following graph presents the percentage data of reported cases in 2019, according to the victims' sexual orientation.
Graph Description:
Title: Brazil: Profile of Homosexual and Bisexual People Victims of Violence, by Sexual Orientation, by Age Group (2019):
• 10 to 14 years: Heterosexuals (9%), Homosexuals (6%), Bisexuals (8%).
• 15 to 19 years: Heterosexuals (14%), Homosexuals (16%), Bisexuals (27%).
• 35 to 39 years: Heterosexuals (11%), Homosexuals (9%), Bisexuals (7%).
• 40 to 44 years: Heterosexuals (9%), Homosexuals (7%), Bisexuals (4%).
• 60 to 64 years: Heterosexuals (3%), Homosexuals (2%), Bisexuals (1%).",,,"{""questions"":[
    {""question"": ""Which country has the highest number of transgender deaths from 2008 to 2021 according to the survey conducted by TransgenderEurope (TGEU)?"",
    ""bloom_level"": ""Remember"",
    ""difficult_level"": ""Beginner"",
    ""options"": {""A"": ""USA"",""B"": ""Mexico"",""C"": ""Brazil"",""D"": ""Argentina"",""E"": ""India""},
    ""correct_answer"": [""C""],
    ""correct_answer_letter"": ""C"",
    ""correct_answer_text"": ""Brazil""},
    
    {""question"": ""According to the Notification of Injuries Information System (Sinan), what was the percentage increase in violence against bisexuals from 2018 to 2019?"",
    ""bloom_level"": ""Understand"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {""A"": ""5%"",""B"": ""37.1%"",""C"": ""10%"",""D"": ""25%"",""E"": ""50%""},
    ""correct_answer"": [""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""37.1%""},
    
    {""question"": ""Based on the data provided, which age group of bisexuals experienced the highest percentage of violence in 2019?"",
    ""bloom_level"": ""Apply"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {""A"": ""10 to 14 years"",""B"": ""15 to 19 years"",""C"": ""35 to 39 years"",""D"": ""40 to 44 years"",""E"": ""60 to 64 years""},
    ""correct_answer"": [""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""15 to 19 years""},
    
    {""question"": ""Analyze the data and determine which country falls in the range of 101 to 250 transgender deaths from 2008 to 2021?"",
    ""bloom_level"": ""Analyze"",
    ""difficult_level"": ""Advanced"",
    ""options"": {""A"": ""USA"",""B"": ""Mexico"",""C"": ""Brazil"",""D"": ""Argentina"",""E"": ""Turkey""},
    ""correct_answer"": [""D""],
    ""correct_answer_letter"": ""D"",
    ""correct_answer_text"": ""Argentina""},
    
    {""question"": ""Evaluate the data and infer which age group of homosexuals experienced the least percentage of violence in 2019?"",
    ""bloom_level"": ""Evaluate"",
    ""difficult_level"": ""Advanced"",
    ""options"": {""A"": ""10 to 14 years"",""B"": ""15 to 19 years"",""C"": ""35 to 39 years"",""D"": ""40 to 44 years"",""E"": ""60 to 64 years""},
    ""correct_answer"": [""E""],
    ""correct_answer_letter"": ""E"",
    ""correct_answer_text"": ""60 to 64 years""}
]}",,,18.428707122802734
3,Administration,2022,"In 2019, armed violence was three times higher for the black population, compared to the non-black population, both for the general population and for the youth group (between 15 and 29 years old). Regarding the mortality rate per 100,000 inhabitants in the group of people up to 14 years old, the inequality in the victimization of black children and adolescents by firearm assault also stands out, with a rate 3.6 times higher than that of non-blacks in 2019. Source of the Text: INSTITUTO SOU DA PAZ. Armed violence and racism: the role of firearms in racial inequality. 2021.",,,"{""questions"":[
    {""question"": ""In 2019, how much higher was the rate of armed violence for the black population compared to the non-black population?"",
    ""bloom_level"": ""Remember"",
    ""difficult_level"": ""Beginner"",
    ""options"": {""A"": ""Two times higher"",""B"": ""Three times higher"",""C"": ""Four times higher"",""D"": ""Five times higher"",""E"": ""Six times higher""},
    ""correct_answer"": [""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""Three times higher""},
    
    {""question"": ""Which age group was specifically mentioned in the context of higher rates of armed violence for the black population in 2019?"",
    ""bloom_level"": ""Understand"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {""A"": ""10 to 24 years old"",""B"": ""15 to 29 years old"",""C"": ""20 to 34 years old"",""D"": ""25 to 39 years old"",""E"": ""30 to 44 years old""},
    ""correct_answer"": [""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""15 to 29 years old""},
    
    {""question"": ""What is the significance of the mortality rate per 100,000 inhabitants in the context of armed violence and racism?"",
    ""bloom_level"": ""Analyze"",
    ""difficult_level"": ""Advanced"",
    ""options"": {""A"": ""It shows the total number of deaths due to armed violence"",""B"": ""It indicates the racial disparity in victimization by firearm assault"",""C"": ""It represents the percentage of the population affected by armed violence"",""D"": ""It provides a measure of the effectiveness of law enforcement"",""E"": ""It reflects the socio-economic status of the population""},
    ""correct_answer"": [""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""It indicates the racial disparity in victimization by firearm assault""}
]}",,,17.710197925567627
4,Administration,2022,"TEXT 1
In addition to a lawsuit regarding the Temporal Framework being processed in the Judiciary, there is also a bill in the Chamber of Deputies that seeks to turn the Temporal Framework thesis into law. It is Bill No. 490/2007, which determines that only the peoples who were occupying the lands considered ancestral on the day of the promulgation of the Federal Constitution, on October 5, 1988, should have the right to these lands.
Available on g1.globo website. Accessed on: June 21, 2022 (adapted).
TEXT 2
The murder of the indigenist Bruno Pereira and the journalist Dom Phillips exposed to the world the importance of demarcating indigenous territories, guaranteed by the 1988 Federal Constitution. Indigenous territories, besides preserving identities, ways of life, traditions, and cultures of these peoples, are also essential for environmental preservation. They contribute to containing greenhouse gas emissions, promoting biodiversity, and enhancing systems.
If the Temporal Framework criterion is maintained, the land conflict may intensify. The territories will become areas of more conflicts between farmers, miners, prospectors, land grabbers, rural producers, drug traffickers, fish traders, hunters, and loggers, resulting in the death of indigenous people and forest defenders, and by extension, of indigenous territories.",,,"{""questions"":[
    {""question"": ""What is the main purpose of Bill No. 490/2007?"", 
    ""bloom_level"": ""Understand"", 
    ""difficult_level"": ""Beginner"", 
    ""options"": {
        ""A"": ""To grant land rights to all indigenous peoples"", 
        ""B"": ""To turn the Temporal Framework thesis into law"", 
        ""C"": ""To abolish the Temporal Framework"", 
        ""D"": ""To grant land rights to all citizens"", 
        ""E"": ""To change the date of the Federal Constitution promulgation""
    }, 
    ""correct_answer"": [""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""To turn the Temporal Framework thesis into law""
    },
    {""question"": ""What could be a potential consequence if the Temporal Framework criterion is maintained?"", 
    ""bloom_level"": ""Apply"", 
    ""difficult_level"": ""Intermediate"", 
    ""options"": {
        ""A"": ""Decrease in land conflicts"", 
        ""B"": ""Increase in biodiversity"", 
        ""C"": ""Intensification of land conflicts"", 
        ""D"": ""Decrease in greenhouse gas emissions"", 
        ""E"": ""Increase in the number of indigenous territories""
    }, 
    ""correct_answer"": [""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""Intensification of land conflicts""
    },
    {""question"": ""How does the demarcation of indigenous territories contribute to environmental preservation?"", 
    ""bloom_level"": ""Analyze"", 
    ""difficult_level"": ""Advanced"", 
    ""options"": {
        ""A"": ""By promoting industrialization"", 
        ""B"": ""By increasing greenhouse gas emissions"", 
        ""C"": ""By containing greenhouse gas emissions and promoting biodiversity"", 
        ""D"": ""By promoting deforestation"", 
        ""E"": ""By promoting urbanization""
    }, 
    ""correct_answer"": [""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""By containing greenhouse gas emissions and promoting biodiversity""
    }
]}",,,14.845905780792236
5,Administration,2022,"Research carried out by the Brazilian Observatory of Public Policies of the Federal University of Minas Gerais (UFMG) indicates that the population living on the streets increased in Brazil in 2022. From January to May this year, more than 26 thousand new people in this situation were registered in the Single Registry (CadÚnico) of the Federal Government. In the country, more than 180 thousand people are registered in CadÚnico. Available on the g1.globo website. Accessed on: July 6, 2022 (adapted).",,,"{""questions"":[
    {""question"": ""Which institution conducted the research indicating an increase in the population living on the streets in Brazil in 2022?"", 
    ""bloom_level"": ""Remember"", 
    ""difficult_level"": ""Beginner"", 
    ""options"": {""A"": ""Federal University of Rio de Janeiro"", ""B"": ""Brazilian Observatory of Public Policies of the Federal University of Minas Gerais"", ""C"": ""Federal University of São Paulo"", ""D"": ""Brazilian Institute of Geography and Statistics"", ""E"": ""Federal University of Bahia""}, 
    ""correct_answer"": [""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""Brazilian Observatory of Public Policies of the Federal University of Minas Gerais""},

    {""question"": ""What is the CadÚnico?"", 
    ""bloom_level"": ""Understand"", 
    ""difficult_level"": ""Intermediate"", 
    ""options"": {""A"": ""A Brazilian government program for housing"", ""B"": ""A Brazilian government program for education"", ""C"": ""A Brazilian government program for health"", ""D"": ""A Brazilian government program for employment"", ""E"": ""A Brazilian government single registry for people living on the streets""}, 
    ""correct_answer"": [""E""], 
    ""correct_answer_letter"": ""E"", 
    ""correct_answer_text"": ""A Brazilian government single registry for people living on the streets""},

    {""question"": ""Based on the research, how can the Brazilian government use the data from CadÚnico to address the issue of increasing population living on the streets?"", 
    ""bloom_level"": ""Apply"", 
    ""difficult_level"": ""Advanced"", 
    ""options"": {""A"": ""By increasing the budget for public housing"", ""B"": ""By implementing stricter laws against homelessness"", ""C"": ""By providing more job opportunities"", ""D"": ""By creating more shelters for homeless people"", ""E"": ""All of the above""}, 
    ""correct_answer"": [""E""], 
    ""correct_answer_letter"": ""E"", 
    ""correct_answer_text"": ""All of the above""}
]}",,,15.76573395729065
6,Administration,2022,"By the end of 2021, around 89.3 million people were displaced worldwide due to violence, persecution, human rights violations, or other conflicts in their places of origin. This contingent of forced displacements had already reached over 100 million people by May 2022, motivated by instabilities such as those in Afghanistan, some African countries, and the regions of Ukraine occupied by Russia, as well as other places where armed conflicts had been ongoing, such as in Syria. Available at acnur.org. Accessed on: June 21, 2022 (adapted). Description of the figure: The cartoon by artist Latuff depicts Syrian migrants fleeing the civil war towards Europe. On a beach, three characters watch the arrival of overcrowded boats with migrants: The first one, with his hands in his pockets, is wearing a gray suit with a dollar sign symbol on his back and says, 'I see cheap labor!'. Next to him, a lady wearing the flag of the European Union shows concern and says, 'I see a headache!'. Finally, with his back to the beach, the third one wears clothes with the colors of the US flag, bids farewell by touching the lady's shoulder, whistles, and says, 'I'll see you on my next military adventure!'.",,,"{""questions"":[
    {""question"": ""What was the estimated number of people displaced worldwide by the end of 2021?"",
    ""bloom_level"": ""Remember"",
    ""difficult_level"": ""Beginner"",
    ""options"": {""A"": ""50 million"",""B"": ""89.3 million"",""C"": ""100 million"",""D"": ""120 million"",""E"": ""150 million""},
    ""correct_answer"": [""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""89.3 million""
    },
    {""question"": ""Which of the following is NOT a reason for the displacement of people worldwide by May 2022?"",
    ""bloom_level"": ""Understand"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {""A"": ""Violence"",""B"": ""Persecution"",""C"": ""Human rights violations"",""D"": ""Natural disasters"",""E"": ""Conflicts in places of origin""},
    ""correct_answer"": [""D""],
    ""correct_answer_letter"": ""D"",
    ""correct_answer_text"": ""Natural disasters""
    },
    {""question"": ""What does the character wearing a gray suit with a dollar sign symbol on his back represent in the cartoon by artist Latuff?"",
    ""bloom_level"": ""Analyze"",
    ""difficult_level"": ""Advanced"",
    ""options"": {""A"": ""The exploitation of migrant labor"",""B"": ""The wealth of the European Union"",""C"": ""The economic power of the United States"",""D"": ""The financial support for migrants"",""E"": ""The economic crisis in Syria""},
    ""correct_answer"": [""A""],
    ""correct_answer_letter"": ""A"",
    ""correct_answer_text"": ""The exploitation of migrant labor""
    },
    {""question"": ""What is the implied message of the character wearing clothes with the colors of the US flag in the cartoon?"",
    ""bloom_level"": ""Evaluate"",
    ""difficult_level"": ""Advanced"",
    ""options"": {""A"": ""The US is welcoming to migrants"",""B"": ""The US is indifferent to the migrant crisis"",""C"": ""The US is responsible for some of the conflicts causing displacement"",""D"": ""The US is providing financial aid to displaced people"",""E"": ""The US is planning to invade Syria""},
    ""correct_answer"": [""C""],
    ""correct_answer_letter"": ""C"",
    ""correct_answer_text"": ""The US is responsible for some of the conflicts causing displacement""
    },
    {""question"": ""Based on the information provided, which region is NOT mentioned as a source of instability leading to displacement?"",
    ""bloom_level"": ""Apply"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {""A"": ""Afghanistan"",""B"": ""Some African countries"",""C"": ""Regions of Ukraine occupied by Russia"",""D"": ""Syria"",""E"": ""China""},
    ""correct_answer"": [""E""],
    ""correct_answer_letter"": ""E"",
    ""correct_answer_text"": ""China""
    }
]}",,,24.26483988761902
7,Administration,2022,"TEXT 1
Description of the Graph:
Title: Latin America, Caribbean (21 countries): Femicide or feminicide (2021) (in absolute numbers and rates per 100,000 women)
The following data are presented:
Countries - Absolute Number of Deaths - Deaths per 100,000 women (approximately)
Honduras - 227 - 4.8
Santa Lucia - 4 - 4.5
Trinidad and Tobago - 22 - 3.1
Dominican Republic - 132 - 2.4
El Salvador - 73 - 2.3
Bolivia - 113 - 2
Brazil - 1738 - 1.8
Panama - 31 - 1.5
Mexico - 948 - 1.6
Guatemala - 119 - 1.2
Uruguay - 19 - 1.1
Argentina - 251 - 1.1
Paraguay - 36 - 1
Ecuador - 79 - 0.9
Peru - 148 - 0.9
TEXT 2
Research results from the Economic Commission for Latin America and the Caribbean (ECLAC), linked to the United Nations (UN), indicate that, in addition to intimate femicide, perpetrated by partners or ex-partners of the victim, and systemic sexual femicide, where the victim is kidnapped and raped, there is lesbophobic or biphobic femicide, configured when the victim is bisexual or lesbian and is murdered because the aggressor believes she should be punished for her sexual orientation.
Available on the ebc website. Accessed on: Aug 22, 2022.",,,"{""questions"":[
    {""question"": ""Which country had the highest absolute number of femicide or feminicide deaths in 2021 according to the graph?"",
    ""bloom_level"": ""Remember"",
    ""difficult_level"": ""Beginner"",
    ""options"": {
        ""A"": ""Honduras"",
        ""B"": ""Brazil"",
        ""C"": ""Mexico"",
        ""D"": ""Argentina"",
        ""E"": ""Dominican Republic""
    },
    ""correct_answer"": [""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""Brazil""
    },
    {""question"": ""What is the rate of femicide or feminicide deaths per 100,000 women in Trinidad and Tobago according to the graph?"",
    ""bloom_level"": ""Understand"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {
        ""A"": ""1.1"",
        ""B"": ""2.4"",
        ""C"": ""3.1"",
        ""D"": ""4.5"",
        ""E"": ""1.8""
    },
    ""correct_answer"": [""C""],
    ""correct_answer_letter"": ""C"",
    ""correct_answer_text"": ""3.1""
    },
    {""question"": ""According to the research results from the Economic Commission for Latin America and the Caribbean (ECLAC), what is lesbophobic or biphobic femicide?"",
    ""bloom_level"": ""Understand"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {
        ""A"": ""Femicide perpetrated by partners or ex-partners of the victim"",
        ""B"": ""Femicide where the victim is kidnapped and raped"",
        ""C"": ""Femicide when the victim is bisexual or lesbian and is murdered because the aggressor believes she should be punished for her sexual orientation"",
        ""D"": ""Femicide where the victim is murdered due to her political beliefs"",
        ""E"": ""Femicide where the victim is murdered due to her religious beliefs""
    },
    ""correct_answer"": [""C""],
    ""correct_answer_letter"": ""C"",
    ""correct_answer_text"": ""Femicide when the victim is bisexual or lesbian and is murdered because the aggressor believes she should be punished for her sexual orientation""
    },
    {""question"": ""Based on the data, which country has a lower rate of femicide or feminicide deaths per 100,000 women, Ecuador or Peru?"",
    ""bloom_level"": ""Analyze"",
    ""difficult_level"": ""Advanced"",
    ""options"": {
        ""A"": ""Ecuador"",
        ""B"": ""Peru"",
        ""C"": ""Both have the same rate"",
        ""D"": ""The data does not provide this information"",
        ""E"": ""Neither, as both countries have no reported cases""
    },
    ""correct_answer"": [""C""],
    ""correct_answer_letter"": ""C"",
    ""correct_answer_text"": ""Both have the same rate""
    }
]}",,,22.72927188873291
8,Administration,2022,"Description of the image:
Photo of Charles Humpres showing graffiti by Eduardo Kobra. The art occupies the side space of two floors of a building, characterized by the intense use of contrasts and colors that portrays a man sitting on the ground, head down, barefoot, with two empty plates by his side and holding a sign that reads 'Welcome to real Brazil'.
Initially, the transgressive nature of graffiti was seen by the State as vandalism in public space and as a danger to the conservation of private property, therefore, it should be combated. Over time, however, this marginal conception has transformed, leading to an acceptable valorization by the State and positive for society. This transition of graffiti, from marginal art to recognized and accepted artistic expression, has revealed important aspects not only for graffiti professionals, but for society as a whole, as it incorporates the possibility of being an artistic product of cultural, economic, and ideological value.
Source of the Text: PIRES, E. M.; SANTOS, F. A. The city of São Paulo and its dynamics: graffiti, Clean City Law, and urban advertising. Annals of the Museu Paulista: History and Material Culture. v. 26, São Paulo, 2018 (adapted).",,,"{""questions"":[
    {""question"": ""Who is the artist of the graffiti shown in the image?"", 
    ""bloom_level"": ""Remember"", 
    ""difficult_level"": ""Beginner"", 
    ""options"": {
        ""A"": ""Charles Humpres"", 
        ""B"": ""Eduardo Kobra"", 
        ""C"": ""Pires E. M."", 
        ""D"": ""Santos F. A."", 
        ""E"": ""Unknown""
    }, 
    ""correct_answer"": [""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""Eduardo Kobra""
    },
    {""question"": ""What does the graffiti portray?"", 
    ""bloom_level"": ""Understand"", 
    ""difficult_level"": ""Intermediate"", 
    ""options"": {
        ""A"": ""A man standing with a sign"", 
        ""B"": ""A man sitting on the ground with two empty plates and a sign"", 
        ""C"": ""A man dancing"", 
        ""D"": ""A man painting a wall"", 
        ""E"": ""A man running""
    }, 
    ""correct_answer"": [""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""A man sitting on the ground with two empty plates and a sign""
    },
    {""question"": ""How has the perception of graffiti changed over time?"", 
    ""bloom_level"": ""Analyze"", 
    ""difficult_level"": ""Advanced"", 
    ""options"": {
        ""A"": ""It has remained the same"", 
        ""B"": ""It has become more negative"", 
        ""C"": ""It has become more positive"", 
        ""D"": ""It has become more controversial"", 
        ""E"": ""It has become less popular""
    }, 
    ""correct_answer"": [""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""It has become more positive""
    }
]}",,,19.136072874069214
10,Administration,2022,"Among the theories used in Administration, Mathematical Theory is the one that focuses on rational decision-making process, based on mathematical, statistical, and computational procedures. This theory emerged between the 1940s and 1950s and has been present in managerial practices and trends since then. Game theory, queuing theory, probability theory, and linear programming, applied to managerial problems, are techniques and methods recurring in mathematical sciences that originated from Mathematical Theory. The recent evolution of the use of Mathematical Theory is evidenced in the methods and processes of Big Data, Business Intelligence, and Business Analytics, which use computational platforms with large volumes of data in different formats (numeric, textual, visual). When considering the different specialties and managerial functions, there are variations in the intensity of use of these tools, in areas that make intensive use of methods and tools, and in others that have reduced use. In addition, functional areas are linked, in a differentiated way, to different methods. Source of the Text: ANDRADE, R .; AMBONI, N. TGA - General Theory of Administration, 2017 (adapted).",,,"{""questions"":[
    {""question"": ""What is the main focus of Mathematical Theory in Administration?"",
    ""bloom_level"": ""Remember"",
    ""difficult_level"": ""Beginner"",
    ""options"": {
        ""A"": ""Emotional decision-making process"",
        ""B"": ""Rational decision-making process"",
        ""C"": ""Intuitive decision-making process"",
        ""D"": ""Impulsive decision-making process"",
        ""E"": ""Subjective decision-making process""
    },
    ""correct_answer"":[""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""Rational decision-making process""
    },
    {""question"": ""Which of the following is NOT a technique or method that originated from Mathematical Theory?"",
    ""bloom_level"": ""Understand"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {
        ""A"": ""Game theory"",
        ""B"": ""Queuing theory"",
        ""C"": ""Probability theory"",
        ""D"": ""Linear programming"",
        ""E"": ""Emotional intelligence""
    },
    ""correct_answer"":[""E""],
    ""correct_answer_letter"": ""E"",
    ""correct_answer_text"": ""Emotional intelligence""
    },
    {""question"": ""How has the recent evolution of Mathematical Theory been evidenced in managerial practices?"",
    ""bloom_level"": ""Analyze"",
    ""difficult_level"": ""Advanced"",
    ""options"": {
        ""A"": ""Through the use of traditional statistical methods"",
        ""B"": ""Through the use of Big Data, Business Intelligence, and Business Analytics"",
        ""C"": ""Through the use of emotional intelligence techniques"",
        ""D"": ""Through the use of intuitive decision-making processes"",
        ""E"": ""Through the use of subjective decision-making processes""
    },
    ""correct_answer"":[""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""Through the use of Big Data, Business Intelligence, and Business Analytics""
    }
]}",,,17.309894800186157
11,Administration,2022,"The development of institutions within capitalist society, triggered by technological transformations in the late 19th century, led to the material and immaterial rationalization of productive processes. These institutions were meticulously studied by Max Weber (1864-1920), who focused on the analysis of the daily organization of society, on the division and coordination of the most diverse labor activities. These activities were based on the rational division of labor, on the requirement of specialization and differentiation of the functions performed by workers, and classified according to technical criteria, through subordination to a hierarchically organized and highly specialized authority.
Source of the Text: SANTOS, F. R. Max Weber and bureaucratic rationality, Jun. 2015 (adapted).",,,"{""questions"":[
    {""question"": ""Who is the scholar that studied the development of institutions within capitalist society in the late 19th century?"", ""bloom_level"": ""Remember"", ""difficult_level"": ""Beginner"", ""options"": {""A"": ""Karl Marx"", ""B"": ""Max Weber"", ""C"": ""Adam Smith"", ""D"": ""John Locke"", ""E"": ""Friedrich Engels""}, ""correct_answer"": [""B""], ""correct_answer_letter"": ""B"", ""correct_answer_text"": ""Max Weber""},
    {""question"": ""What was the focus of Max Weber's analysis in the study of institutions within capitalist society?"", ""bloom_level"": ""Understand"", ""difficult_level"": ""Intermediate"", ""options"": {""A"": ""The economic impact of capitalism"", ""B"": ""The political structure of capitalist societies"", ""C"": ""The daily organization of society and division of labor"", ""D"": ""The cultural aspects of capitalism"", ""E"": ""The psychological effects of capitalism on individuals""}, ""correct_answer"": [""C""], ""correct_answer_letter"": ""C"", ""correct_answer_text"": ""The daily organization of society and division of labor""},
    {""question"": ""How did Max Weber classify the functions performed by workers in capitalist institutions?"", ""bloom_level"": ""Apply"", ""difficult_level"": ""Intermediate"", ""options"": {""A"": ""According to their social status"", ""B"": ""According to their educational level"", ""C"": ""According to their income level"", ""D"": ""According to technical criteria"", ""E"": ""According to their political affiliations""}, ""correct_answer"": [""D""], ""correct_answer_letter"": ""D"", ""correct_answer_text"": ""According to technical criteria""},
    {""question"": ""What is the significance of the rational division of labor in the context of Max Weber's analysis?"", ""bloom_level"": ""Analyze"", ""difficult_level"": ""Advanced"", ""options"": {""A"": ""It leads to economic inequality"", ""B"": ""It promotes efficiency and specialization"", ""C"": ""It causes social unrest"", ""D"": ""It encourages political activism"", ""E"": ""It undermines traditional social structures""}, ""correct_answer"": [""B""], ""correct_answer_letter"": ""B"", ""correct_answer_text"": ""It promotes efficiency and specialization""},
    {""question"": ""Based on Max Weber's analysis, evaluate the impact of technological transformations on the development of institutions within capitalist society."", ""bloom_level"": ""Evaluate"", ""difficult_level"": ""Advanced"", ""options"": {""A"": ""They hindered the development of capitalist institutions"", ""B"": ""They had no significant impact on the development of capitalist institutions"", ""C"": ""They led to the material and immaterial rationalization of productive processes"", ""D"": ""They caused a decline in the importance of capitalist institutions"", ""E"": ""They led to the dissolution of capitalist institutions""}, ""correct_answer"": [""C""], ""correct_answer_letter"": ""C"", ""correct_answer_text"": ""They led to the material and immaterial rationalization of productive processes""}
]}",,,24.470813989639282
