id,area,year,context,response_gpt,response_llama,response_gpt_4,runtime_gpt,runtime_llama,runtime_gpt_4
100,NATURAL SCIENCES AND THEIR TECHNOLOGIES,2017,"
Microscopic particles existing in the atmosphere function as condensation nuclei for water vapor that, under suitable conditions of temperature and pressure, provide the formation of clouds and consequently rain. In the atmospheric air, such particles are formed by the reaction of acids (<math xmlns=""http://www.w3.org/1998/Math/MathML""><mtext>H</mtext><mi>X</mi></math>) with the base <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>NH</mtext><mn>3</mn></msub></math>, naturally or anthropogenically, giving rise to ammonium salts (<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>NH</mtext><mn>4</mn></msub><mi>X</mi></math>), according to the generic chemical equation:

<math xmlns=""http://www.w3.org/1998/Math/MathML""><mtext>H</mtext><mi>X</mi><mfenced><mtext>g</mtext></mfenced><mo>+</mo><msub><mtext>NH</mtext><mn>3</mn></msub><mo>&#x2192;</mo><msub><mtext>NH</mtext><mn>4</mn></msub><mi>X</mi></math>

FELIX, E. P.; CARDOSO, A. A. Environmental factors that affect wet precipitation. 
Química Nova na Escola, n. 21, May 2005 (adapted).
",,,"{""questions"":[
    {""question"": ""What are the microscopic particles in the atmosphere that function as condensation nuclei for water vapor?"", ""bloom_level"": ""Remember"", ""difficult_level"": ""Beginner"", ""options"": [{""A"": ""Ammonium salts"",""B"": ""Acids"",""C"": ""Bases"",""D"": ""Water molecules"",""E"": ""Oxygen molecules""}], ""correct_answer"": [""A""], ""correct_answer_letter"": ""A"", ""correct_answer_text"": ""Ammonium salts""},
    {""question"": ""What is the result of the reaction between acids and the base NH3 in the atmosphere?"", ""bloom_level"": ""Understand"", ""difficult_level"": ""Intermediate"", ""options"": [{""A"": ""Water"",""B"": ""Ammonium salts"",""C"": ""Acid rain"",""D"": ""Ozone"",""E"": ""Carbon dioxide""}], ""correct_answer"": [""B""], ""correct_answer_letter"": ""B"", ""correct_answer_text"": ""Ammonium salts""},
    {""question"": ""How does the formation of ammonium salts in the atmosphere contribute to the formation of clouds and rain?"", ""bloom_level"": ""Apply"", ""difficult_level"": ""Intermediate"", ""options"": [{""A"": ""They absorb sunlight and heat the air"",""B"": ""They act as condensation nuclei for water vapor"",""C"": ""They react with water to form acid rain"",""D"": ""They increase the concentration of water vapor in the air"",""E"": ""They reduce the temperature of the air""}], ""correct_answer"": [""B""], ""correct_answer_letter"": ""B"", ""correct_answer_text"": ""They act as condensation nuclei for water vapor""},
    {""question"": ""What is the role of temperature and pressure in the formation of clouds and rain?"", ""bloom_level"": ""Analyze"", ""difficult_level"": ""Advanced"", ""options"": [{""A"": ""They determine the rate of reaction between acids and NH3"",""B"": ""They affect the solubility of ammonium salts in water"",""C"": ""They influence the condensation of water vapor on ammonium salts"",""D"": ""They control the evaporation of water from the surface of the Earth"",""E"": ""They regulate the amount of water vapor in the air""}], ""correct_answer"": [""C""], ""correct_answer_letter"": ""C"", ""correct_answer_text"": ""They influence the condensation of water vapor on ammonium salts""},
    {""question"": ""What could be the environmental implications of an increase in the formation of ammonium salts in the atmosphere due to anthropogenic activities?"", ""bloom_level"": ""Evaluate"", ""difficult_level"": ""Advanced"", ""options"": [{""A"": ""Increased global warming"",""B"": ""Decreased cloud formation"",""C"": ""Increased acid rain"",""D"": ""Increased cloud formation and precipitation"",""E"": ""Decreased precipitation""}], ""correct_answer"": [""D""], ""correct_answer_letter"": ""D"", ""correct_answer_text"": ""Increased cloud formation and precipitation""}
]}",,,27.014729022979736
103,NATURAL SCIENCES AND THEIR TECHNOLOGIES,2017,"
The figure shows the operation of a hybrid electricity generation station powered by wind energy and biogas. This station allows the energy generated in the wind farm to be stored in the form of hydrogen gas, used to supply energy to the common electrical grid and to power fuel cells.

Available at: www.enertrag.com. Accessed on: Apr 24, 2015 (adapted).
",,,"{""questions"":[
    {""question"": ""What type of energy does a hybrid electricity generation station use?"", 
    ""bloom_level"": ""Remember"", 
    ""difficult_level"": ""Beginner"", 
    ""options"": [
        {""A"": ""Solar and nuclear energy"", 
        ""B"": ""Wind and biogas energy"", 
        ""C"": ""Hydro and thermal energy"", 
        ""D"": ""Geothermal and tidal energy"", 
        ""E"": ""Chemical and mechanical energy""}], 
    ""correct_answer"":[""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""Wind and biogas energy""},

    {""question"": ""How is the energy generated in the wind farm stored in the hybrid electricity generation station?"", 
    ""bloom_level"": ""Understand"", 
    ""difficult_level"": ""Intermediate"", 
    ""options"": [
        {""A"": ""In the form of heat"", 
        ""B"": ""In the form of light"", 
        ""C"": ""In the form of hydrogen gas"", 
        ""D"": ""In the form of kinetic energy"", 
        ""E"": ""In the form of potential energy""}], 
    ""correct_answer"":[""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""In the form of hydrogen gas""},

    {""question"": ""What is the purpose of storing the energy generated in the wind farm in the form of hydrogen gas in the hybrid electricity generation station?"", 
    ""bloom_level"": ""Analyze"", 
    ""difficult_level"": ""Advanced"", 
    ""options"": [
        {""A"": ""To supply energy to the common electrical grid and to power fuel cells"", 
        ""B"": ""To generate more wind energy"", 
        ""C"": ""To convert it into biogas"", 
        ""D"": ""To use it as a backup power source during power outages"", 
        ""E"": ""To reduce the environmental impact of the station""}], 
    ""correct_answer"":[""A""], 
    ""correct_answer_letter"": ""A"", 
    ""correct_answer_text"": ""To supply energy to the common electrical grid and to power fuel cells""}
]}",,,22.219207286834717
106,NATURAL SCIENCES AND THEIR TECHNOLOGIES,2017,"The toxicity of some substances is normally represented by an index known as LD50 (median lethal dose). It represents the dosage applied to a population of living beings that kills 50% of these individuals and is usually measured using rats as guinea pigs. This index is very important for humans, because by extrapolating the data obtained with the use of guinea pigs, it is possible to determine the tolerable level of food contamination, so that they can be consumed safely by people. The table presents three pesticides and their toxicities. The unit mg/kg indicates the mass of the substance ingested by the mass of the guinea pig.",,,"{""questions"":[
    {""question"": ""What does the LD50 index represent?"",
    ""bloom_level"": ""Remember"",
    ""difficult_level"": ""Beginner"",
    ""options"": {
        ""A"": ""The dosage that kills 50% of a population"",
        ""B"": ""The dosage that kills all of a population"",
        ""C"": ""The dosage that kills none of a population"",
        ""D"": ""The dosage that kills 25% of a population"",
        ""E"": ""The dosage that kills 75% of a population""
    },
    ""correct_answer"": [""A""],
    ""correct_answer_letter"": ""A"",
    ""correct_answer_text"": ""The dosage that kills 50% of a population""
    },
    {""question"": ""Why is the LD50 index important for humans?"",
    ""bloom_level"": ""Understand"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {
        ""A"": ""It helps determine the tolerable level of food contamination"",
        ""B"": ""It helps determine the nutritional value of food"",
        ""C"": ""It helps determine the taste of food"",
        ""D"": ""It helps determine the color of food"",
        ""E"": ""It helps determine the texture of food""
    },
    ""correct_answer"": [""A""],
    ""correct_answer_letter"": ""A"",
    ""correct_answer_text"": ""It helps determine the tolerable level of food contamination""
    },
    {""question"": ""How can the LD50 index be used to evaluate the safety of a new pesticide?"",
    ""bloom_level"": ""Apply"",
    ""difficult_level"": ""Advanced"",
    ""options"": {
        ""A"": ""By testing the pesticide on a population of rats"",
        ""B"": ""By testing the pesticide on a population of humans"",
        ""C"": ""By testing the pesticide on a population of plants"",
        ""D"": ""By testing the pesticide on a population of insects"",
        ""E"": ""By testing the pesticide on a population of bacteria""
    },
    ""correct_answer"": [""A""],
    ""correct_answer_letter"": ""A"",
    ""correct_answer_text"": ""By testing the pesticide on a population of rats""
    }
]}",,,20.374918937683105
109,NATURAL SCIENCES AND THEIR TECHNOLOGIES,2017,"
Researchers were able to stimulate the absorption of 
light energy in plants thanks to the use of carbon 
nanotubes. For this, carbon nanotubes 'inserted' into the interior of chloroplasts through a spontaneous assembly, through the membranes of the chloroplasts. Plant pigments absorb light radiation, electrons are 'excited' and move within the chloroplast membranes, and the plant then uses this electrical energy to produce sugars. Carbon nanotubes can absorb wavelengths usually not used by chloroplasts, and researchers had the idea of using them as 'antennas', stimulating the conversion of solar energy by chloroplasts, with increased electron transport.

Carbon nanotubes enhance plant photosynthesis.
 Available at: http://lqes.iqm.unicamp.br. Accessed on: Nov 14, 2014 (adapted).
",,,"{""questions"":[
    {""question"": ""What is the role of carbon nanotubes in plant photosynthesis?"", 
    ""bloom_level"": ""Understand"", 
    ""difficult_level"": ""Beginner"", 
    ""options"": [
        {""A"": ""They replace chloroplasts in the process"", 
        ""B"": ""They absorb light energy and convert it into sugars"", 
        ""C"": ""They act as 'antennas', enhancing the absorption of light energy"", 
        ""D"": ""They produce additional electrons for the process"", 
        ""E"": ""They block harmful wavelengths from reaching the chloroplasts""}], 
    ""correct_answer"":[""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""They act as 'antennas', enhancing the absorption of light energy""},

    {""question"": ""How do carbon nanotubes enter the chloroplasts?"", 
    ""bloom_level"": ""Remember"", 
    ""difficult_level"": ""Intermediate"", 
    ""options"": [
        {""A"": ""Through a chemical reaction"", 
        ""B"": ""Through a spontaneous assembly"", 
        ""C"": ""Through the plant's roots"", 
        ""D"": ""Through the plant's leaves"", 
        ""E"": ""Through the plant's stem""}], 
    ""correct_answer"":[""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""Through a spontaneous assembly""},

    {""question"": ""Why do researchers use carbon nanotubes as 'antennas' in chloroplasts?"", 
    ""bloom_level"": ""Analyze"", 
    ""difficult_level"": ""Advanced"", 
    ""options"": [
        {""A"": ""To increase the plant's growth rate"", 
        ""B"": ""To stimulate the conversion of solar energy by chloroplasts"", 
        ""C"": ""To protect the plant from harmful radiation"", 
        ""D"": ""To replace the plant's natural photosynthesis process"", 
        ""E"": ""To change the color of the plant""}], 
    ""correct_answer"":[""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""To stimulate the conversion of solar energy by chloroplasts""}
]}",,,23.5878849029541
111,NATURAL SCIENCES AND THEIR TECHNOLOGIES,2017,"
Fuse is a protection device against 
overcurrent in circuits. When the current passing 
through this electrical component is higher than its maximum 
nominal current, the fuse burns. In this way, it prevents 
the high current from damaging the circuit's devices. 
Suppose that the electrical circuit shown is powered 
by a voltage source U and that the fuse supports a 
nominal current of 500 mA.
",,,"{""questions"":[
    {""question"": ""What is the function of a fuse in an electrical circuit?"", 
    ""bloom_level"": ""Remember"", 
    ""difficult_level"": ""Beginner"", 
    ""options"": {
        ""A"": ""To increase the current in the circuit"", 
        ""B"": ""To decrease the voltage in the circuit"", 
        ""C"": ""To protect the circuit against overcurrent"", 
        ""D"": ""To generate electricity"", 
        ""E"": ""To store electrical energy""
        }, 
    ""correct_answer"": [""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""To protect the circuit against overcurrent""
    },
    {""question"": ""What happens to a fuse when the current passing through it is higher than its maximum nominal current?"", 
    ""bloom_level"": ""Understand"", 
    ""difficult_level"": ""Intermediate"", 
    ""options"": {
        ""A"": ""The fuse increases its resistance"", 
        ""B"": ""The fuse decreases its resistance"", 
        ""C"": ""The fuse burns"", 
        ""D"": ""The fuse generates more electricity"", 
        ""E"": ""Nothing happens to the fuse""
        }, 
    ""correct_answer"": [""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""The fuse burns""
    },
    {""question"": ""If a fuse supports a nominal current of 500 mA, what will happen if the current passing through it is 600 mA?"", 
    ""bloom_level"": ""Apply"", 
    ""difficult_level"": ""Advanced"", 
    ""options"": {
        ""A"": ""The fuse will increase its resistance"", 
        ""B"": ""The fuse will decrease its resistance"", 
        ""C"": ""The fuse will burn"", 
        ""D"": ""The fuse will generate more electricity"", 
        ""E"": ""Nothing will happen to the fuse""
        }, 
    ""correct_answer"": [""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""The fuse will burn""
    }
]}",,,18.899475812911987
114,NATURAL SCIENCES AND THEIR TECHNOLOGIES,2017,"
The acetylsalicylic acid, AAS (molar mass equal to 180 g/mol), is synthesized from the reaction of salicylic acid 
(molar mass equal to 138 g/mol) with acetic anhydride, using sulfuric acid as a catalyst, according to the 
chemical equation:

After synthesis, AAS is purified and the final yield is approximately 50%. Due to its pharmacological properties (antipyretic, analgesic, anti-inflammatory, and antithrombotic), AAS is used as a medication in 
the form of tablets, typically employing a mass of 500 mg of this substance.
",,,"{""questions"":[
    {""question"": ""What is the molar mass of acetylsalicylic acid (AAS)?"",
    ""bloom_level"": ""Remember"",
    ""difficult_level"": ""Beginner"",
    ""options"": {""A"": ""138 g/mol"",""B"": ""180 g/mol"",""C"": ""150 g/mol"",""D"": ""200 g/mol"",""E"": ""160 g/mol""},
    ""correct_answer"": [""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""180 g/mol""},
    
    {""question"": ""What is the final yield of AAS after synthesis and purification?"",
    ""bloom_level"": ""Understand"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {""A"": ""25%"",""B"": ""50%"",""C"": ""75%"",""D"": ""100%"",""E"": ""60%""},
    ""correct_answer"": [""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""50%""},
    
    {""question"": ""What is the role of sulfuric acid in the synthesis of AAS?"",
    ""bloom_level"": ""Apply"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {""A"": ""It acts as a reactant"",""B"": ""It acts as a product"",""C"": ""It acts as a catalyst"",""D"": ""It acts as a solvent"",""E"": ""It acts as a base""},
    ""correct_answer"": [""C""],
    ""correct_answer_letter"": ""C"",
    ""correct_answer_text"": ""It acts as a catalyst""},
    
    {""question"": ""What are the pharmacological properties of AAS?"",
    ""bloom_level"": ""Analyze"",
    ""difficult_level"": ""Advanced"",
    ""options"": {""A"": ""Antipyretic, analgesic, anti-inflammatory, and antithrombotic"",""B"": ""Antibiotic, antiviral, and antifungal"",""C"": ""Antidepressant, antipsychotic, and anxiolytic"",""D"": ""Antihistamine, decongestant, and expectorant"",""E"": ""Antacid, laxative, and antiemetic""},
    ""correct_answer"": [""A""],
    ""correct_answer_letter"": ""A"",
    ""correct_answer_text"": ""Antipyretic, analgesic, anti-inflammatory, and antithrombotic""},
    
    {""question"": ""How much AAS is typically used in a medication tablet?"",
    ""bloom_level"": ""Evaluate"",
    ""difficult_level"": ""Advanced"",
    ""options"": {""A"": ""100 mg"",""B"": ""200 mg"",""C"": ""300 mg"",""D"": ""400 mg"",""E"": ""500 mg""},
    ""correct_answer"": [""E""],
    ""correct_answer_letter"": ""E"",
    ""correct_answer_text"": ""500 mg""}
]}",,,20.170285940170288
116,NATURAL SCIENCES AND THEIR TECHNOLOGIES,2017,"
The iron is found in nature in the form of its ores, such as hematite (a-Fe2O3), magnetite (Fe3O4)
and wustite (FeO). In metallurgy, pig iron is obtained by melting iron ores in blast furnaces under suitable conditions. One of the steps in this process is the formation of carbon monoxide. CO (gaseous) is used to reduce FeO (solid), according to the chemical equation:

",,,"{""questions"":[
    {""question"": ""Which of the following is NOT a form of iron ore found in nature?"",
    ""bloom_level"": ""Remember"",
    ""difficult_level"": ""Beginner"",
    ""options"": {""A"": ""Hematite"",""B"": ""Magnetite"",""C"": ""Wustite"",""D"": ""Pig Iron"",""E"": ""All are forms of iron ore""},
    ""correct_answer"": [""D""],
    ""correct_answer_letter"": ""D"",
    ""correct_answer_text"": ""Pig Iron""
    },
    {""question"": ""What is the role of carbon monoxide in the process of obtaining pig iron from iron ores?"",
    ""bloom_level"": ""Understand"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {""A"": ""It is used to heat the furnace"",""B"": ""It is used to reduce FeO"",""C"": ""It is a byproduct of the process"",""D"": ""It is used to oxidize FeO"",""E"": ""It is used to purify the iron ore""},
    ""correct_answer"": [""B""],
    ""correct_answer_letter"": ""B"",
    ""correct_answer_text"": ""It is used to reduce FeO""
    },
    {""question"": ""If the process of obtaining pig iron from iron ores is not carried out under suitable conditions, what could be the possible outcome?"",
    ""bloom_level"": ""Apply"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {""A"": ""The iron ore will not melt"",""B"": ""The formation of carbon monoxide will not occur"",""C"": ""The reduction of FeO will not occur"",""D"": ""All of the above"",""E"": ""None of the above""},
    ""correct_answer"": [""D""],
    ""correct_answer_letter"": ""D"",
    ""correct_answer_text"": ""All of the above""
    },
    {""question"": ""Analyze the chemical equation for the reduction of FeO by CO. What is the product of this reaction?"",
    ""bloom_level"": ""Analyze"",
    ""difficult_level"": ""Advanced"",
    ""options"": {""A"": ""Fe2O3"",""B"": ""Fe3O4"",""C"": ""Fe"",""D"": ""CO2"",""E"": ""Both C and D""},
    ""correct_answer"": [""E""],
    ""correct_answer_letter"": ""E"",
    ""correct_answer_text"": ""Both C and D""
    },
    {""question"": ""Evaluate the efficiency of using different iron ores for the production of pig iron. Which ore would require the least amount of energy for reduction?"",
    ""bloom_level"": ""Evaluate"",
    ""difficult_level"": ""Advanced"",
    ""options"": {""A"": ""Hematite"",""B"": ""Magnetite"",""C"": ""Wustite"",""D"": ""All require the same amount of energy"",""E"": ""Cannot be determined""},
    ""correct_answer"": [""C""],
    ""correct_answer_letter"": ""C"",
    ""correct_answer_text"": ""Wustite""
    }
]}",,,27.848482131958008
118,NATURAL SCIENCES AND THEIR TECHNOLOGIES,2017,"
The Duchenne muscular dystrophy (DMD) is a disease 
caused by a mutation in a gene located on the 
X chromosome. Researchers studied a family 
in which monozygotic twins were carriers of a 
recessive mutant allele for this gene (heterozygous). 
The interesting fact is that one of the twins had 
the phenotype related to the mutant allele, that is, DMD, 
while her sister had a normal phenotype.
RICHARDS, C. S. et al. The American Journal of Human Genetics, n. 4, 1990 (adapted).
",,,"{""questions"":[
    {""question"": ""What is Duchenne muscular dystrophy (DMD)?"",
    ""bloom_level"": ""Remember"",
    ""difficult_level"": ""Beginner"",
    ""options"": {
        ""A"": ""A disease caused by a mutation in a gene located on the X chromosome."",
        ""B"": ""A disease caused by a mutation in a gene located on the Y chromosome."",
        ""C"": ""A disease caused by a mutation in a gene located on the Z chromosome."",
        ""D"": ""A disease caused by a mutation in a gene located on the W chromosome."",
        ""E"": ""A disease caused by a mutation in a gene located on the V chromosome.""
    },
    ""correct_answer"": [""A""],
    ""correct_answer_letter"": ""A"",
    ""correct_answer_text"": ""A disease caused by a mutation in a gene located on the X chromosome.""
    },
    {""question"": ""Why did one of the monozygotic twins have the phenotype related to the mutant allele, while her sister had a normal phenotype?"",
    ""bloom_level"": ""Understand"",
    ""difficult_level"": ""Intermediate"",
    ""options"": {
        ""A"": ""Because the twins are not genetically identical."",
        ""B"": ""Because the twins have different parents."",
        ""C"": ""Because the disease is not hereditary."",
        ""D"": ""Because the expression of the gene can be influenced by other factors."",
        ""E"": ""Because the twins have different genders.""
    },
    ""correct_answer"": [""D""],
    ""correct_answer_letter"": ""D"",
    ""correct_answer_text"": ""Because the expression of the gene can be influenced by other factors.""
    },
    {""question"": ""What could be the possible reasons for the different phenotypes in the monozygotic twins?"",
    ""bloom_level"": ""Analyze"",
    ""difficult_level"": ""Advanced"",
    ""options"": {
        ""A"": ""Different environmental factors."",
        ""B"": ""Different genetic makeup."",
        ""C"": ""Different parental influence."",
        ""D"": ""Different lifestyle choices."",
        ""E"": ""Different epigenetic modifications.""
    },
    ""correct_answer"": [""E""],
    ""correct_answer_letter"": ""E"",
    ""correct_answer_text"": ""Different epigenetic modifications.""
    }
]}",,,19.839544773101807
119,NATURAL SCIENCES AND THEIR TECHNOLOGIES,2017,"
To comply with current environmental standards, construction companies need to anticipate in their works the issue of using materials in order to minimize the impacts caused on site. Among these materials is the so-called concregram or pisogram, which is a type of coating composed of concrete pieces with empty areas filled with grass soil. The figures show these two forms of concrete flooring.

BRIDGES, K. L. F. Case study of an experimental prototype [...]. Available at: http://monografias.poli.ufrj.br. Access on: May 9, 2017 (adapted).
",,,"{""questions"":[
    {""question"": ""What is the main purpose of using concregram or pisogram in construction works?"", 
    ""bloom_level"": ""Understand"", 
    ""difficult_level"": ""Beginner"", 
    ""options"": 
        {""A"": ""To make the construction site look more appealing"", 
        ""B"": ""To minimize the impacts caused on site"", 
        ""C"": ""To increase the cost of construction"", 
        ""D"": ""To make the construction process more complex"", 
        ""E"": ""To increase the weight of the building""}, 
    ""correct_answer"": [""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""To minimize the impacts caused on site""},

    {""question"": ""What is concregram or pisogram composed of?"", 
    ""bloom_level"": ""Remember"", 
    ""difficult_level"": ""Intermediate"", 
    ""options"": 
        {""A"": ""Wood and soil"", 
        ""B"": ""Metal and concrete"", 
        ""C"": ""Concrete pieces with empty areas filled with grass soil"", 
        ""D"": ""Plastic and sand"", 
        ""E"": ""Glass and water""}, 
    ""correct_answer"": [""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""Concrete pieces with empty areas filled with grass soil""},

    {""question"": ""Why is it important for construction companies to anticipate the use of materials like concregram or pisogram?"", 
    ""bloom_level"": ""Analyze"", 
    ""difficult_level"": ""Advanced"", 
    ""options"": 
        {""A"": ""To comply with current environmental standards"", 
        ""B"": ""To make the construction process faster"", 
        ""C"": ""To reduce the need for skilled labor"", 
        ""D"": ""To increase the durability of the building"", 
        ""E"": ""To make the building more resistant to natural disasters""}, 
    ""correct_answer"": [""A""], 
    ""correct_answer_letter"": ""A"", 
    ""correct_answer_text"": ""To comply with current environmental standards""}
]}",,,21.0839741230011
121,NATURAL SCIENCES AND THEIR TECHNOLOGIES,2017,"
Some types of desalination plants use the process of 
reverse osmosis to obtain drinking water from 
saltwater. In this method, a container is used 
containing two compartments separated by a 
semipermeable membrane: in one of them saltwater is placed 
and in the other drinking water is collected. The application 
of mechanical pressure on the system causes the water to flow from one 
compartment to the other. The movement of water molecules 
through the membrane is controlled by osmotic pressure and the applied mechanical pressure.
",,,"{""questions"":[
    {""question"": ""What is the process used by some desalination plants to obtain drinking water from saltwater?"", 
    ""bloom_level"": ""Remember"", 
    ""difficult_level"": ""Beginner"", 
    ""options"": {""A"": ""Osmosis"", ""B"": ""Reverse Osmosis"", ""C"": ""Diffusion"", ""D"": ""Evaporation"", ""E"": ""Condensation""}, 
    ""correct_answer"": [""B""], 
    ""correct_answer_letter"": ""B"", 
    ""correct_answer_text"": ""Reverse Osmosis""},

    {""question"": ""In the process of reverse osmosis, what is the role of the semipermeable membrane?"", 
    ""bloom_level"": ""Understand"", 
    ""difficult_level"": ""Intermediate"", 
    ""options"": {""A"": ""It allows both salt and water to pass through"", ""B"": ""It allows only salt to pass through"", ""C"": ""It allows only water to pass through"", ""D"": ""It prevents both salt and water from passing through"", ""E"": ""It dissolves the salt in the water""}, 
    ""correct_answer"": [""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""It allows only water to pass through""},

    {""question"": ""How does the application of mechanical pressure influence the movement of water molecules in the process of reverse osmosis?"", 
    ""bloom_level"": ""Apply"", 
    ""difficult_level"": ""Advanced"", 
    ""options"": {""A"": ""It increases the osmotic pressure"", ""B"": ""It decreases the osmotic pressure"", ""C"": ""It causes the water to flow from the saltwater compartment to the drinking water compartment"", ""D"": ""It causes the water to flow from the drinking water compartment to the saltwater compartment"", ""E"": ""It has no effect on the movement of water molecules""}, 
    ""correct_answer"": [""C""], 
    ""correct_answer_letter"": ""C"", 
    ""correct_answer_text"": ""It causes the water to flow from the saltwater compartment to the drinking water compartment""}
]}",,,17.709709882736206
