id,area,year,context,question,options,correct_answer,bloom_level,difficult_level,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer,model,lang
500_2017,MATHEMATICS AND ITS TECHNOLOGIES,2017,"In a tourist cable car, cable cars depart from stations at sea level and the top of a mountain. The crossing takes 1.5 minutes and both cable cars move at the same speed. Forty seconds after cable car A leaves the sea level station, it crosses with cable car B, which had left the mountain top.",What is the time required for cable car A to cross with cable car B after the start of the crossing?,"[{'A': '20 seconds'}, {'B': '40 seconds'}, {'C': '60 seconds'}, {'D': '80 seconds'}, {'E': '100 seconds'}]",[{'B': '40 seconds'}],Understand,Beginner,5,4,5,1,"The question is highly relevant to the context provided, testing understanding of the situation described. The bloom taxonomy level 'Understand' is appropriate as it requires interpreting the scenario. The question provides clear information for the test-taker to arrive at the correct answer. The correctness score is 1 as the correct answer 'C: 60 seconds' aligns with the scenario described.","Score(precision=0.47619047619047616, recall=0.17543859649122806, fmeasure=0.2564102564102564)",7.475356629759492e-79,{B: 40 seconds},"Cable car A crosses with cable car B 40 seconds after the start of the crossing, as mentioned in the question.",gpt-3.5-turbo,EN
500_2017,MATHEMATICS AND ITS TECHNOLOGIES,2017,"In a tourist cable car, cable cars depart from stations at sea level and the top of a mountain. The crossing takes 1.5 minutes and both cable cars move at the same speed. Forty seconds after cable car A leaves the sea level station, it crosses paths with cable car B, which had departed from the mountain top.","If cable car A leaves from the sea level station, at what point in the crossing does it meet cable car B?","[{'A': '1/4 of the way'}, {'B': '1/3 of the way'}, {'C': '1/2 of the way'}, {'D': '2/3 of the way'}, {'E': '3/4 of the way'}]",[{'C': '1/2 of the way'}],Apply,Intermediate,5,4,5,1,"The question is highly relevant to the context provided, testing the understanding of relative distances and speeds. The bloom taxonomy level 'Apply' is appropriate as it requires the application of concepts. The question provides enough information for the test-taker to arrive at an answer. The correct answer option is indeed correct, making the question accurate.","Score(precision=0.5454545454545454, recall=0.2033898305084746, fmeasure=0.29629629629629634)",0.052941679864969775,{C: 1/2 of the way},"Since cable car A takes 40 seconds to meet cable car B after starting its journey, and the total crossing time is 1.5 minutes (90 seconds), the meeting point is at half the crossing time (45 seconds), which corresponds to halfway.",gpt-3.5-turbo,EN
500_2017,MATHEMATICS AND ITS TECHNOLOGIES,2017,"In a tourist cable car, cable cars depart from stations at sea level and the top of a mountain. The crossing takes 1.5 minutes and both cable cars move at the same speed. Forty seconds after cable car A leaves the sea level station, it crosses paths with cable car B, which had departed from the mountaintop.",What is the speed of the cable cars during the crossing?,"[{'A': '10 m/s'}, {'B': '15 m/s'}, {'C': '20 m/s'}, {'D': '25 m/s'}, {'E': '30 m/s'}]",[{'B': '15 m/s'}],Recall,Intermediate,5,4,5,1,"The question is highly relevant to the context provided, testing the understanding of speed and relative motion. The bloom taxonomy level 'Recall' seems appropriate as it requires recalling the concept of speed. The question provides enough information for the test-taker to calculate the speed of the cable cars. The correctness score is 1 as the correct answer is indeed provided in the options.","Score(precision=0.6363636363636364, recall=0.1206896551724138, fmeasure=0.20289855072463767)",1.1008326356623674e-156,{C: 20 m/s},"Let the speed of the cable cars be x m/s. The distance between the two stations is the same for both cable cars. Cable car A travels for 1.5 minutes (90 seconds) and cable car B travels for 40 seconds before they meet. Using the formula distance = speed * time, we can set up the equation 90x = 40(x + 20) to find the speed of the cable cars. Solving this equation gives x = 20 m/s.",gpt-3.5-turbo,EN
500_2017,MATHEMATICS AND ITS TECHNOLOGIES,2017,"In a tourist cable car, cable cars depart from sea level stations and the top of a mountain. The crossing takes 1.5 minutes and both cable cars move at the same speed. Forty seconds after cable car A leaves the sea level station, it crosses paths with cable car B, which had departed from the mountaintop.","Considering that the distance between the stations is 1 km, what is the average speed of the cable cars?","[{'A': '10 m/s'}, {'B': '12 m/s'}, {'C': '15 m/s'}, {'D': '18 m/s'}, {'E': '20 m/s'}]",[{'C': '15 m/s'}],Analyzing,Advanced,5,4,5,1,The question is highly relevant to the context provided and tests the understanding of average speed in a real-life scenario. The bloom taxonomy level and difficulty level seem appropriate as it requires analysis and application of mathematical concepts. Sufficient information is given to arrive at the correct answer. The correctness score is 1 as the correct option can be determined based on the information provided.,"Score(precision=0.42105263157894735, recall=0.14035087719298245, fmeasure=0.21052631578947367)",2.0247111468237686e-232,{B: 12 m/s},"To find the average speed of the cable cars, we first need to calculate the time taken by each cable car to cover the 1 km distance. Cable car A covers the distance in 40 seconds (40s) and cable car B covers the same distance in 1.5 minutes (90s). Next, we convert the time taken by cable car B to seconds for consistency. Finally, we use the formula: speed = distance / time to calculate the average speed. The average speed of the cable cars is 12 m/s.",gpt-3.5-turbo,EN
500_2017,MATHEMATICS AND ITS TECHNOLOGIES,2017,"
In a tourist cable car, cable cars depart from
stations at sea level and the top of a mountain.
The crossing takes 1.5 minutes and both cable cars
move at the same speed. Forty seconds after
Cable car A departs from the sea level station, it crosses
with cable car B, which had left the top of the mountain.
","If cable car B departs from the top of the mountain, at what point in the crossing does it meet cable car A?","[{'A': '1/4 of the way'}, {'B': '1/3 of the way'}, {'C': '1/2 of the way'}, {'D': '2/3 of the way'}, {'E': '3/4 of the way'}]",[{'D': '2/3 of the way'}],Apply,Intermediate,5,4,5,1,The question is highly relevant to the context provided and tests the understanding of relative speeds and distances. The bloom level and difficulty level are appropriate for an intermediate level. The question is clear and provides enough information for the test-taker to arrive at the correct answer. The options are well-constructed. The correctness score is 1 as the correct option is accurate.,"Score(precision=0.5652173913043478, recall=0.21666666666666667, fmeasure=0.3132530120481928)",0.03879135119415021,{C: 1/2 of the way},"Since both cable cars move at the same speed and Cable car A departs 40 seconds earlier, Cable car B will meet Cable car A at the midpoint of the crossing, which is 1/2 of the way.",gpt-3.5-turbo,EN
1486_2023,HUMANITIES AND THEIR TECHNOLOGIES,2023,"The 15th and 16th centuries, when the socio-economic structures of the Middle Ages are collapsing in the face of the new imperatives of the Modern Era, constitute a key moment in the forest history of the entire Western Europe. A long period of 'forest crisis' opens up generically, which is acutely manifested in countries where industrial and commercial activities are most developed. The needs for wooden products increase drastically with the growth of consumption in urban markets and in regions where metallurgy and shipbuilding progress, in addition to their use in the daily life of the entire population. []",What was the main reason that triggered the forest crisis in the 15th and 16th centuries in Western Europe?,"[{'A': 'Growth of consumption in urban markets.'}, {'B': 'Development of metallurgy and shipbuilding.'}, {'C': 'Increase in agricultural activities.'}, {'D': 'Decrease in population.'}, {'E': 'Reduction in demand for wooden products.'}]",[{'A': 'Growth of consumption in urban markets.'}],Remember,Beginner,5,4,5,1,The question is highly relevant to the context provided about the forest crisis in Western Europe during the 15th and 16th centuries. The bloom level and difficulty level are appropriate for the given information. The question is clear and provides enough information for the test taker to arrive at the correct answer. The correctness score is 1 as the correct option aligns with the main reason discussed in the context.,"Score(precision=0.42105263157894735, recall=0.08080808080808081, fmeasure=0.13559322033898308)",5.2194411350757125e-80,{A: Growth of consumption in urban markets.},"The main reason that triggered the forest crisis in the 15th and 16th centuries in Western Europe was the growth of consumption in urban markets, leading to a drastic increase in the needs for wooden products.",gpt-3.5-turbo,EN
1486_2023,HUMANITIES AND THEIR TECHNOLOGIES,2023,"The 15th and 16th centuries, when the socio-economic structures of the Middle Ages are collapsing in the face of the new imperatives of the Modern Era, constitute a key moment in the forest history of the entire Western Europe. A long period of 'forest crisis' opens up generically, which is acutely manifested in countries where industrial and commercial activities are most developed. The need for wood products increases drastically with the growth of consumption in urban markets and in regions where metallurgy and shipbuilding progress, in addition to their use in the daily life of the entire population. []",How did the forest crisis affect industrial and commercial activities in European countries?,"[{'A': 'Stimulated the growth of these activities.'}, {'B': 'Reduced the demand for wood products.'}, {'C': 'Caused a shortage of raw materials.'}, {'D': 'Had no significant impact.'}, {'E': 'Increased the production of wood products.'}]",[{'C': 'Caused a shortage of raw materials.'}],Understand,Intermediate,5,4,5,0,"The question is highly relevant to the context provided about the forest crisis in the 15th and 16th centuries. The bloom taxonomy level 'Understand' is appropriate as it requires understanding the impact of the forest crisis on industrial and commercial activities. The question is clear and provides enough information for the test taker to arrive at an answer. However, the correctness score is 0 as the correct option is not specified.","Score(precision=0.6153846153846154, recall=0.08080808080808081, fmeasure=0.14285714285714288)",0.000320178858353182,{A: Stimulated the growth of these activities.},The forest crisis affected industrial and commercial activities in European countries by stimulating the growth of these activities due to the increased demand for wood products in urban markets and regions where metallurgy and shipbuilding progressed.,gpt-3.5-turbo,EN
1486_2023,HUMANITIES AND THEIR TECHNOLOGIES,2023,"The 15th and 16th centuries, when the socio-economic structures of the Middle Ages are collapsing in the face of the new imperatives of the Modern Era, constitute a key moment in the forest history of the entire Western Europe. A long period of 'forest crisis' opens up generically, which is acutely manifested in countries where industrial and commercial activities are most developed. The needs for wooden products increase drastically with the growth of consumption in urban markets and in regions where metallurgy and shipbuilding progress, in addition to their use in the daily life of the entire population. []",What was the main use of wooden products during the forest crisis?,"[{'A': 'Road construction.'}, {'B': 'Fabric production.'}, {'C': 'Food production.'}, {'D': 'Shipbuilding and metallurgy.'}, {'E': 'Interior decoration.'}]",[{'D': 'Shipbuilding and metallurgy.'}],Apply,Intermediate,5,4,5,1,The question is highly relevant to the context provided about the forest crisis during the 15th and 16th centuries in Western Europe. The bloom and difficulty level are appropriate for the information given. The question is clear and provides enough information for the test-taker to arrive at the correct answer. The correct option 'D: Shipbuilding and metallurgy.' aligns with the main use of wooden products during the forest crisis as mentioned in the context.,"Score(precision=0.4166666666666667, recall=0.050505050505050504, fmeasure=0.0900900900900901)",6.04540983235574e-158,{D: Shipbuilding and metallurgy.},"During the forest crisis in the 15th and 16th centuries, the main use of wooden products was for shipbuilding and metallurgy due to the growth of consumption in urban markets and regions where these industries progressed.",gpt-3.5-turbo,EN
1486_2023,HUMANITIES AND THEIR TECHNOLOGIES,2023,"The 15th and 16th centuries, when the socio-economic structures of the Middle Ages are collapsing in the face of the new imperatives of the Modern Era, constitute a key moment in the forest history of the entire Western Europe. A long period of 'forest crisis' opens up generically, which is acutely manifested in countries where industrial and commercial activities are most developed. The needs for wooden products increase drastically with the growth of consumption in urban markets and in regions where metallurgy and shipbuilding progress, in addition to their use in the daily life of the entire population. []",Which markets were most impacted by the increase in consumption of wooden products?,"[{'A': 'Rural markets.'}, {'B': 'Agricultural products markets.'}, {'C': 'Urban markets.'}, {'D': 'Craft markets.'}, {'E': 'Fish markets.'}]",[{'C': 'Urban markets.'}],Analyze,Intermediate,5,4,5,0,"The question is highly relevant to the context provided about the increase in consumption of wooden products during the 15th and 16th centuries. The bloom and difficulty level are appropriate for the question. The question provides enough information for the test taker to arrive at the correct answer. However, the correctness score is 0 as the correct answer option is not specified in the question.","Score(precision=0.46153846153846156, recall=0.06060606060606061, fmeasure=0.10714285714285714)",2.1615732046585315e-234,{C: Urban markets.},The passage mentions that the increase in consumption of wooden products impacted urban markets due to the growth of consumption in urban markets and regions where metallurgy and shipbuilding progress.,gpt-3.5-turbo,EN
1486_2023,HUMANITIES AND THEIR TECHNOLOGIES,2023,"The 15th and 16th centuries, when the socio-economic structures of the Middle Ages are collapsing in the face of the new imperatives of the Modern Era, constitute a key moment in the forest history of the entire Western Europe. A long period of 'forest crisis' opens up generically, which is acutely manifested in countries where industrial and commercial activities are most developed. The needs for wooden products increase drastically with the growth of consumption in urban markets and in regions where metallurgy and shipbuilding progress, in addition to their use in the daily life of the entire population.",Why was the forest crisis more acute in countries with higher industrial and commercial development?,"[{'A': 'Due to lack of interest in forest exploitation.'}, {'B': 'Because of the decrease in urban population.'}, {'C': 'Due to the increase in demand for wooden products.'}, {'D': 'Because of the reduction in industrial activities.'}, {'E': 'Due to lack of technology for forest exploitation.'}]",[{'C': 'Due to the increase in demand for wooden products.'}],Evaluate,Advanced,5,4,5,1,The question is highly relevant to the context provided about the forest crisis during the 15th and 16th centuries. The bloom taxonomy level and difficulty seem appropriate for the given information. The question is clear and provides enough information for the test-taker to arrive at the correct answer. The correct option 'C: Due to the increase in demand for wooden products.' aligns with the context and is accurate.,"Score(precision=0.6666666666666666, recall=0.10101010101010101, fmeasure=0.1754385964912281)",1.5884984941853777e-80,{C: Due to the increase in demand for wooden products.},"The passage mentions that the forest crisis was more acute in countries with higher industrial and commercial development due to the needs for wooden products increasing drastically with the growth of consumption in urban markets and regions where metallurgy and shipbuilding progress. Therefore, the correct answer is C: Due to the increase in demand for wooden products.",gpt-3.5-turbo,EN
