id,year,context,question,options,correct_answer,CE,DS,EK,IC,MR,TC,image,IU,ledor,figures,description,area,cor,system_answer
1,2013,"
Current spatial distribution of the Brazilian population

Conflicts in indigenous lands

Map 1

Map 2


THÉRY, H. The good news about the Brazilian population. Practical Knowledge 
Geography, n. 41, Jan. 2012 (adapted).

 SIMIELLI, M. E. Geoatlas. São Paulo: Ática, 2009 (adapted).
","
The maps represent distinct patterns of distribution of socio-spatial processes. In this sense, the lower incidence of territorial disputes involving indigenous peoples is explained by
","{'A': ' natural fertilization of soils.\n', 'B': ' expansion of agricultural frontier.\n', 'C': ' intensification of return migration.\n', 'D': ' homologation of extractive reserves.\n', 'E': ' historical concentration of urbanization.\n'}",{'E': ' historical concentration of urbanization.\n'},No,No,No,Yes,No,No,Yes,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
2,2013,"
This is a gigantic movement of city construction, necessary for the residential settlement of this population, as well as for their work, supply, transportation, health, energy, water needs, etc. Even though the direction taken by urban growth has not satisfactorily met all these needs, the territory was occupied and the conditions for living in this space were built.

MARICATO, E. Brazil, cities: alternatives for the urban crisis. Petrópolis: Vozes, 2001.
","
The dynamics of city transformation tend to result in the expansion of peripheral areas by","{'A': 'urban population growth and increased real estate speculation.\n', 'B': 'greater flow of people, due to the existence of a large number of services.\n', 'C': 'delimitation of areas for an organized occupation of physical space, improving quality of life.\n', 'D': 'implementation of public policies that promote housing and the right to the city for its residents.\n', 'E': 'redevelopment of housing in central areas, keeping the worker close to their job, reducing commutes to the periphery.\n\n'}",{'A': 'urban population growth and increased real estate speculation.\n'},No,No,Yes,No,No,No,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
3,2013,"
On July 1st, 2012, the city of Rio de Janeiro 
became the first in the world to receive the title of 
UNESCO World Heritage as a Cultural Landscape. 
The application, submitted by the National Institute of 
Historical and Artistic Heritage (Iphan), was approved 
during the 36th Session of the World Heritage Committee. 
The president of Iphan explained that 'the carioca landscape 
is the most explicit image of what we can call 
Brazilian civilization, with its originality, challenges, 
contradictions, and possibilities.' From now on, the 
places in the city valued with the UNESCO title will be 
the target of integrated actions aimed at preserving its 
cultural landscape.

Available at: www.cultura.gov.br. Accessed on: Mar 7, 2013 (adapted).
","
The recognition of the landscape in question as 
a world heritage derives from
","{'A': '  presence of the local artistic body.\n', 'B': '  international image of the metropolis.\n', 'C': '  heritage of buildings from the former capital of the country.\n', 'D': '  diversity of cultures present in the city.\n', 'E': '  unique character society-nature relationship.\n'}",{'E': '  unique character society-nature relationship.\n'},No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
4,2013,"TEXT I

Some time ago I realized that, since my early years, I had received many false opinions as true, and that what I later founded on such poorly secured principles could only be very doubtful and uncertain. It was necessary to seriously try, once in my life, to get rid of all the opinions to which I had previously given credit, and start all over again in order to establish a firm and unshakable knowledge.

DESCARTES, R. Meditations on First Philosophy. São Paulo: Abril Cultural, 1973 (adapted).

TEXT II

It is the radical character of what is sought that demands the radicalization of the search process itself. If all space is occupied by doubt, any certainty that appears from there will have been in some way generated by doubt itself, and will certainly not be any of those that were previously swept away by that same doubt.
SILVA, F. L. Descartes: the metaphysics of modernity. São Paulo: Moderna, 2001 (adapted).
","
The exposition and analysis of the Cartesian project indicate that, to enable the radical reconstruction of knowledge, one must","{'A': 'resume the method of tradition to build science \n\nwith legitimacy.\n\n', 'B': 'question broadly and deeply the old \n\nideas and conceptions.\n\n', 'C': 'investigate the contents of the consciousness of less enlightened men.\n\n', 'D': 'seek a way to eliminate from memory ancient and outdated knowledge.\n\n', 'E': 'find \n\nclear ideas and thoughts that \n\ndo not need to be questioned.\n\n\n\n'}",{'B': 'question broadly and deeply the old \n\nideas and conceptions.\n\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
5,2013,"
From end to end, it's all palm beach, very flat and 
very beautiful. Through the backlands, it seemed to us, seen from the sea, 
very large, because, stretching our eyes, we could not 
see anything but land with trees, which seemed very 
long to us. So far, we could not find out if there is gold, 
nor silver, nor anything made of metal or iron; nor did we see it. But the land itself has very good airs [...]. 
But the best fruit that can be taken from it seems to me 
that it will be to save these people.

Letter from Pero Vaz de Caminha. In: MARQUES, A.; BERUTTI, F.; FARIA, R. 
Modern history through texts. São Paulo: Contexto, 2001.
","
The letter from Pero Vaz de Caminha allows us to understand the 
colonizing project for the new land. In this excerpt, the 
account emphasizes the following objective:
","{'A': '  Value the catechesis to be carried out on the \n\nnative peoples.\n\n', 'B': '  Describe the culture \n\nprosperity Portuguese.\n\nplace to praise the \n\n', 'C': '  Transmit the knowledge of the indigenous people about the \n\nexisting economic potential.\n\n', 'D': '  Highlight the poverty of the native inhabitants to \n\nmark European superiority.\n\n', 'E': '  Criticize the way of life of the indigenous peoples to \n\nhighlight the absence of work.\n\n'}",{'A': '  Value the catechesis to be carried out on the \n\nnative peoples.\n\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
6,2013,"
The sad song of the conquered: 
the last days of Tenochtitlán 

In the paths lie broken darts;
hair is scattered.
The houses are roofless,
The waters are red, the rivers, as if someone 
had dyed them,
On the shields was our protection,
but the shields do not hold back the desolation...

PINSKY, J. et al. History of America through texts. 
São Paulo: Contexto, 2007 (fragment).   
","
The text is an Aztec record, whose meaning is related to
","{'A': ' the tragedy caused by the destruction of the culture \n\nof this people.\n\n', 'B': ' the failed attempt to resist a \npower considered superior.\n\n', 'C': ' the extermination of indigenous populations \nby the Spanish Army.\n\n', 'D': ' the dissolution of the memory of the deeds of their \nancestors.\n\n', 'E': ' the prophesying of the consequences of the colonization \nof America.\n\n'}",{'B': ' the failed attempt to resist a \npower considered superior.\n\n'},No,No,No,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
7,2013,"
Total fertility rate - Brazil - 1940-2010


IBGE. 2010 demographic census: general sample results.
Available at: ftp://ftp.ibge.gov.br. Accessed on: Mar 12, 2013.
","
The process recorded in the graph generated the following demographic consequence:
","{'A': 'Decrease in absolute population.\n', 'B': 'Reduction in vegetative growth.\n', 'C': 'Decrease in the proportion of adults.\n', 'D': 'Expansion of birth control policies.\n', 'E': 'Increase in the renewal of the economically active population.\n\n'}",{'B': 'Reduction in vegetative growth.\n'},No,No,No,Yes,No,No,Yes,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
8,2013,"
 The International Brigades 

 were units of 
 fighters formed by volunteers from 53 nationalities 
 willing to fight in defense of the Spanish Republic. 
 It is estimated that about 60 thousand citizens from various 
 parts of the world - including 40 Brazilians - have joined these units. Although coordinated 
 by the communists, the Brigades had 
 members socialists, liberals and other 
 political-ideological currents. 

 SOUZA, I. I. The European Civil War. Living History, n. 70, 2009 (fragment). 
","
 The Spanish Civil War expressed the ongoing disputes 
 in Europe in the 1930s. The common political perspective 
 that promoted the described mobilization was 
","{'A': '  criticism of Stalinism.\n', 'B': '  combat fascism.\n', 'C': '  rejection of federalism.\n', 'D': '  support for corporatism.\n', 'E': '  adherence to anarchism.\n\n'}",{'B': '  combat fascism.\n'},No,No,Yes,No,No,No,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
9,2013,"
Of all the transformations imposed by the technical-scientific-informational environment on transport logistics, we are most interested in intermodality. And for a very simple reason: the potential that such a 'logistic tool' boasts allows for a transportation system that is indeed commensurate with Brazil's geographical scale.
HUERTAS, D. M. The role of transportation in the recent expansion of the Brazilian agricultural frontier. Transport and Territory Journal, University of Buenos Aires, n. 3, 2010 (adapted).
","
The need for interconnected modes of transportation in the Brazilian territory is justified by
","{'A': 'climatic variations in the territory, associated with the internalization of production.', 'B': 'long distances and the pursuit of cost reduction in transportation.', 'C': 'geological formation of the country, which prevents the use of a single mode.', 'D': 'proximity between the area of intensive agricultural production and the ports.', 'E': 'decrease in material flows at the expense of immaterial flows.'}",{'B': 'long distances and the pursuit of cost reduction in transportation.'},No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
10,2013,"
Hence arises a question: whether it is better to be loved than feared, or feared than loved. It might be answered that we should wish to be both; but since love and fear can hardly exist together, if we must choose between them, it is far safer to be feared than loved when one of the two must be lacking. For men in general are ungrateful, fickle, false, cowardly, covetous, and as long as you succeed they are yours entirely; they will offer you their blood, property, life and children, as is said above, when the need is far distant; but when it approaches they turn against you.","
From the historical analysis of human behavior in their social and political relationships, Machiavelli defines man as a being","{'A': 'endowed with virtue, with a natural disposition to do good to oneself and others.', 'B': 'possessor of fortune, using wealth to achieve success in politics.', 'C': 'guided by interests, so that his actions are unpredictable and inconsistent.', 'D': 'naturally rational, living in a pre-social state and bearing his natural rights.', 'E': 'sociable by nature, maintaining peaceful relations with his peers.'}","{'C': 'guided by interests, so that his actions are unpredictable and inconsistent.'}",No,No,Yes,No,No,Yes,No,,,,,HUMANITIES AND THEIR TECHNOLOGIES,BLUE,
