id,year,context,question,options,correct_answer,CE,DS,EK,IC,MR,TC,image,IU,ledor,figures,description,area,cor,system_answer,steps_answer
91,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
","
Cientificamente,  sabe-se  que  essa  mudança  de  cor  da 
chama ocorre pela
","{'A': ' reação  do  gás  de  cozinha  com  o  sal,  volatilizando gás cloro.\n', 'B': ' emissão de fótons pelo sódio, excitado por causa da chama.\n', 'C': ' produção  de  derivado  amarelo,  pela  reação  com  o carboidrato.\n', 'D': ' reação do gás de cozinha com a água, formando gás hidrogênio.\n', 'E': ' excitação das moléculas de proteínas, com formação de luz amarela.\n\n'}","{'B': ' emissão de fótons pelo sódio, excitado por causa da chama.\n'}",No,Yes,Yes,No,No,Yes,No,,,,,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,AMARELO,"{B: emissão de fótons pelo sódio, excitado por causa da chama.}","A mudança de cor da chama ocorre devido à emissão de fótons pelo sódio, que é excitado pela chama, resultando na transição da chama azul para a chama amarela."
94,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
","
Qual  a  doença  cujos  pacientes  teriam  melhora  de  seu 
estado de saúde com o uso desse material?
","{'A': ' Filariose.\n', 'B': ' Hemofilia.\n', 'C': ' Aterosclerose.\n', 'D': ' Doença de Chagas.\n', 'E': ' Síndrome da imunodeficiência adquirida.\n\n'}",{'B': ' Hemofilia.\n'},No,Yes,No,No,No,Yes,No,,,,,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,AMARELO,{B: Hemofilia.},"O texto menciona que a plaqueta artificial criada pelos pesquisadores promete agilizar o processo de coagulação. A hemofilia é uma doença caracterizada pela dificuldade do sangue em coagular, portanto, os pacientes com hemofilia teriam melhora de seu estado de saúde com o uso desse material."
97,2017,"As  centrífugas  são  equipamentos  utilizados  em 
laboratórios, clínicas e indústrias. Seu funcionamento faz 
uso da aceleração centrífuga obtida pela rotação de um 
recipiente e que serve para a separação de sólidos em 
suspensão em líquidos ou de líquidos misturados entre si.
RODITI, I. Dicionário Houaiss de física. Rio de Janeiro: Objetiva, 2005 (adaptado).
","
Nesse  aparelho,  a  separação  das  substâncias  ocorre em função
","{'A': ' das diferentes densidades.\n', 'B': ' dos diferentes raios de rotação.\n', 'C': ' das diferentes velocidades angulares.\n', 'D': ' das diferentes quantidades de cada substância.\n', 'E': ' da diferente coesão molecular de cada substância.\n\n'}",{'A': ' das diferentes densidades.\n'},No,Yes,Yes,No,No,Yes,No,,,,,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,AMARELO,{A: das diferentes densidades.},"A centrífuga separa as substâncias com base em suas diferentes densidades, permitindo a separação de sólidos em suspensão em líquidos ou de líquidos misturados entre si."
100,2017,"
Partículas  microscópicas  existentes  na  atmosfera 
funcionam  como  núcleos  de  condensação  de  vapor  de 
água  que,  sob  condições  adequadas  de  temperatura 
e  pressão,  propiciam  a 
formação  das  nuvens  e 
consequentemente  das  chuvas.  No  ar  atmosférico,  tais 
partículas  são  formadas  pela  reação  de  ácidos  (<math xmlns=""http://www.w3.org/1998/Math/MathML""><mtext>H</mtext><mi>X</mi></math>)
com  a  base  <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>NH</mtext><mn>3</mn></msub></math>,  de  forma  natural  ou  antropogênica, 
dando origem a sais de amônio (<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>NH</mtext><mn>4</mn></msub><mi>X</mi></math>), de acordo com a 
equação química genérica:

<math xmlns=""http://www.w3.org/1998/Math/MathML""><mtext>H</mtext><mi>X</mi><mfenced><mtext>g</mtext></mfenced><mo>+</mo><msub><mtext>NH</mtext><mn>3</mn></msub><mo>&#x2192;</mo><msub><mtext>NH</mtext><mn>4</mn></msub><mi>X</mi></math>

FELIX, E. P.; CARDOSO, A. A. Fatores ambientais que afetam a precipitação úmida. 
Química Nova na Escola, n. 21, maio 2005 (adaptado).
","
A fixação de moléculas de vapor de água pelos núcleos 
de condensação ocorre por
","{'A': ' ligações iônicas.\n', 'B': ' interações dipolo-dipolo.\n', 'C': ' interações dipolo-dipolo induzido.\n', 'D': ' interações íon-dipolo.\n', 'E': ' ligações covalentes. \n\n\n\n'}",{'D': ' interações íon-dipolo.\n'},Yes,Yes,Yes,Yes,No,No,No,,,,,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,AMARELO,{C: interações dipolo-dipolo induzido.},"A fixação de moléculas de vapor de água pelos núcleos de condensação ocorre por meio de interações dipolo-dipolo induzido, conforme explicado no contexto fornecido."
102,2017,"
A técnica do carbono-14 permite a datação de fósseis pela medição dos valores de emissão beta desse isótopo presente no fóssil. Para um ser em vida, o máximo são 15 emissões beta/(min g). Após a morte, a quantidade de 14C
se reduz pela metade a cada 5 730 anos.

A prova do carbono 14. Disponível em: http://noticias.terra.com.br. Acesso em: 9 nov. 2013 (adaptado).
","
Considere que um fragmento fóssil de massa igual a 30 g foi encontrado em um sítio arqueológico, e a medição de 
radiação apresentou 6 750 emissões beta por hora. A idade desse fóssil, em anos, é
","{'A': ' 450.\n', 'B': ' 1 433.\n', 'C': ' 11 460.\n', 'D': ' 17 190.\n', 'E': ' 27 000.\n\n'}",{'C': ' 11 460.\n'},No,No,No,No,Yes,No,No,,,,,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,AMARELO,{C: 11 460.},"Para encontrar a idade do fóssil, primeiro calculamos a quantidade de emissões beta por minuto, dividindo 6 750 por 60 (minutos), resultando em 112,5 emissões beta por minuto. Em seguida, dividimos esse valor pelo máximo de emissões beta por minuto em vida (15), obtendo 7,5. Esse valor representa quantas vezes a quantidade de 14C foi reduzida. Para encontrar o número de anos necessários para essa redução, dividimos 5730 por 7,5, resultando em aproximadamente 764 anos. Por fim, multiplicamos esse valor pela quantidade de vezes que a quantidade de 14C foi reduzida (7,5), chegando a 11 460 anos."
105,2017,"
Uma grande virada na moderna história da agricultura ocorreu depois da Segunda Guerra Mundial. Após a guerra, 
os governos haviam se deparado com um enorme excedente de nitrato de amônio, ingrediente usado na fabricação 
de explosivos. A partir daí as fábricas de munição foram adaptadas para começar a produzir fertilizantes tendo como 
componente principal os nitratos.

SOUZA, F. A. Agricultura natural/orgânica como instrumento de fixação biológica e manutenção do nitrogênio no solo: um modelo sustentável de MDL. 
Disponível em: www.planetaorganico.com.br. Acesso em: 17 jul. 2015 (adaptado).
","
No ciclo natural do nitrogênio, o equivalente ao principal componente desses fertilizantes industriais é produzido na 
etapa de
","{'A': ' nitratação.\n', 'B': ' nitrosação.\n', 'C': ' amonificação.\n', 'D': ' desnitrificação.\n', 'E': ' fixação biológica do N2.\n\n'}",{'A': ' nitratação.\n'},No,Yes,Yes,No,No,Yes,No,,,,,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,AMARELO,{E: fixação biológica do N2.},"No ciclo natural do nitrogênio, o principal componente dos fertilizantes industriais é produzido na etapa de fixação biológica do N2."
107,2017,"
Os medicamentos são rotineiramente utilizados pelo 
ser humano com o intuito de diminuir ou, por muitas vezes, 
curar possíveis transtornos de saúde. Os antibióticos são 
grupos de fármacos inseridos no tratamento de doenças 
causadas por bactérias.
","
Na terapêutica das doenças mencionadas, alguns desses fármacos atuam 
","{'A': ' ativando o sistema imunológico do hospedeiro.\n', 'B': ' interferindo na cascata bioquímica da inflamação.\n', 'C': ' removendo as toxinas sintetizadas pelas bactérias.\n', 'D': ' combatendo as células hospedeiras das bactérias. \n', 'E': ' danificando estruturas específicas da célula bacteriana.\n\n'}",{'E': ' danificando estruturas específicas da célula bacteriana.\n\n'},No,No,Yes,No,No,Yes,No,,,,,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,AMARELO,,
109,2017,"
Pesquisadores conseguiram estimular a absorção de 
energia luminosa em plantas graças ao uso de nanotubos 
de  carbono.  Para  isso,  nanotubos  de  carbono  “se 
inseriram” no interior dos cloroplastos por uma montagem 
espontânea,  através  das  membranas  dos  cloroplastos. 
Pigmentos  da  planta  absorvem  as  radiações  luminosas, 
os elétrons são “excitados” e se deslocam no interior de 
membranas dos cloroplastos, e a planta utiliza em seguida 
essa  energia  elétrica  para  a  fabricação  de  açúcares.
Os nanotubos de carbono podem absorver comprimentos 
de onda habitualmente não utilizados pelos cloroplastos, 
e  os  pesquisadores  tiveram  a  ideia  de  utilizá-los  como 
“antenas”, estimulando a conversão de energia solar pelos 
cloroplastos, com o aumento do transporte de elétrons.

Nanotubos de carbono incrementam a fotossíntese de plantas.
 Disponível em: http://lqes.iqm.unicamp.br. Acesso em: 14 nov. 2014 (adaptado).
","
O aumento da eficiência fotossintética ocorreu pelo fato 
de os nanotubos de carbono promoverem diretamente a
","{'A': ' utilização de água.\n', 'B': ' absorção de fótons.\n', 'C': ' formação de gás oxigênio.\n', 'D': ' proliferação dos cloroplastos.\n', 'E': ' captação de dióxido de carbono.\n\n'}",{'B': ' absorção de fótons.\n'},No,No,Yes,No,No,Yes,No,,,,,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,AMARELO,{B: absorção de fótons.},"A eficiência fotossintética aumentou devido ao fato de os nanotubos de carbono promoverem diretamente a absorção de fótons, atuando como 'antenas' para estimular a conversão de energia solar pelos cloroplastos."
110,2017,"
O  fenômeno  da  piracema  (subida  do  rio)  é  um 
importante  mecanismo  que  influencia  a  reprodução 
de  algumas  espécies  de  peixes,  pois  induz  o  processo 
que  estimula  a  queima  de  gordura  e  ativa  mecanismos 
hormonais complexos, preparando-os para a reprodução. 
Intervenções antrópicas nos ambientes aquáticos, como 
a  construção  de  barragens,  interferem  na  reprodução 
desses animais.

MALTA, P. Impacto ambiental das barragens hidrelétricas.
Disponível em: http://futurambiental.com. 
Acesso em: 10 maio 2013 (adaptado).
","
Essa intervenção antrópica prejudica a piracema porque 
reduz o(a)
","{'A': ' percurso da migração.\n', 'B': ' longevidade dos indivíduos.\n', 'C': ' disponibilidade de alimentos.\n', 'D': ' período de migração da espécie.\n', 'E': ' número de espécies de peixes no local.\n\n'}",{'A': ' percurso da migração.\n'},No,No,Yes,No,No,Yes,No,,,,,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,AMARELO,{D: período de migração da espécie.},"A construção de barragens interfere na reprodução dos peixes ao alterar o fluxo natural dos rios, o que impacta diretamente no período de migração das espécies durante a piracema. Isso prejudica a capacidade dos peixes de se reproduzirem adequadamente."
112,2017,"
Os  botos-cinza  (Sotalia  guianensis),  mamíferos  da 
família  dos  golfinhos,  são  excelentes  indicadores  da 
poluição  das  áreas  em  que  vivem,  pois  passam  toda  a 
sua vida — cerca de 30 anos — na mesma região. Além 
disso,  a  espécie  acumula  mais  contaminantes  em  seu 
organismo, como o mercúrio, do que outros animais da 
sua cadeia alimentar.

MARCOLINO, B. Sentinelas do mar. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 1 ago. 2012 (adaptado).
","
Os  botos-cinza  acumulam  maior  concentração  dessas 
substâncias porque
","{'A': ' são animais herbívoros.\n', 'B': ' são animais detritívoros.\n', 'C': ' são animais de grande porte.\n', 'D': ' digerem o alimento lentamente.\n', 'E': ' estão no topo da cadeia alimentar.\n\n'}",{'E': ' estão no topo da cadeia alimentar.\n\n'},No,Yes,No,No,No,Yes,No,,,,,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,AMARELO,{E: estão no topo da cadeia alimentar.},"Os botos-cinza acumulam maior concentração de substâncias contaminantes em seu organismo porque estão no topo da cadeia alimentar. Sendo predadores, acabam acumulando os contaminantes presentes nos organismos dos animais que fazem parte de sua cadeia alimentar, resultando em uma maior concentração dessas substâncias."
