id,year,context,question,options,correct_answer,CE,DS,EK,IC,MR,TC,image,IU,ledor,figures,description,area,cor,system_answer,steps_answer
91,2017,"
A common fact when cooking rice is the spilling of part of the cooking water over the blue flame of the fire, changing it to a yellow flame. This color change can raise various interpretations related to the substances present in the cooking water. In addition to kitchen salt (NaCl), it contains carbohydrates, proteins, and mineral salts.
","
Scientifically, it is known that this color change of the flame occurs due to
","{'A': ' reaction of the kitchen gas with the salt, volatilizing chlorine gas.\n', 'B': ' emission of photons by sodium, excited because of the flame.\n', 'C': ' production of a yellow derivative, by reacting with the carbohydrate.\n', 'D': ' reaction of the kitchen gas with water, forming hydrogen gas.\n', 'E': ' excitation of protein molecules, with the formation of yellow light.\n\n'}","{'B': ' emission of photons by sodium, excited because of the flame.\n'}",No,Yes,Yes,No,No,Yes,No,,,,,NATURAL SCIENCES AND THEIR TECHNOLOGIES,YELLOW,"{B: emission of photons by sodium, excited because of the flame.}","The color change of the flame from blue to yellow when cooking rice is due to the emission of photons by sodium, which gets excited because of the flame."
94,2017,"
Researchers have created a type of artificial platelet, 
made of a gelatinous polymer covered with antibodies, 
which promises to speed up the coagulation process when 
injected into the body. If there is bleeding, these 
antibodies cause the platelet to change its shape 
and transform into a kind of network that sticks to 
lesions in blood vessels and skin.

MOUTINHO, S. Accelerated coagulation. Available at: http://cienciahoje.uol.com.br. 
Accessed on: Feb 19, 2013 (adapted).
","
What is the disease in which patients would improve their 
health condition with the use of this material?
","{'A': ' Filariasis.\n', 'B': ' Hemophilia.\n', 'C': ' Atherosclerosis.\n', 'D': ' Chagas disease.\n', 'E': ' Acquired immunodeficiency syndrome.\n\n'}",{'B': ' Hemophilia.\n'},No,Yes,No,No,No,Yes,No,,,,,NATURAL SCIENCES AND THEIR TECHNOLOGIES,YELLOW,{B: Hemophilia.},"The disease in which patients would improve their health condition with the use of this material is Hemophilia, which is a condition where the blood does not clot properly."
97,2017,"Centrifuges are equipment used in laboratories, clinics, and industries. Its operation makes use of centrifugal acceleration obtained by the rotation of a container and serves for the separation of solids in suspension in liquids or of liquids mixed with each other. RODITI, I. Houaiss Dictionary of Physics. Rio de Janeiro: Objetiva, 2005 (adapted).","In this apparatus, the separation of substances occurs as a function","{'A': 'of different densities.\n', 'B': 'of different rotation radii.\n', 'C': 'of different angular velocities.\n', 'D': 'of different quantities of each substance.\n', 'E': 'of the different molecular cohesion of each substance.\n\n'}",{'A': 'of different densities.\n'},No,Yes,Yes,No,No,Yes,No,,,,,NATURAL SCIENCES AND THEIR TECHNOLOGIES,YELLOW,{A: of different densities.},"The separation of substances in a centrifuge occurs as a function of different densities, allowing the solids in suspension in liquids or liquids mixed with each other to be separated based on their density differences."
100,2017,"
Microscopic particles existing in the atmosphere 
act as condensation nuclei for water vapor 
which, under suitable conditions of temperature 
and pressure, provide 
the formation of clouds 
and consequently of rain. In atmospheric air, such 
particles are formed by the reaction of acids (<math xmlns=""http://www.w3.org/1998/Math/MathML""><mtext>H</mtext><mi>X</mi></math>) 
with the base <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>NH</mtext><mn>3</mn></msub></math>, naturally or anthropogenically, 
originating ammonium salts (<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>NH</mtext><mn>4</mn></msub><mi>X</mi></math>), according to the 
generic chemical equation:

<math xmlns=""http://www.w3.org/1998/Math/MathML""><mtext>H</mtext><mi>X</mi><mfenced><mtext>g</mtext></mfenced><mo>+</mo><msub><mtext>NH</mtext><mn>3</mn></msub><mo>&#x2192;</mo><msub><mtext>NH</mtext><mn>4</mn></msub><mi>X</mi></math>

FELIX, E. P.; CARDOSO, A. A. Environmental factors affecting wet precipitation. 
Química Nova na Escola, n. 21, May 2005 (adapted).
","
The fixation of water vapor molecules by the condensation nuclei occurs through
","{'A': 'ionic bonds.\n', 'B': 'dipole-dipole interactions.\n', 'C': 'induced dipole-dipole interactions.\n', 'D': 'ion-dipole interactions.\n', 'E': 'covalent bonds. \n\n\n\n'}",{'D': 'ion-dipole interactions.\n'},Yes,Yes,Yes,Yes,No,No,No,,,,,NATURAL SCIENCES AND THEIR TECHNOLOGIES,YELLOW,{D: ion-dipole interactions.},"The fixation of water vapor molecules by the condensation nuclei occurs through ion-dipole interactions, as the particles are formed by the reaction of acids with the base NH3, leading to the formation of ammonium salts according to the given chemical equation."
102,2017,"
The carbon-14 technique allows the dating of fossils by measuring the beta emission values of this isotope present in the fossil. For a living being, the maximum is 15 beta emissions/(min g). After death, the amount of 14C
is reduced by half every 5,730 years.

The carbon 14 test. Available at: http://noticias.terra.com.br. Accessed on: Nov 9, 2013 (adapted).
","
Consider that a fossil fragment with a mass of 30 g was found at an archaeological site, and the radiation measurement showed 6,750 beta emissions per hour. The age of this fossil, in years, is
","{'A': ' 450.\n', 'B': ' 1 433.\n', 'C': ' 11 460.\n', 'D': ' 17 190.\n', 'E': ' 27 000.\n\n'}",{'C': ' 11 460.\n'},No,No,No,No,Yes,No,No,,,,,NATURAL SCIENCES AND THEIR TECHNOLOGIES,YELLOW,{C: 11 460.},"To find the age of the fossil, we first need to calculate the initial beta emissions per minute per gram. Since the maximum beta emissions for a living being is 15 beta emissions/(min g), and the fossil is showing 6,750 beta emissions per hour, we need to convert hours to minutes (6,750 beta emissions/hour * 1 hour/60 minutes = 112.5 beta emissions/minute). Next, we divide the measured beta emissions by the maximum beta emissions for a living being to find the fraction remaining (112.5 beta emissions/minute / 15 beta emissions/minute = 7.5). We then use the formula for exponential decay to find the age of the fossil: age = -5730 years * log(remaining fraction). Calculating this gives us an age of approximately 11,460 years."
105,2017,"
A major turning point in modern agricultural history occurred after World War II. After the war, 
governments were faced with a huge surplus of ammonium nitrate, an ingredient used in the manufacture 
of explosives. From then on, ammunition factories were adapted to start producing fertilizers with nitrates as 
the main component.

SOUZA, F. A. Natural/organic agriculture as a tool for biological nitrogen fixation and maintenance in the soil: a sustainable model of MDL. 
Available at: www.planetaorganico.com.br. Accessed on: Jul 17, 2015 (adapted).
","
In the natural nitrogen cycle, the equivalent of the main component of these industrial fertilizers is produced in the 
stage of
","{'A': ' nitrification.\n', 'B': ' nitrosation.\n', 'C': ' ammonification.\n', 'D': ' denitrification.\n', 'E': ' biological nitrogen fixation of N2.\n\n'}",{'A': ' nitrification.\n'},No,Yes,Yes,No,No,Yes,No,,,,,NATURAL SCIENCES AND THEIR TECHNOLOGIES,YELLOW,{E: biological nitrogen fixation of N2},"To determine the stage in the natural nitrogen cycle equivalent to the main component of industrial fertilizers, we need to understand that industrial fertilizers use nitrates as the main component. The process that produces nitrates naturally is biological nitrogen fixation of N2, making it the equivalent stage in the natural nitrogen cycle."
109,2017,"
Researchers were able to stimulate the absorption of 
light energy in plants thanks to the use of carbon 
nanotubes. For this, carbon nanotubes “inserted” themselves 
inside the chloroplasts through a spontaneous assembly, 
across the chloroplast membranes. Plant pigments absorb 
light radiation, electrons are “excited” and move within 
the chloroplast membranes, and the plant then uses this 
electric energy to produce sugars. Carbon nanotubes can absorb wavelengths 
usually not used by chloroplasts, and researchers had the idea 
of using them as “antennas”, stimulating the conversion of solar energy by 
chloroplasts, with increased electron transport.

Carbon nanotubes enhance plant photosynthesis.
 Available at: http://lqes.iqm.unicamp.br. Accessed on: Nov 14, 2014 (adapted).
","
The increase in photosynthetic efficiency occurred due to the fact 
that carbon nanotubes directly promote the
","{'A': ' use of water.\n', 'B': ' absorption of photons.\n', 'C': ' formation of oxygen gas.\n', 'D': ' proliferation of chloroplasts.\n', 'E': ' capture of carbon dioxide.\n\n'}",{'B': ' absorption of photons.\n'},No,No,Yes,No,No,Yes,No,,,,,NATURAL SCIENCES AND THEIR TECHNOLOGIES,YELLOW,{B: absorption of photons.},"The passage mentions that carbon nanotubes can absorb wavelengths usually not used by chloroplasts and act as 'antennas', stimulating the conversion of solar energy by chloroplasts. This implies that carbon nanotubes directly promote the absorption of photons, leading to the increase in photosynthetic efficiency."
110,2017,"
The phenomenon of the spawning (river ascent) is an important mechanism that influences the reproduction of some fish species, as it induces the process that stimulates fat burning and activates complex hormonal mechanisms, preparing them for reproduction. Anthropogenic interventions in aquatic environments, such as the construction of dams, interfere with the reproduction of these animals.

MALTA, P. Environmental impact of hydroelectric dams.
Available at: http://futurambiental.com.
Accessed on: May 10, 2013 (adapted).
","
This anthropogenic intervention harms the spawning because it reduces the
","{'A': 'migration route.\n', 'B': 'longevity of individuals.\n', 'C': 'food availability.\n', 'D': 'migration period of the species.\n', 'E': 'number of fish species in the location.\n\n'}",{'A': 'migration route.\n'},No,No,Yes,No,No,Yes,No,,,,,NATURAL SCIENCES AND THEIR TECHNOLOGIES,YELLOW,{D: migration period of the species.},"The anthropogenic intervention harms the spawning by reducing the migration period of the species, as mentioned in the passage."
112,2017,"
The gray dolphins (Sotalia guianensis), mammals of the
dolphin family, are excellent indicators of
pollution in the areas where they live, as they spend
their entire life - about 30 years - in the same region. In addition,
the species accumulates more contaminants in its
body, such as mercury, than other animals in
its food chain.

MARCOLINO, B. Sentinels of the sea. Available at: http://cienciahoje.uol.com.br.
Accessed on: Aug 1, 2012 (adapted).
","
The gray dolphins accumulate a higher concentration of these
substances because
","{'A': 'are herbivorous animals.\n', 'B': 'are detritivorous animals.\n', 'C': 'are large animals.\n', 'D': 'digest food slowly.\n', 'E': 'are at the top of the food chain.\n\n'}",{'E': 'are at the top of the food chain.\n\n'},No,Yes,No,No,No,Yes,No,,,,,NATURAL SCIENCES AND THEIR TECHNOLOGIES,YELLOW,{E: are at the top of the food chain.},"The passage mentions that gray dolphins accumulate more contaminants in their body, such as mercury, than other animals in its food chain. This implies that gray dolphins are at the top of the food chain, leading to the conclusion that the reason they accumulate a higher concentration of substances is that they are at the top of the food chain."
115,2017,"
The Atlantic Forest is characterized by a great diversity of epiphytes, such as bromeliads. These plants are adapted to this ecosystem and are able to capture light, water, and nutrients even living on trees.

Available at: www.ib.usp.br. Access on: Feb 23, 2013 (adapted).
","
These species capture water from the
","{'A': ' organisms of neighboring plants.\n', 'B': ' soil through their long roots.\n', 'C': ' rain accumulated between their leaves.\n', 'D': ' raw sap of host plants.\n', 'E': ' community living inside them.\n\n'}",{'C': ' rain accumulated between their leaves.\n'},No,No,Yes,No,No,Yes,No,,,,,NATURAL SCIENCES AND THEIR TECHNOLOGIES,YELLOW,{C: rain accumulated between their leaves.},"The epiphytes, such as bromeliads, capture water from the rain accumulated between their leaves in the Atlantic Forest ecosystem."
