index,id,area,year,context,question,bloom_level,difficult_level,options,correct_answer,correct_answer_letter,correct_answer_text,response_json,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer
0,1,Administration,2022,"TEXT 1
Representative democracy requires, for its functioning, a set of characteristics, which can be understood as institutions. They are: Elected officials; Free, fair and frequent elections; Inclusive suffrage; Right to run for elective office; Freedom of expression; Diversified sources of information; Autonomy for associations. Among the mentioned categories, two stand out as pillars of the democratic regime.
Freedom of expression: citizens have the right to express themselves, without the danger of severe punishments, regarding political matters in general, which includes the freedom to criticize government officials, the government itself, the regime, the socioeconomic order, and the dominant ideology.
Diversified sources of information: citizens have the right to seek alternative, diversified, and independent sources of information. Furthermore, the existence of alternative sources of information must be protected by law.
Source of the Text: DAHL, R. A. On Democracy, EDU: UnB, 2001 (adapted).
TEXT 2
Source of the Text: DAHL, R. A. On Democracy, EDU: UnB, 2001 (adapted).
Although political regimes can be overthrown and ideologies criticized and stripped of their legitimacy, behind a regime and its ideology there is always a way of thinking and feeling, a series of cultural habits, a nebula of obscure instincts and unfathomable impulses.
Source of the Text: ECO, U. The Eternal Fascism. In: Five Moral Writings. Editora Record: Rio de Janeiro, 2002 (adapted).
TEXT 3
The figure below exemplifies some behaviors that, according to Umberto Eco, can be considered contradictory to democratic principles.
Description of the Figure:
7 frames are presented with different phrases and illustrations.
Phrase: 'Cult of traditions and roots'.
Illustration: drawing of a bald eagle wearing a baseball cap.
Phrase: 'Constant state of threat'.
Illustration: tank.
Phrase: 'Exaltation of popular will'.
Illustration: hand prop with raised index finger and the writing '#1 - the best'.
Phrase: 'Opposition to critical analysis'.
Illustration: microphones emitting the phrase 'Fake News!'.
Phrase: 'Obsession with conspiracies and external culprits'.
Illustration: drawing of immigrants as targets.
Phrase: 'Proclamation of a leader (the voice of the people)'.
Illustration: a person on a hill speaking to the crowds.
Phrase: 'Limited and repetitive language'.
Illustration: a mouth saying 'I have the best words'.",Which of the following is NOT considered a characteristic that is essential for the functioning of a representative democracy?,Remember,Beginner,"[{'A': 'Elected officials'}, {'B': 'Freedom of expression'}, {'C': 'Inclusive suffrage'}, {'D': 'Right to run for elective office'}, {'E': 'Cult of traditions and roots'}]",['E'],E,Cult of traditions and roots,"{'question': 'Which of the following is NOT considered a characteristic that is essential for the functioning of a representative democracy?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'Elected officials'}, {'B': 'Freedom of expression'}, {'C': 'Inclusive suffrage'}, {'D': 'Right to run for elective office'}, {'E': 'Cult of traditions and roots'}], 'correct_answer': ['E'], 'correct_answer_letter': 'E', 'correct_answer_text': 'Cult of traditions and roots'}",,,,,,,,,
0,1,Administration,2022,"TEXT 1
Representative democracy requires, for its functioning, a set of characteristics, which can be understood as institutions. They are: Elected officials; Free, fair and frequent elections; Inclusive suffrage; Right to run for elective office; Freedom of expression; Diversified sources of information; Autonomy for associations. Among the mentioned categories, two stand out as pillars of the democratic regime.
Freedom of expression: citizens have the right to express themselves, without the danger of severe punishments, regarding political matters in general, which includes the freedom to criticize government officials, the government itself, the regime, the socioeconomic order, and the dominant ideology.
Diversified sources of information: citizens have the right to seek alternative, diversified, and independent sources of information. Furthermore, the existence of alternative sources of information must be protected by law.
Source of the Text: DAHL, R. A. On Democracy, EDU: UnB, 2001 (adapted).
TEXT 2
Source of the Text: DAHL, R. A. On Democracy, EDU: UnB, 2001 (adapted).
Although political regimes can be overthrown and ideologies criticized and stripped of their legitimacy, behind a regime and its ideology there is always a way of thinking and feeling, a series of cultural habits, a nebula of obscure instincts and unfathomable impulses.
Source of the Text: ECO, U. The Eternal Fascism. In: Five Moral Writings. Editora Record: Rio de Janeiro, 2002 (adapted).
TEXT 3
The figure below exemplifies some behaviors that, according to Umberto Eco, can be considered contradictory to democratic principles.
Description of the Figure:
7 frames are presented with different phrases and illustrations.
Phrase: 'Cult of traditions and roots'.
Illustration: drawing of a bald eagle wearing a baseball cap.
Phrase: 'Constant state of threat'.
Illustration: tank.
Phrase: 'Exaltation of popular will'.
Illustration: hand prop with raised index finger and the writing '#1 - the best'.
Phrase: 'Opposition to critical analysis'.
Illustration: microphones emitting the phrase 'Fake News!'.
Phrase: 'Obsession with conspiracies and external culprits'.
Illustration: drawing of immigrants as targets.
Phrase: 'Proclamation of a leader (the voice of the people)'.
Illustration: a person on a hill speaking to the crowds.
Phrase: 'Limited and repetitive language'.
Illustration: a mouth saying 'I have the best words'.",What is one of the pillars of a democratic regime according to the provided text?,Understand,Intermediate,"[{'A': 'Limited and repetitive language'}, {'B': 'Opposition to critical analysis'}, {'C': 'Freedom of expression'}, {'D': 'Exaltation of popular will'}, {'E': 'Constant state of threat'}]",['C'],C,Freedom of expression,"{'question': 'What is one of the pillars of a democratic regime according to the provided text?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': [{'A': 'Limited and repetitive language'}, {'B': 'Opposition to critical analysis'}, {'C': 'Freedom of expression'}, {'D': 'Exaltation of popular will'}, {'E': 'Constant state of threat'}], 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Freedom of expression'}",,,,,,,,,
0,1,Administration,2022,"TEXT 1
Representative democracy requires, for its functioning, a set of characteristics, which can be understood as institutions. They are: Elected officials; Free, fair and frequent elections; Inclusive suffrage; Right to run for elective office; Freedom of expression; Diversified sources of information; Autonomy for associations. Among the mentioned categories, two stand out as pillars of the democratic regime.
Freedom of expression: citizens have the right to express themselves, without the danger of severe punishments, regarding political matters in general, which includes the freedom to criticize government officials, the government itself, the regime, the socioeconomic order, and the dominant ideology.
Diversified sources of information: citizens have the right to seek alternative, diversified, and independent sources of information. Furthermore, the existence of alternative sources of information must be protected by law.
Source of the Text: DAHL, R. A. On Democracy, EDU: UnB, 2001 (adapted).
TEXT 2
Source of the Text: DAHL, R. A. On Democracy, EDU: UnB, 2001 (adapted).
Although political regimes can be overthrown and ideologies criticized and stripped of their legitimacy, behind a regime and its ideology there is always a way of thinking and feeling, a series of cultural habits, a nebula of obscure instincts and unfathomable impulses.
Source of the Text: ECO, U. The Eternal Fascism. In: Five Moral Writings. Editora Record: Rio de Janeiro, 2002 (adapted).
TEXT 3
The figure below exemplifies some behaviors that, according to Umberto Eco, can be considered contradictory to democratic principles.
Description of the Figure:
7 frames are presented with different phrases and illustrations.
Phrase: 'Cult of traditions and roots'.
Illustration: drawing of a bald eagle wearing a baseball cap.
Phrase: 'Constant state of threat'.
Illustration: tank.
Phrase: 'Exaltation of popular will'.
Illustration: hand prop with raised index finger and the writing '#1 - the best'.
Phrase: 'Opposition to critical analysis'.
Illustration: microphones emitting the phrase 'Fake News!'.
Phrase: 'Obsession with conspiracies and external culprits'.
Illustration: drawing of immigrants as targets.
Phrase: 'Proclamation of a leader (the voice of the people)'.
Illustration: a person on a hill speaking to the crowds.
Phrase: 'Limited and repetitive language'.
Illustration: a mouth saying 'I have the best words'.",Which behavior exemplified in TEXT 3 contradicts the democratic principle of diversified sources of information?,Apply,Advanced,"[{'A': 'Proclamation of a leader (the voice of the people)'}, {'B': 'Obsession with conspiracies and external culprits'}, {'C': 'Opposition to critical analysis'}, {'D': 'Constant state of threat'}, {'E': 'Cult of traditions and roots'}]",['B'],B,Obsession with conspiracies and external culprits,"{'question': 'Which behavior exemplified in TEXT 3 contradicts the democratic principle of diversified sources of information?', 'bloom_level': 'Apply', 'difficult_level': 'Advanced', 'options': [{'A': 'Proclamation of a leader (the voice of the people)'}, {'B': 'Obsession with conspiracies and external culprits'}, {'C': 'Opposition to critical analysis'}, {'D': 'Constant state of threat'}, {'E': 'Cult of traditions and roots'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Obsession with conspiracies and external culprits'}",,,,,,,,,
1,2,Administration,2022,"TEXT 1
Data from the survey conducted by TransgenderEurope (TGEU) shows that Brazil has remained for the 13th consecutive year as the country that most kills transgender people.
Map Description:
Title: Transgender Deaths - by countries from 2008 to 2021 - Absolute numbers:
• More than 1000: Brazil.
• 501 to 1000: Mexico.
• 251 to 500: USA.
• 101 to 250: Argentina, Venezuela, Colombia, India.
• 51 to 100: Turkey.
• 2 to 50: Canada, Russia, China, Saudi Arabia, Australia and part of Europe.
TEXT 2
According to data from the Notification of Injuries Information System (Sinan), from the Ministry of Health, there was a gross increase of 5% in violence against homosexuals and 37.1% in violence against bisexuals, going from 4,855 records in 2018 to 5,330 in 2019. The following graph presents the percentage data of reported cases in 2019, according to the victims' sexual orientation.
Graph Description:
Title: Brazil: Profile of Homosexual and Bisexual People Victims of Violence, by Sexual Orientation, by Age Group (2019):
• 10 to 14 years: Heterosexuals (9%), Homosexuals (6%), Bisexuals (8%).
• 15 to 19 years: Heterosexuals (14%), Homosexuals (16%), Bisexuals (27%).
• 35 to 39 years: Heterosexuals (11%), Homosexuals (9%), Bisexuals (7%).
• 40 to 44 years: Heterosexuals (9%), Homosexuals (7%), Bisexuals (4%).
• 60 to 64 years: Heterosexuals (3%), Homosexuals (2%), Bisexuals (1%).","According to the survey by TransgenderEurope (TGEU), which country has consistently had the highest number of transgender deaths from 2008 to 2021?",Remember,Beginner,"{'A': 'Mexico', 'B': 'USA', 'C': 'Brazil', 'D': 'India', 'E': 'Turkey'}",['C'],C,Brazil,"{'question': 'According to the survey by TransgenderEurope (TGEU), which country has consistently had the highest number of transgender deaths from 2008 to 2021?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': {'A': 'Mexico', 'B': 'USA', 'C': 'Brazil', 'D': 'India', 'E': 'Turkey'}, 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Brazil'}",,,,,,,,,
1,2,Administration,2022,"TEXT 1
Data from the survey conducted by TransgenderEurope (TGEU) shows that Brazil has remained for the 13th consecutive year as the country that most kills transgender people.
Map Description:
Title: Transgender Deaths - by countries from 2008 to 2021 - Absolute numbers:
• More than 1000: Brazil.
• 501 to 1000: Mexico.
• 251 to 500: USA.
• 101 to 250: Argentina, Venezuela, Colombia, India.
• 51 to 100: Turkey.
• 2 to 50: Canada, Russia, China, Saudi Arabia, Australia and part of Europe.
TEXT 2
According to data from the Notification of Injuries Information System (Sinan), from the Ministry of Health, there was a gross increase of 5% in violence against homosexuals and 37.1% in violence against bisexuals, going from 4,855 records in 2018 to 5,330 in 2019. The following graph presents the percentage data of reported cases in 2019, according to the victims' sexual orientation.
Graph Description:
Title: Brazil: Profile of Homosexual and Bisexual People Victims of Violence, by Sexual Orientation, by Age Group (2019):
• 10 to 14 years: Heterosexuals (9%), Homosexuals (6%), Bisexuals (8%).
• 15 to 19 years: Heterosexuals (14%), Homosexuals (16%), Bisexuals (27%).
• 35 to 39 years: Heterosexuals (11%), Homosexuals (9%), Bisexuals (7%).
• 40 to 44 years: Heterosexuals (9%), Homosexuals (7%), Bisexuals (4%).
• 60 to 64 years: Heterosexuals (3%), Homosexuals (2%), Bisexuals (1%).","In the graph depicting the profile of victims of violence in Brazil by sexual orientation and age group in 2019, which age group had the highest percentage of bisexual victims?",Understand,Intermediate,"{'A': '10 to 14 years', 'B': '15 to 19 years', 'C': '35 to 39 years', 'D': '40 to 44 years', 'E': '60 to 64 years'}",['B'],B,15 to 19 years,"{'question': 'In the graph depicting the profile of victims of violence in Brazil by sexual orientation and age group in 2019, which age group had the highest percentage of bisexual victims?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': {'A': '10 to 14 years', 'B': '15 to 19 years', 'C': '35 to 39 years', 'D': '40 to 44 years', 'E': '60 to 64 years'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': '15 to 19 years'}",,,,,,,,,
1,2,Administration,2022,"TEXT 1
Data from the survey conducted by TransgenderEurope (TGEU) shows that Brazil has remained for the 13th consecutive year as the country that most kills transgender people.
Map Description:
Title: Transgender Deaths - by countries from 2008 to 2021 - Absolute numbers:
• More than 1000: Brazil.
• 501 to 1000: Mexico.
• 251 to 500: USA.
• 101 to 250: Argentina, Venezuela, Colombia, India.
• 51 to 100: Turkey.
• 2 to 50: Canada, Russia, China, Saudi Arabia, Australia and part of Europe.
TEXT 2
According to data from the Notification of Injuries Information System (Sinan), from the Ministry of Health, there was a gross increase of 5% in violence against homosexuals and 37.1% in violence against bisexuals, going from 4,855 records in 2018 to 5,330 in 2019. The following graph presents the percentage data of reported cases in 2019, according to the victims' sexual orientation.
Graph Description:
Title: Brazil: Profile of Homosexual and Bisexual People Victims of Violence, by Sexual Orientation, by Age Group (2019):
• 10 to 14 years: Heterosexuals (9%), Homosexuals (6%), Bisexuals (8%).
• 15 to 19 years: Heterosexuals (14%), Homosexuals (16%), Bisexuals (27%).
• 35 to 39 years: Heterosexuals (11%), Homosexuals (9%), Bisexuals (7%).
• 40 to 44 years: Heterosexuals (9%), Homosexuals (7%), Bisexuals (4%).
• 60 to 64 years: Heterosexuals (3%), Homosexuals (2%), Bisexuals (1%).",Which country falls under the category of having 251 to 500 transgender deaths based on the survey data from TransgenderEurope (TGEU)?,Apply,Advanced,"{'A': 'USA', 'B': 'Argentina', 'C': 'Venezuela', 'D': 'Colombia', 'E': 'India'}",['A'],A,USA,"{'question': 'Which country falls under the category of having 251 to 500 transgender deaths based on the survey data from TransgenderEurope (TGEU)?', 'bloom_level': 'Apply', 'difficult_level': 'Advanced', 'options': {'A': 'USA', 'B': 'Argentina', 'C': 'Venezuela', 'D': 'Colombia', 'E': 'India'}, 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'USA'}",,,,,,,,,
2,2,Administration,2022,"TEXT 1
Data from the survey conducted by TransgenderEurope (TGEU) shows that Brazil has remained for the 13th consecutive year as the country that most kills transgender people.
Map Description:
Title: Transgender Deaths - by countries from 2008 to 2021 - Absolute numbers:
• More than 1000: Brazil.
• 501 to 1000: Mexico.
• 251 to 500: USA.
• 101 to 250: Argentina, Venezuela, Colombia, India.
• 51 to 100: Turkey.
• 2 to 50: Canada, Russia, China, Saudi Arabia, Australia and part of Europe.
TEXT 2
According to data from the Notification of Injuries Information System (Sinan), from the Ministry of Health, there was a gross increase of 5% in violence against homosexuals and 37.1% in violence against bisexuals, going from 4,855 records in 2018 to 5,330 in 2019. The following graph presents the percentage data of reported cases in 2019, according to the victims' sexual orientation.
Graph Description:
Title: Brazil: Profile of Homosexual and Bisexual People Victims of Violence, by Sexual Orientation, by Age Group (2019):
• 10 to 14 years: Heterosexuals (9%), Homosexuals (6%), Bisexuals (8%).
• 15 to 19 years: Heterosexuals (14%), Homosexuals (16%), Bisexuals (27%).
• 35 to 39 years: Heterosexuals (11%), Homosexuals (9%), Bisexuals (7%).
• 40 to 44 years: Heterosexuals (9%), Homosexuals (7%), Bisexuals (4%).
• 60 to 64 years: Heterosexuals (3%), Homosexuals (2%), Bisexuals (1%).","According to the survey by TransgenderEurope (TGEU), which country has consistently had the highest number of transgender deaths from 2008 to 2021?",Remember,Beginner,"{'A': 'Mexico', 'B': 'USA', 'C': 'Brazil', 'D': 'India', 'E': 'Turkey'}",['C'],C,Brazil,"{'question': 'According to the survey by TransgenderEurope (TGEU), which country has consistently had the highest number of transgender deaths from 2008 to 2021?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': {'A': 'Mexico', 'B': 'USA', 'C': 'Brazil', 'D': 'India', 'E': 'Turkey'}, 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Brazil'}",,,,,,,,,
2,2,Administration,2022,"TEXT 1
Data from the survey conducted by TransgenderEurope (TGEU) shows that Brazil has remained for the 13th consecutive year as the country that most kills transgender people.
Map Description:
Title: Transgender Deaths - by countries from 2008 to 2021 - Absolute numbers:
• More than 1000: Brazil.
• 501 to 1000: Mexico.
• 251 to 500: USA.
• 101 to 250: Argentina, Venezuela, Colombia, India.
• 51 to 100: Turkey.
• 2 to 50: Canada, Russia, China, Saudi Arabia, Australia and part of Europe.
TEXT 2
According to data from the Notification of Injuries Information System (Sinan), from the Ministry of Health, there was a gross increase of 5% in violence against homosexuals and 37.1% in violence against bisexuals, going from 4,855 records in 2018 to 5,330 in 2019. The following graph presents the percentage data of reported cases in 2019, according to the victims' sexual orientation.
Graph Description:
Title: Brazil: Profile of Homosexual and Bisexual People Victims of Violence, by Sexual Orientation, by Age Group (2019):
• 10 to 14 years: Heterosexuals (9%), Homosexuals (6%), Bisexuals (8%).
• 15 to 19 years: Heterosexuals (14%), Homosexuals (16%), Bisexuals (27%).
• 35 to 39 years: Heterosexuals (11%), Homosexuals (9%), Bisexuals (7%).
• 40 to 44 years: Heterosexuals (9%), Homosexuals (7%), Bisexuals (4%).
• 60 to 64 years: Heterosexuals (3%), Homosexuals (2%), Bisexuals (1%).","In the graph depicting the profile of victims of violence in Brazil by sexual orientation and age group in 2019, which age group had the highest percentage of bisexual victims?",Understand,Intermediate,"{'A': '10 to 14 years', 'B': '15 to 19 years', 'C': '35 to 39 years', 'D': '40 to 44 years', 'E': '60 to 64 years'}",['B'],B,15 to 19 years,"{'question': 'In the graph depicting the profile of victims of violence in Brazil by sexual orientation and age group in 2019, which age group had the highest percentage of bisexual victims?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': {'A': '10 to 14 years', 'B': '15 to 19 years', 'C': '35 to 39 years', 'D': '40 to 44 years', 'E': '60 to 64 years'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': '15 to 19 years'}",,,,,,,,,
2,2,Administration,2022,"TEXT 1
Data from the survey conducted by TransgenderEurope (TGEU) shows that Brazil has remained for the 13th consecutive year as the country that most kills transgender people.
Map Description:
Title: Transgender Deaths - by countries from 2008 to 2021 - Absolute numbers:
• More than 1000: Brazil.
• 501 to 1000: Mexico.
• 251 to 500: USA.
• 101 to 250: Argentina, Venezuela, Colombia, India.
• 51 to 100: Turkey.
• 2 to 50: Canada, Russia, China, Saudi Arabia, Australia and part of Europe.
TEXT 2
According to data from the Notification of Injuries Information System (Sinan), from the Ministry of Health, there was a gross increase of 5% in violence against homosexuals and 37.1% in violence against bisexuals, going from 4,855 records in 2018 to 5,330 in 2019. The following graph presents the percentage data of reported cases in 2019, according to the victims' sexual orientation.
Graph Description:
Title: Brazil: Profile of Homosexual and Bisexual People Victims of Violence, by Sexual Orientation, by Age Group (2019):
• 10 to 14 years: Heterosexuals (9%), Homosexuals (6%), Bisexuals (8%).
• 15 to 19 years: Heterosexuals (14%), Homosexuals (16%), Bisexuals (27%).
• 35 to 39 years: Heterosexuals (11%), Homosexuals (9%), Bisexuals (7%).
• 40 to 44 years: Heterosexuals (9%), Homosexuals (7%), Bisexuals (4%).
• 60 to 64 years: Heterosexuals (3%), Homosexuals (2%), Bisexuals (1%).",Which country falls under the category of having 251 to 500 transgender deaths based on the survey data from TransgenderEurope (TGEU)?,Apply,Advanced,"{'A': 'USA', 'B': 'Argentina', 'C': 'Venezuela', 'D': 'Colombia', 'E': 'India'}",['A'],A,USA,"{'question': 'Which country falls under the category of having 251 to 500 transgender deaths based on the survey data from TransgenderEurope (TGEU)?', 'bloom_level': 'Apply', 'difficult_level': 'Advanced', 'options': {'A': 'USA', 'B': 'Argentina', 'C': 'Venezuela', 'D': 'Colombia', 'E': 'India'}, 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'USA'}",,,,,,,,,
3,2,Administration,2022,"TEXT 1
Data from the survey conducted by TransgenderEurope (TGEU) shows that Brazil has remained for the 13th consecutive year as the country that most kills transgender people.
Map Description:
Title: Transgender Deaths - by countries from 2008 to 2021 - Absolute numbers:
• More than 1000: Brazil.
• 501 to 1000: Mexico.
• 251 to 500: USA.
• 101 to 250: Argentina, Venezuela, Colombia, India.
• 51 to 100: Turkey.
• 2 to 50: Canada, Russia, China, Saudi Arabia, Australia and part of Europe.
TEXT 2
According to data from the Notification of Injuries Information System (Sinan), from the Ministry of Health, there was a gross increase of 5% in violence against homosexuals and 37.1% in violence against bisexuals, going from 4,855 records in 2018 to 5,330 in 2019. The following graph presents the percentage data of reported cases in 2019, according to the victims' sexual orientation.
Graph Description:
Title: Brazil: Profile of Homosexual and Bisexual People Victims of Violence, by Sexual Orientation, by Age Group (2019):
• 10 to 14 years: Heterosexuals (9%), Homosexuals (6%), Bisexuals (8%).
• 15 to 19 years: Heterosexuals (14%), Homosexuals (16%), Bisexuals (27%).
• 35 to 39 years: Heterosexuals (11%), Homosexuals (9%), Bisexuals (7%).
• 40 to 44 years: Heterosexuals (9%), Homosexuals (7%), Bisexuals (4%).
• 60 to 64 years: Heterosexuals (3%), Homosexuals (2%), Bisexuals (1%).","According to the survey conducted by TransgenderEurope (TGEU), which country has had the highest number of transgender deaths for 13 consecutive years?",Remember,Beginner,"{'A': 'Mexico', 'B': 'USA', 'C': 'Brazil', 'D': 'India', 'E': 'Argentina'}",['C'],C,Brazil,"{'question': 'According to the survey conducted by TransgenderEurope (TGEU), which country has had the highest number of transgender deaths for 13 consecutive years?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': {'A': 'Mexico', 'B': 'USA', 'C': 'Brazil', 'D': 'India', 'E': 'Argentina'}, 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Brazil'}",,,,,,,,,
