index,id,area,year,context,question,bloom_level,difficult_level,options,correct_answer,correct_answer_letter,correct_answer_text,response_json,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer
0,1,Administração,2022,"TEXTO 1
A democracia representativa exige, para o seu funcionamento, um conjunto de características, as quais podem ser compreendidas como instituições. São elas: Funcionários eleitos; Eleições livres, justas e frequentes; Sufrágio inclusivo; Direito de concorrer a cargos eletivos; Liberdade de expressão; Fontes de informação diversificadas; Autonomia para as associações. Entre as categorias mencionadas, destacam-se duas como pilares do regime democrático.
Liberdade de expressão: os cidadãos têm o direito de se expressar, sem o perigo de punições severas, quanto aos assuntos políticos de uma forma geral, o que inclui a liberdade de criticar os funcionários do governo, o governo em si, o regime, a ordem socioeconômica e a ideologia dominante.
Fontes de informação diversificadas: os cidadãos têm o direito de buscar fontes de informação, alternativas, diversificadas e independentes. Ademais, a existência de fontes de informação alternativa deve ser protegida por lei.
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
TEXTO 2
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
Embora os regimes políticos possam ser derrubados e as ideologias criticadas e destituídas de sua legitimidade, por trás de um regime e de sua ideologia há sempre um modo de pensar e de sentir, uma série de hábitos culturais, uma nebulosa de instintos obscuros e de pulsões insondáveis.
Fonte do Texto: ECO, U. O Fascismo Eterno. In: Cinco escritos Morais. Editora Record: Rio de Janeiro, 2002 (adaptado).
TEXTO 3
A figura a seguir exemplifica algumas condutas que, segundo Umberto Eco, podem ser consideradas contraditórias aos princípios democráticos.
Descrição da Figura:
São apresentados 7 quadros com frases e ilustrações distintas.
Frase: “Culto às tradições e às raízes”. Ilustração: desenho de uma águia de cabeça branca utilizando um boné semelhante ao de beisebol. 
Frase: “Constante estado de ameaça”. Ilustração: tanque de guerra. 
Frase: “Exaltação da vontade popular”. Ilustração: adereço de mão com o dedo indicador levantado e a escrita “#1 - o melhor”. 
Frase: “Oposição à análise crítica”. Ilustração: microfones emitindo a frase “Fake News!”. 
Frase: “obsessão por conspirações e culpados externos”. Ilustração: desenho de imigrantes como alvo. 
Frase: “Proclamação de um líder (a voz do povo)”. Ilustração: uma pessoa sobre um monte falando às multidões. 
Frase: “Linguagem limitada e repetitiva”. Ilustração: uma boca falando “eu tenho as melhores palavras”.","Qual das seguintes características NÃO é considerada um pilar do regime democrático, de acordo com o Texto 1?",Remember,Beginner,"[{'A': 'Funcionários eleitos'}, {'B': 'Eleições livres, justas e frequentes'}, {'C': 'Sufrágio exclusivo'}, {'D': 'Liberdade de expressão'}, {'E': 'Fontes de informação diversificadas'}]",['C'],C,Sufrágio exclusivo,"{'question': 'Qual das seguintes características NÃO é considerada um pilar do regime democrático, de acordo com o Texto 1?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'Funcionários eleitos'}, {'B': 'Eleições livres, justas e frequentes'}, {'C': 'Sufrágio exclusivo'}, {'D': 'Liberdade de expressão'}, {'E': 'Fontes de informação diversificadas'}], 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Sufrágio exclusivo'}",,,,,,,,,
0,1,Administração,2022,"TEXTO 1
A democracia representativa exige, para o seu funcionamento, um conjunto de características, as quais podem ser compreendidas como instituições. São elas: Funcionários eleitos; Eleições livres, justas e frequentes; Sufrágio inclusivo; Direito de concorrer a cargos eletivos; Liberdade de expressão; Fontes de informação diversificadas; Autonomia para as associações. Entre as categorias mencionadas, destacam-se duas como pilares do regime democrático.
Liberdade de expressão: os cidadãos têm o direito de se expressar, sem o perigo de punições severas, quanto aos assuntos políticos de uma forma geral, o que inclui a liberdade de criticar os funcionários do governo, o governo em si, o regime, a ordem socioeconômica e a ideologia dominante.
Fontes de informação diversificadas: os cidadãos têm o direito de buscar fontes de informação, alternativas, diversificadas e independentes. Ademais, a existência de fontes de informação alternativa deve ser protegida por lei.
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
TEXTO 2
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
Embora os regimes políticos possam ser derrubados e as ideologias criticadas e destituídas de sua legitimidade, por trás de um regime e de sua ideologia há sempre um modo de pensar e de sentir, uma série de hábitos culturais, uma nebulosa de instintos obscuros e de pulsões insondáveis.
Fonte do Texto: ECO, U. O Fascismo Eterno. In: Cinco escritos Morais. Editora Record: Rio de Janeiro, 2002 (adaptado).
TEXTO 3
A figura a seguir exemplifica algumas condutas que, segundo Umberto Eco, podem ser consideradas contraditórias aos princípios democráticos.
Descrição da Figura:
São apresentados 7 quadros com frases e ilustrações distintas.
Frase: “Culto às tradições e às raízes”. Ilustração: desenho de uma águia de cabeça branca utilizando um boné semelhante ao de beisebol. 
Frase: “Constante estado de ameaça”. Ilustração: tanque de guerra. 
Frase: “Exaltação da vontade popular”. Ilustração: adereço de mão com o dedo indicador levantado e a escrita “#1 - o melhor”. 
Frase: “Oposição à análise crítica”. Ilustração: microfones emitindo a frase “Fake News!”. 
Frase: “obsessão por conspirações e culpados externos”. Ilustração: desenho de imigrantes como alvo. 
Frase: “Proclamação de um líder (a voz do povo)”. Ilustração: uma pessoa sobre um monte falando às multidões. 
Frase: “Linguagem limitada e repetitiva”. Ilustração: uma boca falando “eu tenho as melhores palavras”.","De acordo com o Texto 1, qual é um direito dos cidadãos em uma democracia representativa?",Understand,Intermediate,"[{'A': 'Direito de concorrer a cargos eletivos'}, {'B': 'Restrição à liberdade de expressão'}, {'C': 'Limitação das fontes de informação'}, {'D': 'Proibição de associações autônomas'}, {'E': 'Imposição de funcionários não eleitos'}]",['A'],A,Direito de concorrer a cargos eletivos,"{'question': 'De acordo com o Texto 1, qual é um direito dos cidadãos em uma democracia representativa?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': [{'A': 'Direito de concorrer a cargos eletivos'}, {'B': 'Restrição à liberdade de expressão'}, {'C': 'Limitação das fontes de informação'}, {'D': 'Proibição de associações autônomas'}, {'E': 'Imposição de funcionários não eleitos'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Direito de concorrer a cargos eletivos'}",,,,,,,,,
0,1,Administração,2022,"TEXTO 1
A democracia representativa exige, para o seu funcionamento, um conjunto de características, as quais podem ser compreendidas como instituições. São elas: Funcionários eleitos; Eleições livres, justas e frequentes; Sufrágio inclusivo; Direito de concorrer a cargos eletivos; Liberdade de expressão; Fontes de informação diversificadas; Autonomia para as associações. Entre as categorias mencionadas, destacam-se duas como pilares do regime democrático.
Liberdade de expressão: os cidadãos têm o direito de se expressar, sem o perigo de punições severas, quanto aos assuntos políticos de uma forma geral, o que inclui a liberdade de criticar os funcionários do governo, o governo em si, o regime, a ordem socioeconômica e a ideologia dominante.
Fontes de informação diversificadas: os cidadãos têm o direito de buscar fontes de informação, alternativas, diversificadas e independentes. Ademais, a existência de fontes de informação alternativa deve ser protegida por lei.
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
TEXTO 2
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
Embora os regimes políticos possam ser derrubados e as ideologias criticadas e destituídas de sua legitimidade, por trás de um regime e de sua ideologia há sempre um modo de pensar e de sentir, uma série de hábitos culturais, uma nebulosa de instintos obscuros e de pulsões insondáveis.
Fonte do Texto: ECO, U. O Fascismo Eterno. In: Cinco escritos Morais. Editora Record: Rio de Janeiro, 2002 (adaptado).
TEXTO 3
A figura a seguir exemplifica algumas condutas que, segundo Umberto Eco, podem ser consideradas contraditórias aos princípios democráticos.
Descrição da Figura:
São apresentados 7 quadros com frases e ilustrações distintas.
Frase: “Culto às tradições e às raízes”. Ilustração: desenho de uma águia de cabeça branca utilizando um boné semelhante ao de beisebol. 
Frase: “Constante estado de ameaça”. Ilustração: tanque de guerra. 
Frase: “Exaltação da vontade popular”. Ilustração: adereço de mão com o dedo indicador levantado e a escrita “#1 - o melhor”. 
Frase: “Oposição à análise crítica”. Ilustração: microfones emitindo a frase “Fake News!”. 
Frase: “obsessão por conspirações e culpados externos”. Ilustração: desenho de imigrantes como alvo. 
Frase: “Proclamação de um líder (a voz do povo)”. Ilustração: uma pessoa sobre um monte falando às multidões. 
Frase: “Linguagem limitada e repetitiva”. Ilustração: uma boca falando “eu tenho as melhores palavras”.","Qual é a importância das fontes de informação diversificadas em uma democracia, de acordo com o Texto 1?",Apply,Advanced,"[{'A': 'Limitar o acesso à informação'}, {'B': 'Proteger a existência de fontes alternativas'}, {'C': 'Controlar a liberdade de expressão'}, {'D': 'Restringir a autonomia das associações'}, {'E': 'Eliminar a diversidade de opiniões'}]",['B'],B,Proteger a existência de fontes alternativas,"{'question': 'Qual é a importância das fontes de informação diversificadas em uma democracia, de acordo com o Texto 1?', 'bloom_level': 'Apply', 'difficult_level': 'Advanced', 'options': [{'A': 'Limitar o acesso à informação'}, {'B': 'Proteger a existência de fontes alternativas'}, {'C': 'Controlar a liberdade de expressão'}, {'D': 'Restringir a autonomia das associações'}, {'E': 'Eliminar a diversidade de opiniões'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Proteger a existência de fontes alternativas'}",,,,,,,,,
1,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","De acordo com o levantamento feito pelo TransgenderEurope (TGEU), qual país foi identificado como o que mais mata pessoas transgêneros, com números absolutos maiores que 1000 de 2008 a 2021?",Remember,Beginner,"[{'A': 'México'}, {'B': 'Estados Unidos'}, {'C': 'Brasil'}, {'D': 'Argentina'}, {'E': 'Colômbia'}]",['C'],C,Brasil,"{'question': 'De acordo com o levantamento feito pelo TransgenderEurope (TGEU), qual país foi identificado como o que mais mata pessoas transgêneros, com números absolutos maiores que 1000 de 2008 a 2021?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'México'}, {'B': 'Estados Unidos'}, {'C': 'Brasil'}, {'D': 'Argentina'}, {'E': 'Colômbia'}], 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Brasil'}",,,,,,,,,
1,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).",Qual faixa de número de mortes de pessoas transgêneros é atribuída ao México de acordo com o levantamento do TGEU de 2008 a 2021?,Understand,Intermediate,"[{'A': '251 a 500'}, {'B': '101 a 250'}, {'C': '51 a 100'}, {'D': '2 a 50'}, {'E': '501 a 1000'}]",['E'],E,501 a 1000,"{'question': 'Qual faixa de número de mortes de pessoas transgêneros é atribuída ao México de acordo com o levantamento do TGEU de 2008 a 2021?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': [{'A': '251 a 500'}, {'B': '101 a 250'}, {'C': '51 a 100'}, {'D': '2 a 50'}, {'E': '501 a 1000'}], 'correct_answer': ['E'], 'correct_answer_letter': 'E', 'correct_answer_text': '501 a 1000'}",,,,,,,,,
1,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","Com base nos dados do Sinan, qual foi o percentual de crescimento bruto nas violências contra bissexuais de 2018 para 2019?",Apply,Intermediate,"[{'A': '5%'}, {'B': '37,1%'}, {'C': '27%'}, {'D': '9%'}, {'E': '16%'}]",['B'],B,"37,1%","{'question': 'Com base nos dados do Sinan, qual foi o percentual de crescimento bruto nas violências contra bissexuais de 2018 para 2019?', 'bloom_level': 'Apply', 'difficult_level': 'Intermediate', 'options': [{'A': '5%'}, {'B': '37,1%'}, {'C': '27%'}, {'D': '9%'}, {'E': '16%'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': '37,1%'}",,,,,,,,,
1,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","Segundo o gráfico apresentado, qual faixa etária possui o maior percentual de homossexuais vítimas de violência em 2019?",Analyse,Intermediate,"[{'A': '10 a 14 anos'}, {'B': '15 a 19 anos'}, {'C': '35 a 39 anos'}, {'D': '40 a 44 anos'}, {'E': '60 a 64 anos'}]",['B'],B,15 a 19 anos,"{'question': 'Segundo o gráfico apresentado, qual faixa etária possui o maior percentual de homossexuais vítimas de violência em 2019?', 'bloom_level': 'Analyse', 'difficult_level': 'Intermediate', 'options': [{'A': '10 a 14 anos'}, {'B': '15 a 19 anos'}, {'C': '35 a 39 anos'}, {'D': '40 a 44 anos'}, {'E': '60 a 64 anos'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': '15 a 19 anos'}",,,,,,,,,
1,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","De acordo com o levantamento do TGEU, qual país foi identificado com números absolutos de mortes de transgêneros entre 251 a 500 de 2008 a 2021?",Remember,Beginner,"[{'A': 'Estados Unidos'}, {'B': 'Argentina'}, {'C': 'Venezuela'}, {'D': 'Colômbia'}, {'E': 'Índia'}]",['A'],A,Estados Unidos,"{'question': 'De acordo com o levantamento do TGEU, qual país foi identificado com números absolutos de mortes de transgêneros entre 251 a 500 de 2008 a 2021?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'Estados Unidos'}, {'B': 'Argentina'}, {'C': 'Venezuela'}, {'D': 'Colômbia'}, {'E': 'Índia'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Estados Unidos'}",,,,,,,,,
2,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","De acordo com o levantamento feito pelo TransgenderEurope (TGEU), qual país foi identificado como o que mais mata pessoas transgêneros, com números absolutos maiores que 1000 de 2008 a 2021?",Remember,Beginner,"[{'A': 'México'}, {'B': 'Estados Unidos'}, {'C': 'Brasil'}, {'D': 'Argentina'}, {'E': 'Colômbia'}]",['C'],C,Brasil,"{'question': 'De acordo com o levantamento feito pelo TransgenderEurope (TGEU), qual país foi identificado como o que mais mata pessoas transgêneros, com números absolutos maiores que 1000 de 2008 a 2021?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'México'}, {'B': 'Estados Unidos'}, {'C': 'Brasil'}, {'D': 'Argentina'}, {'E': 'Colômbia'}], 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Brasil'}",,,,,,,,,
2,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).",Qual faixa de número de mortes de pessoas transgêneros é atribuída ao México de acordo com o levantamento do TGEU de 2008 a 2021?,Understand,Intermediate,"[{'A': '251 a 500'}, {'B': '101 a 250'}, {'C': '51 a 100'}, {'D': '2 a 50'}, {'E': '501 a 1000'}]",['E'],E,501 a 1000,"{'question': 'Qual faixa de número de mortes de pessoas transgêneros é atribuída ao México de acordo com o levantamento do TGEU de 2008 a 2021?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': [{'A': '251 a 500'}, {'B': '101 a 250'}, {'C': '51 a 100'}, {'D': '2 a 50'}, {'E': '501 a 1000'}], 'correct_answer': ['E'], 'correct_answer_letter': 'E', 'correct_answer_text': '501 a 1000'}",,,,,,,,,
