index,id,area,year,context,question,bloom_level,difficult_level,options,correct_answer,correct_answer_letter,correct_answer_text,response_json,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
",Qual substância presente na água de cozimento do arroz é responsável por mudar a cor da chama do fogo de azul para amarela?,Remember,Beginner,"[{'A': 'Carboidratos'}, {'B': 'Proteínas'}, {'C': 'Sais minerais'}, {'D': 'Sal de cozinha (NaCl)'}, {'E': 'Água'}]",['D'],D,O sal de cozinha (NaCl) presente na água de cozimento do arroz é responsável por mudar a cor da chama do fogo de azul para amarela.,"{'question': 'Qual substância presente na água de cozimento do arroz é responsável por mudar a cor da chama do fogo de azul para amarela?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'Carboidratos'}, {'B': 'Proteínas'}, {'C': 'Sais minerais'}, {'D': 'Sal de cozinha (NaCl)'}, {'E': 'Água'}], 'correct_answer': ['D'], 'correct_answer_letter': 'D', 'correct_answer_text': 'O sal de cozinha (NaCl) presente na água de cozimento do arroz é responsável por mudar a cor da chama do fogo de azul para amarela.'}",,,,,,,,,
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
",Qual nível de dificuldade é necessário para identificar as substâncias presentes na água de cozimento do arroz que causam a mudança de cor da chama do fogo?,Understand,Intermediate,"[{'A': 'Beginner'}, {'B': 'Intermediate'}, {'C': 'Advanced'}, {'D': 'Não é possível determinar'}, {'E': 'Expert'}]",['B'],B,"Para identificar as substâncias presentes na água de cozimento do arroz que causam a mudança de cor da chama do fogo, é necessário um nível de dificuldade intermediário.","{'question': 'Qual nível de dificuldade é necessário para identificar as substâncias presentes na água de cozimento do arroz que causam a mudança de cor da chama do fogo?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': [{'A': 'Beginner'}, {'B': 'Intermediate'}, {'C': 'Advanced'}, {'D': 'Não é possível determinar'}, {'E': 'Expert'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Para identificar as substâncias presentes na água de cozimento do arroz que causam a mudança de cor da chama do fogo, é necessário um nível de dificuldade intermediário.'}",,,,,,,,,
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
",Como as proteínas presentes na água de cozimento do arroz podem influenciar a cor da chama do fogo?,Apply,Advanced,"[{'A': 'Tornando a chama verde'}, {'B': 'Intensificando a chama azul'}, {'C': 'Mantendo a chama amarela'}, {'D': 'Não interferindo na cor da chama'}, {'E': 'Mudando a chama para vermelho'}]",['D'],D,"As proteínas presentes na água de cozimento do arroz não interferem na cor da chama do fogo, portanto, não influenciam a mudança para amarela.","{'question': 'Como as proteínas presentes na água de cozimento do arroz podem influenciar a cor da chama do fogo?', 'bloom_level': 'Apply', 'difficult_level': 'Advanced', 'options': [{'A': 'Tornando a chama verde'}, {'B': 'Intensificando a chama azul'}, {'C': 'Mantendo a chama amarela'}, {'D': 'Não interferindo na cor da chama'}, {'E': 'Mudando a chama para vermelho'}], 'correct_answer': ['D'], 'correct_answer_letter': 'D', 'correct_answer_text': 'As proteínas presentes na água de cozimento do arroz não interferem na cor da chama do fogo, portanto, não influenciam a mudança para amarela.'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
",Qual é o principal objetivo da plaqueta artificial criada pelos pesquisadores?,Compreender,Iniciante,"[{'A': 'Ajudar na digestão de alimentos.'}, {'B': 'Auxiliar na coagulação sanguínea.'}, {'C': 'Eliminar toxinas do corpo.'}, {'D': 'Regular a temperatura corporal.'}, {'E': 'Fortalecer os músculos.'}]",['B'],B,Auxiliar na coagulação sanguínea.,"{'question': 'Qual é o principal objetivo da plaqueta artificial criada pelos pesquisadores?', 'bloom_level': 'Compreender', 'difficult_level': 'Iniciante', 'options': [{'A': 'Ajudar na digestão de alimentos.'}, {'B': 'Auxiliar na coagulação sanguínea.'}, {'C': 'Eliminar toxinas do corpo.'}, {'D': 'Regular a temperatura corporal.'}, {'E': 'Fortalecer os músculos.'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Auxiliar na coagulação sanguínea.'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
",Como os anticorpos presentes na plaqueta artificial atuam em caso de sangramento?,Aplicar,Intermediário,"[{'A': 'Estimulando a produção de mais sangue.'}, {'B': 'Inibindo o processo de coagulação.'}, {'C': 'Promovendo a formação de uma rede que gruda nas lesões.'}, {'D': 'Aumentando a pressão sanguínea.'}, {'E': 'Causando dilatação dos vasos sanguíneos.'}]",['C'],C,Promovendo a formação de uma rede que gruda nas lesões.,"{'question': 'Como os anticorpos presentes na plaqueta artificial atuam em caso de sangramento?', 'bloom_level': 'Aplicar', 'difficult_level': 'Intermediário', 'options': [{'A': 'Estimulando a produção de mais sangue.'}, {'B': 'Inibindo o processo de coagulação.'}, {'C': 'Promovendo a formação de uma rede que gruda nas lesões.'}, {'D': 'Aumentando a pressão sanguínea.'}, {'E': 'Causando dilatação dos vasos sanguíneos.'}], 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Promovendo a formação de uma rede que gruda nas lesões.'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
",Qual é o material utilizado para a fabricação da plaqueta artificial?,Lembrar,Avançado,"[{'A': 'Ferro.'}, {'B': 'Polímero gelatinoso.'}, {'C': 'Cerâmica.'}, {'D': 'Vidro.'}, {'E': 'Alumínio.'}]",['B'],B,Polímero gelatinoso.,"{'question': 'Qual é o material utilizado para a fabricação da plaqueta artificial?', 'bloom_level': 'Lembrar', 'difficult_level': 'Avançado', 'options': [{'A': 'Ferro.'}, {'B': 'Polímero gelatinoso.'}, {'C': 'Cerâmica.'}, {'D': 'Vidro.'}, {'E': 'Alumínio.'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Polímero gelatinoso.'}",,,,,,,,,
2,97,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"As  centrífugas  são  equipamentos  utilizados  em 
laboratórios, clínicas e indústrias. Seu funcionamento faz 
uso da aceleração centrífuga obtida pela rotação de um 
recipiente e que serve para a separação de sólidos em 
suspensão em líquidos ou de líquidos misturados entre si.
RODITI, I. Dicionário Houaiss de física. Rio de Janeiro: Objetiva, 2005 (adaptado).
",Qual é a principal função de uma centrífuga?,Compreender,Iniciante,"[{'A': 'Separar sólidos em suspensão em líquidos'}, {'B': 'Misturar sólidos e líquidos'}, {'C': 'Aquecer substâncias'}, {'D': 'Congelar amostras'}, {'E': 'Destilar líquidos'}]",['A'],A,Separar sólidos em suspensão em líquidos,"{'question': 'Qual é a principal função de uma centrífuga?', 'bloom_level': 'Compreender', 'difficult_level': 'Iniciante', 'options': [{'A': 'Separar sólidos em suspensão em líquidos'}, {'B': 'Misturar sólidos e líquidos'}, {'C': 'Aquecer substâncias'}, {'D': 'Congelar amostras'}, {'E': 'Destilar líquidos'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Separar sólidos em suspensão em líquidos'}",,,,,,,,,
2,97,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"As  centrífugas  são  equipamentos  utilizados  em 
laboratórios, clínicas e indústrias. Seu funcionamento faz 
uso da aceleração centrífuga obtida pela rotação de um 
recipiente e que serve para a separação de sólidos em 
suspensão em líquidos ou de líquidos misturados entre si.
RODITI, I. Dicionário Houaiss de física. Rio de Janeiro: Objetiva, 2005 (adaptado).
",Qual é o princípio físico utilizado no funcionamento de uma centrífuga?,Aplicar,Intermediário,"[{'A': 'Gravidade zero'}, {'B': 'Atração magnética'}, {'C': 'Aceleração centrífuga'}, {'D': 'Pressão atmosférica'}, {'E': 'Refração da luz'}]",['C'],C,Aceleração centrífuga,"{'question': 'Qual é o princípio físico utilizado no funcionamento de uma centrífuga?', 'bloom_level': 'Aplicar', 'difficult_level': 'Intermediário', 'options': [{'A': 'Gravidade zero'}, {'B': 'Atração magnética'}, {'C': 'Aceleração centrífuga'}, {'D': 'Pressão atmosférica'}, {'E': 'Refração da luz'}], 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Aceleração centrífuga'}",,,,,,,,,
2,97,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"As  centrífugas  são  equipamentos  utilizados  em 
laboratórios, clínicas e indústrias. Seu funcionamento faz 
uso da aceleração centrífuga obtida pela rotação de um 
recipiente e que serve para a separação de sólidos em 
suspensão em líquidos ou de líquidos misturados entre si.
RODITI, I. Dicionário Houaiss de física. Rio de Janeiro: Objetiva, 2005 (adaptado).
","Por que as centrífugas são amplamente utilizadas em laboratórios, clínicas e indústrias?",Analisar,Avançado,"[{'A': 'Para aquecer amostras de forma rápida'}, {'B': 'Para separar misturas homogêneas'}, {'C': 'Para acelerar reações químicas'}, {'D': 'Para realizar análises espectroscópicas'}, {'E': 'Para separar componentes com densidades diferentes'}]",['E'],E,Para separar componentes com densidades diferentes,"{'question': 'Por que as centrífugas são amplamente utilizadas em laboratórios, clínicas e indústrias?', 'bloom_level': 'Analisar', 'difficult_level': 'Avançado', 'options': [{'A': 'Para aquecer amostras de forma rápida'}, {'B': 'Para separar misturas homogêneas'}, {'C': 'Para acelerar reações químicas'}, {'D': 'Para realizar análises espectroscópicas'}, {'E': 'Para separar componentes com densidades diferentes'}], 'correct_answer': ['E'], 'correct_answer_letter': 'E', 'correct_answer_text': 'Para separar componentes com densidades diferentes'}",,,,,,,,,
3,100,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Partículas  microscópicas  existentes  na  atmosfera 
funcionam  como  núcleos  de  condensação  de  vapor  de 
água  que,  sob  condições  adequadas  de  temperatura 
e  pressão,  propiciam  a 
formação  das  nuvens  e 
consequentemente  das  chuvas.  No  ar  atmosférico,  tais 
partículas  são  formadas  pela  reação  de  ácidos  (<math xmlns=""http://www.w3.org/1998/Math/MathML""><mtext>H</mtext><mi>X</mi></math>)
com  a  base  <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>NH</mtext><mn>3</mn></msub></math>,  de  forma  natural  ou  antropogênica, 
dando origem a sais de amônio (<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>NH</mtext><mn>4</mn></msub><mi>X</mi></math>), de acordo com a 
equação química genérica:

<math xmlns=""http://www.w3.org/1998/Math/MathML""><mtext>H</mtext><mi>X</mi><mfenced><mtext>g</mtext></mfenced><mo>+</mo><msub><mtext>NH</mtext><mn>3</mn></msub><mo>&#x2192;</mo><msub><mtext>NH</mtext><mn>4</mn></msub><mi>X</mi></math>

FELIX, E. P.; CARDOSO, A. A. Fatores ambientais que afetam a precipitação úmida. 
Química Nova na Escola, n. 21, maio 2005 (adaptado).
",Qual é o papel das partículas microscópicas na atmosfera em relação à formação de nuvens e chuvas?,Compreender,Iniciante,"[{'A': 'Atuam como núcleos de condensação de vapor de água', 'B': 'Causam poluição do ar', 'C': 'Bloqueiam a formação de nuvens', 'D': 'Aumentam a temperatura atmosférica', 'E': 'Neutralizam a acidez da chuva'}]",['A'],A,Atuam como núcleos de condensação de vapor de água,"{'question': 'Qual é o papel das partículas microscópicas na atmosfera em relação à formação de nuvens e chuvas?', 'bloom_level': 'Compreender', 'difficult_level': 'Iniciante', 'options': [{'A': 'Atuam como núcleos de condensação de vapor de água', 'B': 'Causam poluição do ar', 'C': 'Bloqueiam a formação de nuvens', 'D': 'Aumentam a temperatura atmosférica', 'E': 'Neutralizam a acidez da chuva'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Atuam como núcleos de condensação de vapor de água'}",,,,,,,,,
