index,id,area,year,context,question,bloom_level,difficult_level,options,correct_answer,correct_answer_letter,correct_answer_text,response_json,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer
0,1,Administração,2022,"TEXTO 1
A democracia representativa exige, para o seu funcionamento, um conjunto de características, as quais podem ser compreendidas como instituições. São elas: Funcionários eleitos; Eleições livres, justas e frequentes; Sufrágio inclusivo; Direito de concorrer a cargos eletivos; Liberdade de expressão; Fontes de informação diversificadas; Autonomia para as associações. Entre as categorias mencionadas, destacam-se duas como pilares do regime democrático.
Liberdade de expressão: os cidadãos têm o direito de se expressar, sem o perigo de punições severas, quanto aos assuntos políticos de uma forma geral, o que inclui a liberdade de criticar os funcionários do governo, o governo em si, o regime, a ordem socioeconômica e a ideologia dominante.
Fontes de informação diversificadas: os cidadãos têm o direito de buscar fontes de informação, alternativas, diversificadas e independentes. Ademais, a existência de fontes de informação alternativa deve ser protegida por lei.
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
TEXTO 2
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
Embora os regimes políticos possam ser derrubados e as ideologias criticadas e destituídas de sua legitimidade, por trás de um regime e de sua ideologia há sempre um modo de pensar e de sentir, uma série de hábitos culturais, uma nebulosa de instintos obscuros e de pulsões insondáveis.
Fonte do Texto: ECO, U. O Fascismo Eterno. In: Cinco escritos Morais. Editora Record: Rio de Janeiro, 2002 (adaptado).
TEXTO 3
A figura a seguir exemplifica algumas condutas que, segundo Umberto Eco, podem ser consideradas contraditórias aos princípios democráticos.
Descrição da Figura:
São apresentados 7 quadros com frases e ilustrações distintas.
Frase: “Culto às tradições e às raízes”. Ilustração: desenho de uma águia de cabeça branca utilizando um boné semelhante ao de beisebol. 
Frase: “Constante estado de ameaça”. Ilustração: tanque de guerra. 
Frase: “Exaltação da vontade popular”. Ilustração: adereço de mão com o dedo indicador levantado e a escrita “#1 - o melhor”. 
Frase: “Oposição à análise crítica”. Ilustração: microfones emitindo a frase “Fake News!”. 
Frase: “obsessão por conspirações e culpados externos”. Ilustração: desenho de imigrantes como alvo. 
Frase: “Proclamação de um líder (a voz do povo)”. Ilustração: uma pessoa sobre um monte falando às multidões. 
Frase: “Linguagem limitada e repetitiva”. Ilustração: uma boca falando “eu tenho as melhores palavras”.",Quais são os dois pilares do regime democrático destacados no texto 1?,Remember,Beginner,"{'A': 'Funcionários eleitos e Eleições livres', 'B': 'Sufrágio inclusivo e Direito de concorrer a cargos eletivos', 'C': 'Liberdade de expressão e Fontes de informação diversificadas', 'D': 'Autonomia para as associações e Funcionários eleitos', 'E': 'Eleições livres e Autonomia para as associações'}",['C'],C,Liberdade de expressão e Fontes de informação diversificadas,"{'question': 'Quais são os dois pilares do regime democrático destacados no texto 1?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': {'A': 'Funcionários eleitos e Eleições livres', 'B': 'Sufrágio inclusivo e Direito de concorrer a cargos eletivos', 'C': 'Liberdade de expressão e Fontes de informação diversificadas', 'D': 'Autonomia para as associações e Funcionários eleitos', 'E': 'Eleições livres e Autonomia para as associações'}, 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Liberdade de expressão e Fontes de informação diversificadas'}",,,,,,,,,
0,1,Administração,2022,"TEXTO 1
A democracia representativa exige, para o seu funcionamento, um conjunto de características, as quais podem ser compreendidas como instituições. São elas: Funcionários eleitos; Eleições livres, justas e frequentes; Sufrágio inclusivo; Direito de concorrer a cargos eletivos; Liberdade de expressão; Fontes de informação diversificadas; Autonomia para as associações. Entre as categorias mencionadas, destacam-se duas como pilares do regime democrático.
Liberdade de expressão: os cidadãos têm o direito de se expressar, sem o perigo de punições severas, quanto aos assuntos políticos de uma forma geral, o que inclui a liberdade de criticar os funcionários do governo, o governo em si, o regime, a ordem socioeconômica e a ideologia dominante.
Fontes de informação diversificadas: os cidadãos têm o direito de buscar fontes de informação, alternativas, diversificadas e independentes. Ademais, a existência de fontes de informação alternativa deve ser protegida por lei.
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
TEXTO 2
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
Embora os regimes políticos possam ser derrubados e as ideologias criticadas e destituídas de sua legitimidade, por trás de um regime e de sua ideologia há sempre um modo de pensar e de sentir, uma série de hábitos culturais, uma nebulosa de instintos obscuros e de pulsões insondáveis.
Fonte do Texto: ECO, U. O Fascismo Eterno. In: Cinco escritos Morais. Editora Record: Rio de Janeiro, 2002 (adaptado).
TEXTO 3
A figura a seguir exemplifica algumas condutas que, segundo Umberto Eco, podem ser consideradas contraditórias aos princípios democráticos.
Descrição da Figura:
São apresentados 7 quadros com frases e ilustrações distintas.
Frase: “Culto às tradições e às raízes”. Ilustração: desenho de uma águia de cabeça branca utilizando um boné semelhante ao de beisebol. 
Frase: “Constante estado de ameaça”. Ilustração: tanque de guerra. 
Frase: “Exaltação da vontade popular”. Ilustração: adereço de mão com o dedo indicador levantado e a escrita “#1 - o melhor”. 
Frase: “Oposição à análise crítica”. Ilustração: microfones emitindo a frase “Fake News!”. 
Frase: “obsessão por conspirações e culpados externos”. Ilustração: desenho de imigrantes como alvo. 
Frase: “Proclamação de um líder (a voz do povo)”. Ilustração: uma pessoa sobre um monte falando às multidões. 
Frase: “Linguagem limitada e repetitiva”. Ilustração: uma boca falando “eu tenho as melhores palavras”.",O que significa a 'Liberdade de expressão' no contexto da democracia representativa?,Understand,Intermediate,"{'A': 'Direito de votar em qualquer candidato', 'B': 'Direito de se expressar politicamente sem o perigo de punições severas', 'C': 'Direito de concorrer a cargos eletivos', 'D': 'Direito de ter acesso a fontes de informação diversificadas', 'E': 'Direito de formar associações autônomas'}",['B'],B,Direito de se expressar politicamente sem o perigo de punições severas,"{'question': ""O que significa a 'Liberdade de expressão' no contexto da democracia representativa?"", 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': {'A': 'Direito de votar em qualquer candidato', 'B': 'Direito de se expressar politicamente sem o perigo de punições severas', 'C': 'Direito de concorrer a cargos eletivos', 'D': 'Direito de ter acesso a fontes de informação diversificadas', 'E': 'Direito de formar associações autônomas'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Direito de se expressar politicamente sem o perigo de punições severas'}",,,,,,,,,
0,1,Administração,2022,"TEXTO 1
A democracia representativa exige, para o seu funcionamento, um conjunto de características, as quais podem ser compreendidas como instituições. São elas: Funcionários eleitos; Eleições livres, justas e frequentes; Sufrágio inclusivo; Direito de concorrer a cargos eletivos; Liberdade de expressão; Fontes de informação diversificadas; Autonomia para as associações. Entre as categorias mencionadas, destacam-se duas como pilares do regime democrático.
Liberdade de expressão: os cidadãos têm o direito de se expressar, sem o perigo de punições severas, quanto aos assuntos políticos de uma forma geral, o que inclui a liberdade de criticar os funcionários do governo, o governo em si, o regime, a ordem socioeconômica e a ideologia dominante.
Fontes de informação diversificadas: os cidadãos têm o direito de buscar fontes de informação, alternativas, diversificadas e independentes. Ademais, a existência de fontes de informação alternativa deve ser protegida por lei.
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
TEXTO 2
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
Embora os regimes políticos possam ser derrubados e as ideologias criticadas e destituídas de sua legitimidade, por trás de um regime e de sua ideologia há sempre um modo de pensar e de sentir, uma série de hábitos culturais, uma nebulosa de instintos obscuros e de pulsões insondáveis.
Fonte do Texto: ECO, U. O Fascismo Eterno. In: Cinco escritos Morais. Editora Record: Rio de Janeiro, 2002 (adaptado).
TEXTO 3
A figura a seguir exemplifica algumas condutas que, segundo Umberto Eco, podem ser consideradas contraditórias aos princípios democráticos.
Descrição da Figura:
São apresentados 7 quadros com frases e ilustrações distintas.
Frase: “Culto às tradições e às raízes”. Ilustração: desenho de uma águia de cabeça branca utilizando um boné semelhante ao de beisebol. 
Frase: “Constante estado de ameaça”. Ilustração: tanque de guerra. 
Frase: “Exaltação da vontade popular”. Ilustração: adereço de mão com o dedo indicador levantado e a escrita “#1 - o melhor”. 
Frase: “Oposição à análise crítica”. Ilustração: microfones emitindo a frase “Fake News!”. 
Frase: “obsessão por conspirações e culpados externos”. Ilustração: desenho de imigrantes como alvo. 
Frase: “Proclamação de um líder (a voz do povo)”. Ilustração: uma pessoa sobre um monte falando às multidões. 
Frase: “Linguagem limitada e repetitiva”. Ilustração: uma boca falando “eu tenho as melhores palavras”.",Como as condutas apresentadas na figura do texto 3 se relacionam com os princípios democráticos?,Analyze,Advanced,"{'A': 'Elas reforçam os princípios democráticos', 'B': 'Elas são indiferentes aos princípios democráticos', 'C': 'Elas são contraditórias aos princípios democráticos', 'D': 'Elas são complementares aos princípios democráticos', 'E': 'Elas são uma extensão dos princípios democráticos'}",['C'],C,Elas são contraditórias aos princípios democráticos,"{'question': 'Como as condutas apresentadas na figura do texto 3 se relacionam com os princípios democráticos?', 'bloom_level': 'Analyze', 'difficult_level': 'Advanced', 'options': {'A': 'Elas reforçam os princípios democráticos', 'B': 'Elas são indiferentes aos princípios democráticos', 'C': 'Elas são contraditórias aos princípios democráticos', 'D': 'Elas são complementares aos princípios democráticos', 'E': 'Elas são uma extensão dos princípios democráticos'}, 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Elas são contraditórias aos princípios democráticos'}",,,,,,,,,
1,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","Qual país registrou o maior número de mortes de pessoas transgêneros entre 2008 e 2021, segundo o levantamento do TransgenderEurope (TGEU)?",Remember,Beginner,"{'A': 'México', 'B': 'EUA', 'C': 'Brasil', 'D': 'Argentina', 'E': 'Índia'}",['C'],C,Brasil,"{'question': 'Qual país registrou o maior número de mortes de pessoas transgêneros entre 2008 e 2021, segundo o levantamento do TransgenderEurope (TGEU)?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': {'A': 'México', 'B': 'EUA', 'C': 'Brasil', 'D': 'Argentina', 'E': 'Índia'}, 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Brasil'}",,,,,,,,,
1,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","Com base nos dados do Sistema de Informação de Agravos de Notificação (Sinan), qual foi a variação percentual de violência contra bissexuais de 2018 para 2019?",Understand,Intermediate,"{'A': 'Aumento de 5%', 'B': 'Aumento de 37,1%', 'C': 'Redução de 5%', 'D': 'Redução de 37,1%', 'E': 'Manteve-se estável'}",['B'],B,"Aumento de 37,1%","{'question': 'Com base nos dados do Sistema de Informação de Agravos de Notificação (Sinan), qual foi a variação percentual de violência contra bissexuais de 2018 para 2019?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': {'A': 'Aumento de 5%', 'B': 'Aumento de 37,1%', 'C': 'Redução de 5%', 'D': 'Redução de 37,1%', 'E': 'Manteve-se estável'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Aumento de 37,1%'}",,,,,,,,,
1,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","De acordo com o gráfico 'Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019)', qual faixa etária de bissexuais apresentou maior percentual de vítimas de violência?",Analyze,Advanced,"{'A': '10 a 14 anos', 'B': '15 a 19 anos', 'C': '35 a 39 anos', 'D': '40 a 44 anos', 'E': '60 a 64 anos'}",['B'],B,15 a 19 anos,"{'question': ""De acordo com o gráfico 'Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019)', qual faixa etária de bissexuais apresentou maior percentual de vítimas de violência?"", 'bloom_level': 'Analyze', 'difficult_level': 'Advanced', 'options': {'A': '10 a 14 anos', 'B': '15 a 19 anos', 'C': '35 a 39 anos', 'D': '40 a 44 anos', 'E': '60 a 64 anos'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': '15 a 19 anos'}",,,,,,,,,
2,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).",Qual país apresenta o maior número de mortes de pessoas transgêneros de acordo com o levantamento do TransgenderEurope (TGEU)?,Remember,Beginner,"{'A': 'México', 'B': 'Brasil', 'C': 'EUA', 'D': 'Argentina', 'E': 'Índia'}",['B'],B,Brasil,"{'question': 'Qual país apresenta o maior número de mortes de pessoas transgêneros de acordo com o levantamento do TransgenderEurope (TGEU)?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': {'A': 'México', 'B': 'Brasil', 'C': 'EUA', 'D': 'Argentina', 'E': 'Índia'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Brasil'}",,,,,,,,,
2,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","Qual foi o aumento percentual de violência contra bissexuais no Brasil de 2018 para 2019, segundo o Sistema de Informação de Agravos de Notificação (Sinan)?",Understand,Intermediate,"{'A': '5%', 'B': '10%', 'C': '37,1%', 'D': '27%', 'E': '15%'}",['C'],C,"37,1%","{'question': 'Qual foi o aumento percentual de violência contra bissexuais no Brasil de 2018 para 2019, segundo o Sistema de Informação de Agravos de Notificação (Sinan)?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': {'A': '5%', 'B': '10%', 'C': '37,1%', 'D': '27%', 'E': '15%'}, 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': '37,1%'}",,,,,,,,,
2,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","Com base nos dados apresentados, qual faixa etária de bissexuais foi mais vítima de violência no Brasil em 2019?",Analyze,Advanced,"{'A': '10 a 14 anos', 'B': '15 a 19 anos', 'C': '35 a 39 anos', 'D': '40 a 44 anos', 'E': '60 a 64 anos'}",['B'],B,15 a 19 anos,"{'question': 'Com base nos dados apresentados, qual faixa etária de bissexuais foi mais vítima de violência no Brasil em 2019?', 'bloom_level': 'Analyze', 'difficult_level': 'Advanced', 'options': {'A': '10 a 14 anos', 'B': '15 a 19 anos', 'C': '35 a 39 anos', 'D': '40 a 44 anos', 'E': '60 a 64 anos'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': '15 a 19 anos'}",,,,,,,,,
3,2,Administração,2022,"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).","Qual país registrou o maior número de mortes de pessoas transgêneros entre 2008 e 2021, segundo o levantamento do TransgenderEurope (TGEU)?",Remember,Beginner,"{'A': 'México', 'B': 'EUA', 'C': 'Brasil', 'D': 'Argentina', 'E': 'Índia'}",['C'],C,Brasil,"{'question': 'Qual país registrou o maior número de mortes de pessoas transgêneros entre 2008 e 2021, segundo o levantamento do TransgenderEurope (TGEU)?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': {'A': 'México', 'B': 'EUA', 'C': 'Brasil', 'D': 'Argentina', 'E': 'Índia'}, 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Brasil'}",,,,,,,,,
