index,id,area,year,context,question,bloom_level,difficult_level,options,correct_answer,correct_answer_letter,correct_answer_text,response_json,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
",Qual é a principal razão para a mudança de cor da chama de azul para amarelo quando a água do cozimento do arroz é derramada sobre ela?,Understand,Beginner,"{'A': 'A água do cozimento do arroz contém sal de cozinha (NaCl).', 'B': 'A água do cozimento do arroz contém carboidratos.', 'C': 'A água do cozimento do arroz contém proteínas.', 'D': 'A água do cozimento do arroz contém sais minerais.', 'E': 'A água do cozimento do arroz contém todos os itens acima.'}",['A'],A,A água do cozimento do arroz contém sal de cozinha (NaCl).,"{'question': 'Qual é a principal razão para a mudança de cor da chama de azul para amarelo quando a água do cozimento do arroz é derramada sobre ela?', 'bloom_level': 'Understand', 'difficult_level': 'Beginner', 'options': {'A': 'A água do cozimento do arroz contém sal de cozinha (NaCl).', 'B': 'A água do cozimento do arroz contém carboidratos.', 'C': 'A água do cozimento do arroz contém proteínas.', 'D': 'A água do cozimento do arroz contém sais minerais.', 'E': 'A água do cozimento do arroz contém todos os itens acima.'}, 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'A água do cozimento do arroz contém sal de cozinha (NaCl).'}",,,,,,,,,
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
",O que acontece quando o sal de cozinha (NaCl) entra em contato com a chama azul do fogo?,Apply,Intermediate,"{'A': 'O sal de cozinha (NaCl) evapora.', 'B': 'O sal de cozinha (NaCl) muda a cor da chama para amarelo.', 'C': 'O sal de cozinha (NaCl) muda a cor da chama para vermelho.', 'D': 'O sal de cozinha (NaCl) muda a cor da chama para verde.', 'E': 'O sal de cozinha (NaCl) não tem efeito sobre a cor da chama.'}",['B'],B,O sal de cozinha (NaCl) muda a cor da chama para amarelo.,"{'question': 'O que acontece quando o sal de cozinha (NaCl) entra em contato com a chama azul do fogo?', 'bloom_level': 'Apply', 'difficult_level': 'Intermediate', 'options': {'A': 'O sal de cozinha (NaCl) evapora.', 'B': 'O sal de cozinha (NaCl) muda a cor da chama para amarelo.', 'C': 'O sal de cozinha (NaCl) muda a cor da chama para vermelho.', 'D': 'O sal de cozinha (NaCl) muda a cor da chama para verde.', 'E': 'O sal de cozinha (NaCl) não tem efeito sobre a cor da chama.'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'O sal de cozinha (NaCl) muda a cor da chama para amarelo.'}",,,,,,,,,
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
","Por que a presença de carboidratos, proteínas e sais minerais na água do cozimento do arroz não muda a cor da chama?",Analyze,Advanced,"{'A': 'Porque essas substâncias não reagem com o fogo.', 'B': 'Porque essas substâncias são incolores.', 'C': 'Porque essas substâncias são insolúveis em água.', 'D': 'Porque essas substâncias não produzem cor quando queimadas.', 'E': 'Porque essas substâncias evaporam antes de entrar em contato com a chama.'}",['D'],D,Porque essas substâncias não produzem cor quando queimadas.,"{'question': 'Por que a presença de carboidratos, proteínas e sais minerais na água do cozimento do arroz não muda a cor da chama?', 'bloom_level': 'Analyze', 'difficult_level': 'Advanced', 'options': {'A': 'Porque essas substâncias não reagem com o fogo.', 'B': 'Porque essas substâncias são incolores.', 'C': 'Porque essas substâncias são insolúveis em água.', 'D': 'Porque essas substâncias não produzem cor quando queimadas.', 'E': 'Porque essas substâncias evaporam antes de entrar em contato com a chama.'}, 'correct_answer': ['D'], 'correct_answer_letter': 'D', 'correct_answer_text': 'Porque essas substâncias não produzem cor quando queimadas.'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
","O que é uma plaqueta artificial, conforme descrito no texto?",Remember,Beginner,"{'A': 'Um tipo de anticorpo', 'B': 'Um tipo de polímero gelatinoso', 'C': 'Um tipo de rede que gruda nas lesões', 'D': 'Um tipo de polímero gelatinoso coberto de anticorpos', 'E': 'Um tipo de sangue artificial'}",['D'],D,Um tipo de polímero gelatinoso coberto de anticorpos,"{'question': 'O que é uma plaqueta artificial, conforme descrito no texto?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': {'A': 'Um tipo de anticorpo', 'B': 'Um tipo de polímero gelatinoso', 'C': 'Um tipo de rede que gruda nas lesões', 'D': 'Um tipo de polímero gelatinoso coberto de anticorpos', 'E': 'Um tipo de sangue artificial'}, 'correct_answer': ['D'], 'correct_answer_letter': 'D', 'correct_answer_text': 'Um tipo de polímero gelatinoso coberto de anticorpos'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
",Qual é a função das plaquetas artificiais descritas no texto?,Understand,Intermediate,"{'A': 'Acelerar o processo de coagulação', 'B': 'Aumentar a quantidade de sangue no corpo', 'C': 'Fortalecer o sistema imunológico', 'D': 'Aumentar a quantidade de anticorpos no corpo', 'E': 'Ajudar na digestão'}",['A'],A,Acelerar o processo de coagulação,"{'question': 'Qual é a função das plaquetas artificiais descritas no texto?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': {'A': 'Acelerar o processo de coagulação', 'B': 'Aumentar a quantidade de sangue no corpo', 'C': 'Fortalecer o sistema imunológico', 'D': 'Aumentar a quantidade de anticorpos no corpo', 'E': 'Ajudar na digestão'}, 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Acelerar o processo de coagulação'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
","Como as plaquetas artificiais agem no corpo em caso de sangramento, conforme descrito no texto?",Apply,Intermediate,"{'A': 'Elas se dissolvem no sangue', 'B': 'Elas se transformam em uma espécie de rede que gruda nas lesões', 'C': 'Elas aumentam a quantidade de sangue no corpo', 'D': 'Elas fortalecem o sistema imunológico', 'E': 'Elas se transformam em novos vasos sanguíneos'}",['B'],B,Elas se transformam em uma espécie de rede que gruda nas lesões,"{'question': 'Como as plaquetas artificiais agem no corpo em caso de sangramento, conforme descrito no texto?', 'bloom_level': 'Apply', 'difficult_level': 'Intermediate', 'options': {'A': 'Elas se dissolvem no sangue', 'B': 'Elas se transformam em uma espécie de rede que gruda nas lesões', 'C': 'Elas aumentam a quantidade de sangue no corpo', 'D': 'Elas fortalecem o sistema imunológico', 'E': 'Elas se transformam em novos vasos sanguíneos'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Elas se transformam em uma espécie de rede que gruda nas lesões'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
",Qual é a relação entre os anticorpos e as plaquetas artificiais descritas no texto?,Analyze,Advanced,"{'A': 'Os anticorpos são produzidos pelas plaquetas artificiais', 'B': 'Os anticorpos fazem com que as plaquetas artificiais mudem sua forma', 'C': 'Os anticorpos são usados para criar as plaquetas artificiais', 'D': 'Os anticorpos são eliminados pelas plaquetas artificiais', 'E': 'Os anticorpos e as plaquetas artificiais não têm relação'}",['B'],B,Os anticorpos fazem com que as plaquetas artificiais mudem sua forma,"{'question': 'Qual é a relação entre os anticorpos e as plaquetas artificiais descritas no texto?', 'bloom_level': 'Analyze', 'difficult_level': 'Advanced', 'options': {'A': 'Os anticorpos são produzidos pelas plaquetas artificiais', 'B': 'Os anticorpos fazem com que as plaquetas artificiais mudem sua forma', 'C': 'Os anticorpos são usados para criar as plaquetas artificiais', 'D': 'Os anticorpos são eliminados pelas plaquetas artificiais', 'E': 'Os anticorpos e as plaquetas artificiais não têm relação'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Os anticorpos fazem com que as plaquetas artificiais mudem sua forma'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
","Com base no texto, avalie a seguinte afirmação: 'As plaquetas artificiais são feitas de um polímero gelatinoso coberto de anticorpos e podem acelerar o processo de coagulação quando injetadas no corpo.'",Evaluate,Advanced,"{'A': 'A afirmação é verdadeira', 'B': 'A afirmação é falsa', 'C': 'A afirmação é parcialmente verdadeira', 'D': 'A afirmação é contraditória', 'E': 'A afirmação é irrelevante'}",['A'],A,A afirmação é verdadeira,"{'question': ""Com base no texto, avalie a seguinte afirmação: 'As plaquetas artificiais são feitas de um polímero gelatinoso coberto de anticorpos e podem acelerar o processo de coagulação quando injetadas no corpo.'"", 'bloom_level': 'Evaluate', 'difficult_level': 'Advanced', 'options': {'A': 'A afirmação é verdadeira', 'B': 'A afirmação é falsa', 'C': 'A afirmação é parcialmente verdadeira', 'D': 'A afirmação é contraditória', 'E': 'A afirmação é irrelevante'}, 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'A afirmação é verdadeira'}",,,,,,,,,
2,97,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"As  centrífugas  são  equipamentos  utilizados  em 
laboratórios, clínicas e indústrias. Seu funcionamento faz 
uso da aceleração centrífuga obtida pela rotação de um 
recipiente e que serve para a separação de sólidos em 
suspensão em líquidos ou de líquidos misturados entre si.
RODITI, I. Dicionário Houaiss de física. Rio de Janeiro: Objetiva, 2005 (adaptado).
",O que é uma centrífuga?,Remember,Beginner,"{'A': 'Um instrumento musical', 'B': 'Um equipamento de laboratório usado para separar substâncias', 'C': 'Um tipo de veículo', 'D': 'Um tipo de planta', 'E': 'Um tipo de animal'}",['B'],B,Um equipamento de laboratório usado para separar substâncias,"{'question': 'O que é uma centrífuga?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': {'A': 'Um instrumento musical', 'B': 'Um equipamento de laboratório usado para separar substâncias', 'C': 'Um tipo de veículo', 'D': 'Um tipo de planta', 'E': 'Um tipo de animal'}, 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Um equipamento de laboratório usado para separar substâncias'}",,,,,,,,,
2,97,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"As  centrífugas  são  equipamentos  utilizados  em 
laboratórios, clínicas e indústrias. Seu funcionamento faz 
uso da aceleração centrífuga obtida pela rotação de um 
recipiente e que serve para a separação de sólidos em 
suspensão em líquidos ou de líquidos misturados entre si.
RODITI, I. Dicionário Houaiss de física. Rio de Janeiro: Objetiva, 2005 (adaptado).
",Como funciona uma centrífuga?,Understand,Intermediate,"{'A': 'Através da força gravitacional', 'B': 'Através da força magnética', 'C': 'Através da aceleração centrífuga', 'D': 'Através da força elétrica', 'E': 'Através da força nuclear'}",['C'],C,Através da aceleração centrífuga,"{'question': 'Como funciona uma centrífuga?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': {'A': 'Através da força gravitacional', 'B': 'Através da força magnética', 'C': 'Através da aceleração centrífuga', 'D': 'Através da força elétrica', 'E': 'Através da força nuclear'}, 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Através da aceleração centrífuga'}",,,,,,,,,
2,97,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"As  centrífugas  são  equipamentos  utilizados  em 
laboratórios, clínicas e indústrias. Seu funcionamento faz 
uso da aceleração centrífuga obtida pela rotação de um 
recipiente e que serve para a separação de sólidos em 
suspensão em líquidos ou de líquidos misturados entre si.
RODITI, I. Dicionário Houaiss de física. Rio de Janeiro: Objetiva, 2005 (adaptado).
",Por que a centrífuga é usada para separar sólidos em suspensão em líquidos ou líquidos misturados entre si?,Apply,Intermediate,"{'A': 'Porque ela aquece as substâncias', 'B': 'Porque ela resfria as substâncias', 'C': 'Porque ela agita as substâncias', 'D': 'Porque ela gera uma força centrífuga que separa as substâncias', 'E': 'Porque ela gera uma força magnética que separa as substâncias'}",['D'],D,Porque ela gera uma força centrífuga que separa as substâncias,"{'question': 'Por que a centrífuga é usada para separar sólidos em suspensão em líquidos ou líquidos misturados entre si?', 'bloom_level': 'Apply', 'difficult_level': 'Intermediate', 'options': {'A': 'Porque ela aquece as substâncias', 'B': 'Porque ela resfria as substâncias', 'C': 'Porque ela agita as substâncias', 'D': 'Porque ela gera uma força centrífuga que separa as substâncias', 'E': 'Porque ela gera uma força magnética que separa as substâncias'}, 'correct_answer': ['D'], 'correct_answer_letter': 'D', 'correct_answer_text': 'Porque ela gera uma força centrífuga que separa as substâncias'}",,,,,,,,,
