index,id,area,year,context,question,bloom_level,difficult_level,options,correct_answer,correct_answer_letter,correct_answer_text,response_json,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer
9,4,Administração,2022,"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.",Qual é o objetivo do Projeto de Lei n. 490/2007?,Remember,Beginner,"[{'A': 'Transformar a tese do Marco Temporal em lei', 'B': 'Proteger os territórios indígenas', 'C': 'Promover a demarcação de territórios indígenas', 'D': 'Garantir direitos à terra para todos os povos', 'E': 'Criar um novo código de direito indígena'}]",['A'],A,Transformar a tese do Marco Temporal em lei,"{'question': 'Qual é o objetivo do Projeto de Lei n. 490/2007?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'Transformar a tese do Marco Temporal em lei', 'B': 'Proteger os territórios indígenas', 'C': 'Promover a demarcação de territórios indígenas', 'D': 'Garantir direitos à terra para todos os povos', 'E': 'Criar um novo código de direito indígena'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Transformar a tese do Marco Temporal em lei'}",,,,,,,,,
9,4,Administração,2022,"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.",Qual é o critério estabelecido pelo Projeto de Lei n. 490/2007 para ter direito às terras consideradas ancestrais?,Understand,Intermediate,"[{'A': 'Ocupação das terras no dia da promulgação da Constituição Federal', 'B': 'Ocupação das terras após a promulgação da Constituição Federal', 'C': 'Ocupação das terras no momento da morte do indígena Bruno Pereira', 'D': 'Ocupação das terras antes da promulgação da Constituição Federal', 'E': 'Ocupação das terras em qualquer momento'}]",['A'],A,Ocupação das terras no dia da promulgação da Constituição Federal,"{'question': 'Qual é o critério estabelecido pelo Projeto de Lei n. 490/2007 para ter direito às terras consideradas ancestrais?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': [{'A': 'Ocupação das terras no dia da promulgação da Constituição Federal', 'B': 'Ocupação das terras após a promulgação da Constituição Federal', 'C': 'Ocupação das terras no momento da morte do indígena Bruno Pereira', 'D': 'Ocupação das terras antes da promulgação da Constituição Federal', 'E': 'Ocupação das terras em qualquer momento'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Ocupação das terras no dia da promulgação da Constituição Federal'}",,,,,,,,,
9,4,Administração,2022,"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.",Qual é o impacto que a demarcação dos territórios indígenas pode ter sobre a preservação ambiental?,Apply,Advanced,"[{'A': 'Pode contribuir para a perda de biodiversidade', 'B': 'Pode promover a proteção de áreas protegidas', 'C': 'Pode aumentar as emissões de gases de efeito estufa', 'D': 'Pode diminuir a presença de espécies ameaçadas', 'E': 'Pode não ter impacto sobre a preservação ambiental'}]",['B'],B,Pode promover a proteção de áreas protegidas,"{'question': 'Qual é o impacto que a demarcação dos territórios indígenas pode ter sobre a preservação ambiental?', 'bloom_level': 'Apply', 'difficult_level': 'Advanced', 'options': [{'A': 'Pode contribuir para a perda de biodiversidade', 'B': 'Pode promover a proteção de áreas protegidas', 'C': 'Pode aumentar as emissões de gases de efeito estufa', 'D': 'Pode diminuir a presença de espécies ameaçadas', 'E': 'Pode não ter impacto sobre a preservação ambiental'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Pode promover a proteção de áreas protegidas'}",,,,,,,,,
9,4,Administração,2022,"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.",Qual é o resultado que a manutenção do critério do Marco Temporal pode ter sobre a demarcação dos territórios indígenas?,Evaluate,Advanced,"[{'A': 'Pode aumentar a demarcação de territórios indígenas', 'B': 'Pode diminuir a demarcação de territórios indígenas', 'C': 'Pode não ter impacto sobre a demarcação de territórios indígenas', 'D': 'Pode levar à perda de territórios indígenas', 'E': 'Pode levar à criação de novos territórios indígenas'}]",['D'],D,Pode levar à perda de territórios indígenas,"{'question': 'Qual é o resultado que a manutenção do critério do Marco Temporal pode ter sobre a demarcação dos territórios indígenas?', 'bloom_level': 'Evaluate', 'difficult_level': 'Advanced', 'options': [{'A': 'Pode aumentar a demarcação de territórios indígenas', 'B': 'Pode diminuir a demarcação de territórios indígenas', 'C': 'Pode não ter impacto sobre a demarcação de territórios indígenas', 'D': 'Pode levar à perda de territórios indígenas', 'E': 'Pode levar à criação de novos territórios indígenas'}], 'correct_answer': ['D'], 'correct_answer_letter': 'D', 'correct_answer_text': 'Pode levar à perda de territórios indígenas'}",,,,,,,,,
10,4,Administração,2022,"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.",Qual é o objetivo do Projeto de Lei n. 490/2007?,Remember,Beginner,"[{'A': 'Transformar a tese do Marco Temporal em lei', 'B': 'Proteger os territórios indígenas', 'C': 'Promover a demarcação de territórios indígenas', 'D': 'Garantir direitos à terra para todos os povos', 'E': 'Criar um novo código de direito indígena'}]",['A'],A,Transformar a tese do Marco Temporal em lei,"{'question': 'Qual é o objetivo do Projeto de Lei n. 490/2007?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'Transformar a tese do Marco Temporal em lei', 'B': 'Proteger os territórios indígenas', 'C': 'Promover a demarcação de territórios indígenas', 'D': 'Garantir direitos à terra para todos os povos', 'E': 'Criar um novo código de direito indígena'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Transformar a tese do Marco Temporal em lei'}",,,,,,,,,
10,4,Administração,2022,"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.",Qual é o critério estabelecido pelo Projeto de Lei n. 490/2007 para ter direito às terras consideradas ancestrais?,Understand,Intermediate,"[{'A': 'Ocupação das terras no dia da promulgação da Constituição Federal', 'B': 'Ocupação das terras após a promulgação da Constituição Federal', 'C': 'Ocupação das terras no momento da morte do indígena Bruno Pereira', 'D': 'Ocupação das terras antes da promulgação da Constituição Federal', 'E': 'Ocupação das terras em qualquer momento'}]",['A'],A,Ocupação das terras no dia da promulgação da Constituição Federal,"{'question': 'Qual é o critério estabelecido pelo Projeto de Lei n. 490/2007 para ter direito às terras consideradas ancestrais?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': [{'A': 'Ocupação das terras no dia da promulgação da Constituição Federal', 'B': 'Ocupação das terras após a promulgação da Constituição Federal', 'C': 'Ocupação das terras no momento da morte do indígena Bruno Pereira', 'D': 'Ocupação das terras antes da promulgação da Constituição Federal', 'E': 'Ocupação das terras em qualquer momento'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Ocupação das terras no dia da promulgação da Constituição Federal'}",,,,,,,,,
10,4,Administração,2022,"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.",Qual é o impacto que a demarcação dos territórios indígenas pode ter sobre a preservação ambiental?,Apply,Advanced,"[{'A': 'Pode contribuir para a perda de biodiversidade', 'B': 'Pode promover a proteção de áreas protegidas', 'C': 'Pode aumentar as emissões de gases de efeito estufa', 'D': 'Pode diminuir a presença de espécies ameaçadas', 'E': 'Pode não ter impacto sobre a preservação ambiental'}]",['B'],B,Pode promover a proteção de áreas protegidas,"{'question': 'Qual é o impacto que a demarcação dos territórios indígenas pode ter sobre a preservação ambiental?', 'bloom_level': 'Apply', 'difficult_level': 'Advanced', 'options': [{'A': 'Pode contribuir para a perda de biodiversidade', 'B': 'Pode promover a proteção de áreas protegidas', 'C': 'Pode aumentar as emissões de gases de efeito estufa', 'D': 'Pode diminuir a presença de espécies ameaçadas', 'E': 'Pode não ter impacto sobre a preservação ambiental'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Pode promover a proteção de áreas protegidas'}",,,,,,,,,
10,4,Administração,2022,"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.",Qual é o resultado que a manutenção do critério do Marco Temporal pode ter sobre a demarcação dos territórios indígenas?,Evaluate,Advanced,"[{'A': 'Pode aumentar a demarcação de territórios indígenas', 'B': 'Pode diminuir a demarcação de territórios indígenas', 'C': 'Pode não ter impacto sobre a demarcação de territórios indígenas', 'D': 'Pode levar à perda de territórios indígenas', 'E': 'Pode levar à criação de novos territórios indígenas'}]",['D'],D,Pode levar à perda de territórios indígenas,"{'question': 'Qual é o resultado que a manutenção do critério do Marco Temporal pode ter sobre a demarcação dos territórios indígenas?', 'bloom_level': 'Evaluate', 'difficult_level': 'Advanced', 'options': [{'A': 'Pode aumentar a demarcação de territórios indígenas', 'B': 'Pode diminuir a demarcação de territórios indígenas', 'C': 'Pode não ter impacto sobre a demarcação de territórios indígenas', 'D': 'Pode levar à perda de territórios indígenas', 'E': 'Pode levar à criação de novos territórios indígenas'}], 'correct_answer': ['D'], 'correct_answer_letter': 'D', 'correct_answer_text': 'Pode levar à perda de territórios indígenas'}",,,,,,,,,
11,4,Administração,2022,"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.",Qual é o objetivo do Projeto de Lei n. 490/2007?,Remember,Beginner,"[{'A': 'Transformar a tese do Marco Temporal em lei', 'B': 'Demarcar territórios indígenas', 'C': 'Regularizar a ocupação de terras ancestrais', 'D': 'Promover a biodiversidade', 'E': 'Criar um novo Marco Temporal'}]",['A'],A,Transformar a tese do Marco Temporal em lei,"{'question': 'Qual é o objetivo do Projeto de Lei n. 490/2007?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'Transformar a tese do Marco Temporal em lei', 'B': 'Demarcar territórios indígenas', 'C': 'Regularizar a ocupação de terras ancestrais', 'D': 'Promover a biodiversidade', 'E': 'Criar um novo Marco Temporal'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Transformar a tese do Marco Temporal em lei'}",,,,,,,,,
11,4,Administração,2022,"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.",Quais são os principais grupos que se benefíciam da demarcação dos territórios indígenas?,Understand,Intermediate,"[{'A': 'Fazendeiros, mineradores, garimpeiros, grileiros e produtores rurais', 'B': 'Comerciantes de peixes, caçadores e madeireiros', 'C': 'Indígenas e defensores da floresta', 'D': 'Todas as opções anteriores', 'E': 'Nenhum dos grupos mencionados'}]",['C'],C,Indígenas e defensores da floresta,"{'question': 'Quais são os principais grupos que se benefíciam da demarcação dos territórios indígenas?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': [{'A': 'Fazendeiros, mineradores, garimpeiros, grileiros e produtores rurais', 'B': 'Comerciantes de peixes, caçadores e madeireiros', 'C': 'Indígenas e defensores da floresta', 'D': 'Todas as opções anteriores', 'E': 'Nenhum dos grupos mencionados'}], 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Indígenas e defensores da floresta'}",,,,,,,,,
