index,id,area,year,context,question,bloom_level,difficult_level,options,correct_answer,correct_answer_letter,correct_answer_text,response_json,relevance,adherence,answerability,correctness,feedback,rouge,bleu,system_answer,steps_answer
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
",Qual é a razão pela qual a água de cozimento muda a cor da chama ao ser derramada?,Remember,Beginner,"[{'A': 'Devido à presença de sal na água'}, {'B': 'Devido à reação química entre a água e o fogo'}, {'C': 'Devido à mudança de temperatura da água'}, {'D': 'Devido à presença de carboidratos na água'}, {'E': 'Nenhuma das opções anteriores'}]",['B'],B,Devido à reação química entre a água e o fogo,"{'question': 'Qual é a razão pela qual a água de cozimento muda a cor da chama ao ser derramada?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'Devido à presença de sal na água'}, {'B': 'Devido à reação química entre a água e o fogo'}, {'C': 'Devido à mudança de temperatura da água'}, {'D': 'Devido à presença de carboidratos na água'}, {'E': 'Nenhuma das opções anteriores'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Devido à reação química entre a água e o fogo'}",,,,,,,,,
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
","Quais substâncias estão presentes na água de cozimento, além do sal?",Understand,Intermediate,"[{'A': 'Só carboidratos'}, {'B': 'Só proteínas'}, {'C': 'Carboidratos e proteínas'}, {'D': 'Carboidratos, proteínas e sais minerais'}, {'E': 'Nenhuma das opções anteriores'}]",['D'],D,"Carboidratos, proteínas e sais minerais","{'question': 'Quais substâncias estão presentes na água de cozimento, além do sal?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': [{'A': 'Só carboidratos'}, {'B': 'Só proteínas'}, {'C': 'Carboidratos e proteínas'}, {'D': 'Carboidratos, proteínas e sais minerais'}, {'E': 'Nenhuma das opções anteriores'}], 'correct_answer': ['D'], 'correct_answer_letter': 'D', 'correct_answer_text': 'Carboidratos, proteínas e sais minerais'}",,,,,,,,,
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
",Qual é o efeito da água de cozimento sobre a cor da chama?,Apply,Intermediate,"[{'A': 'Aumenta a intensidade da chama'}, {'B': 'Diminui a intensidade da chama'}, {'C': 'Muda a cor da chama para amarela'}, {'D': 'Nenhuma das opções anteriores'}, {'E': 'Aumenta a temperatura da chama'}]",['C'],C,Muda a cor da chama para amarela,"{'question': 'Qual é o efeito da água de cozimento sobre a cor da chama?', 'bloom_level': 'Apply', 'difficult_level': 'Intermediate', 'options': [{'A': 'Aumenta a intensidade da chama'}, {'B': 'Diminui a intensidade da chama'}, {'C': 'Muda a cor da chama para amarela'}, {'D': 'Nenhuma das opções anteriores'}, {'E': 'Aumenta a temperatura da chama'}], 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Muda a cor da chama para amarela'}",,,,,,,,,
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
",Qual é a razão pela qual a água de cozimento é considerada uma mistura complexa?,Analyze,Advanced,"[{'A': 'Devido à presença de apenas um tipo de substância'}, {'B': 'Devido à presença de carboidratos e proteínas'}, {'C': 'Devido à presença de carboidratos, proteínas e sais minerais'}, {'D': 'Devido à presença de apenas sais minerais'}, {'E': 'Nenhuma das opções anteriores'}]",['C'],C,"Devido à presença de carboidratos, proteínas e sais minerais","{'question': 'Qual é a razão pela qual a água de cozimento é considerada uma mistura complexa?', 'bloom_level': 'Analyze', 'difficult_level': 'Advanced', 'options': [{'A': 'Devido à presença de apenas um tipo de substância'}, {'B': 'Devido à presença de carboidratos e proteínas'}, {'C': 'Devido à presença de carboidratos, proteínas e sais minerais'}, {'D': 'Devido à presença de apenas sais minerais'}, {'E': 'Nenhuma das opções anteriores'}], 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Devido à presença de carboidratos, proteínas e sais minerais'}",,,,,,,,,
0,91,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Um  fato  corriqueiro  ao  se  cozinhar  arroz  é  o 
derramamento  de  parte  da  água  de  cozimento  sobre  a 
chama azul do fogo, mudando-a para uma chama amarela. 
Essa  mudança  de  cor  pode  suscitar  interpretações 
diversas, relacionadas às substâncias presentes na água 
de  cozimento. Além  do  sal  de  cozinha  (NaCl),  nela  se 
encontram carboidratos, proteínas e sais minerais.
",Qual é a importância da análise das substâncias presentes na água de cozimento?,Evaluate,Advanced,"[{'A': 'Para entender a mudança de cor da chama'}, {'B': 'Para saber a quantidade de sal presente'}, {'C': 'Para identificar as substâncias que afetam a cor da chama'}, {'D': 'Nenhuma das opções anteriores'}, {'E': 'Para determinar a temperatura ideal para cozimento'}]",['C'],C,Para identificar as substâncias que afetam a cor da chama,"{'question': 'Qual é a importância da análise das substâncias presentes na água de cozimento?', 'bloom_level': 'Evaluate', 'difficult_level': 'Advanced', 'options': [{'A': 'Para entender a mudança de cor da chama'}, {'B': 'Para saber a quantidade de sal presente'}, {'C': 'Para identificar as substâncias que afetam a cor da chama'}, {'D': 'Nenhuma das opções anteriores'}, {'E': 'Para determinar a temperatura ideal para cozimento'}], 'correct_answer': ['C'], 'correct_answer_letter': 'C', 'correct_answer_text': 'Para identificar as substâncias que afetam a cor da chama'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
",Qual é o material utilizado na criação da plaqueta artificial?,Remember,Beginner,"[{'A': 'Polímero', 'B': 'Anticorpos', 'C': 'Celulas', 'D': 'Proteínas', 'E': 'DNA'}]",['A'],A,Polímero,"{'question': 'Qual é o material utilizado na criação da plaqueta artificial?', 'bloom_level': 'Remember', 'difficult_level': 'Beginner', 'options': [{'A': 'Polímero', 'B': 'Anticorpos', 'C': 'Celulas', 'D': 'Proteínas', 'E': 'DNA'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Polímero'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
",O que acontece com a plaqueta artificial quando é injetada no corpo?,Understand,Intermediate,"[{'A': 'Ela se dissolve', 'B': 'Ela se transforma em uma rede', 'C': 'Ela se move para outro local no corpo', 'D': 'Ela é eliminada do corpo', 'E': 'Ela não tem efeito algum'}]",['B'],B,Ela se transforma em uma rede,"{'question': 'O que acontece com a plaqueta artificial quando é injetada no corpo?', 'bloom_level': 'Understand', 'difficult_level': 'Intermediate', 'options': [{'A': 'Ela se dissolve', 'B': 'Ela se transforma em uma rede', 'C': 'Ela se move para outro local no corpo', 'D': 'Ela é eliminada do corpo', 'E': 'Ela não tem efeito algum'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Ela se transforma em uma rede'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
",Qual é o objetivo da plaqueta artificial?,Apply,Intermediate,"[{'A': 'Prevenir a coagulação do sangue', 'B': 'Acelerar o processo de coagulação do sangue', 'C': 'Tratar lesões nos vasos sanguíneos', 'D': 'Auxiliar a formação de tecido muscular', 'E': 'Eliminhar células do sangue'}]",['B'],B,Acelerar o processo de coagulação do sangue,"{'question': 'Qual é o objetivo da plaqueta artificial?', 'bloom_level': 'Apply', 'difficult_level': 'Intermediate', 'options': [{'A': 'Prevenir a coagulação do sangue', 'B': 'Acelerar o processo de coagulação do sangue', 'C': 'Tratar lesões nos vasos sanguíneos', 'D': 'Auxiliar a formação de tecido muscular', 'E': 'Eliminhar células do sangue'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Acelerar o processo de coagulação do sangue'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
",Como os anticorpos presentes na plaqueta artificial agem?,Analyze,Advanced,"[{'A': 'Eles se ligam a moléculas de sangue', 'B': 'Eles se ligam a lesões nos vasos sanguíneos', 'C': 'Eles se ligam a células do sangue', 'D': 'Eles se ligam a proteínas do sangue', 'E': 'Eles não se ligam a nada'}]",['B'],B,Eles se ligam a lesões nos vasos sanguíneos,"{'question': 'Como os anticorpos presentes na plaqueta artificial agem?', 'bloom_level': 'Analyze', 'difficult_level': 'Advanced', 'options': [{'A': 'Eles se ligam a moléculas de sangue', 'B': 'Eles se ligam a lesões nos vasos sanguíneos', 'C': 'Eles se ligam a células do sangue', 'D': 'Eles se ligam a proteínas do sangue', 'E': 'Eles não se ligam a nada'}], 'correct_answer': ['B'], 'correct_answer_letter': 'B', 'correct_answer_text': 'Eles se ligam a lesões nos vasos sanguíneos'}",,,,,,,,,
1,94,CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS,2017,"
Pesquisadores criaram um tipo de plaqueta artificial, 
feita com um polímero gelatinoso coberto de anticorpos, 
que promete agilizar o processo de coagulação quando 
injetada  no  corpo.  Se  houver  sangramento,  esses 
anticorpos  fazem  com  que  a  plaqueta  mude  sua  forma 
e se transforme em uma espécie de rede que gruda nas 
lesões dos vasos sanguíneos e da pele.

MOUTINHO, S. Coagulação acelerada. Disponível em: http://cienciahoje.uol.com.br. 
Acesso em: 19 fev. 2013 (adaptado).
",Qual é a aplicação prática da plaqueta artificial?,Evaluate,Advanced,"[{'A': 'Tratamento de lesões nos vasos sanguíneos', 'B': 'Prevenção de sangramentos', 'C': 'Tratamento de doenças cardíacas', 'D': 'Tratamento de doenças cerebrais', 'E': 'Aumento da resistência ao estresse'}]",['A'],A,Tratamento de lesões nos vasos sanguíneos,"{'question': 'Qual é a aplicação prática da plaqueta artificial?', 'bloom_level': 'Evaluate', 'difficult_level': 'Advanced', 'options': [{'A': 'Tratamento de lesões nos vasos sanguíneos', 'B': 'Prevenção de sangramentos', 'C': 'Tratamento de doenças cardíacas', 'D': 'Tratamento de doenças cerebrais', 'E': 'Aumento da resistência ao estresse'}], 'correct_answer': ['A'], 'correct_answer_letter': 'A', 'correct_answer_text': 'Tratamento de lesões nos vasos sanguíneos'}",,,,,,,,,
