id,year,context,question,options,correct_answer,area
1,2022,"TEXT 1
Representative democracy requires, for its functioning, a set of characteristics, which can be understood as institutions. They are: Elected officials; Free, fair and frequent elections; Inclusive suffrage; Right to run for elective office; Freedom of expression; Diversified sources of information; Autonomy for associations. Among the mentioned categories, two stand out as pillars of the democratic regime.
Freedom of expression: citizens have the right to express themselves, without the danger of severe punishments, regarding political matters in general, which includes the freedom to criticize government officials, the government itself, the regime, the socioeconomic order, and the dominant ideology.
Diversified sources of information: citizens have the right to seek alternative, diversified, and independent sources of information. Furthermore, the existence of alternative sources of information must be protected by law.
Source of the Text: DAHL, R. A. On Democracy, EDU: UnB, 2001 (adapted).
TEXT 2
Source of the Text: DAHL, R. A. On Democracy, EDU: UnB, 2001 (adapted).
Although political regimes can be overthrown and ideologies criticized and stripped of their legitimacy, behind a regime and its ideology there is always a way of thinking and feeling, a series of cultural habits, a nebula of obscure instincts and unfathomable impulses.
Source of the Text: ECO, U. The Eternal Fascism. In: Five Moral Writings. Editora Record: Rio de Janeiro, 2002 (adapted).
TEXT 3
The figure below exemplifies some behaviors that, according to Umberto Eco, can be considered contradictory to democratic principles.
Description of the Figure:
7 frames are presented with different phrases and illustrations.
Phrase: 'Cult of traditions and roots'.
Illustration: drawing of a bald eagle wearing a baseball cap.
Phrase: 'Constant state of threat'.
Illustration: tank.
Phrase: 'Exaltation of popular will'.
Illustration: hand prop with raised index finger and the writing '#1 - the best'.
Phrase: 'Opposition to critical analysis'.
Illustration: microphones emitting the phrase 'Fake News!'.
Phrase: 'Obsession with conspiracies and external culprits'.
Illustration: drawing of immigrants as targets.
Phrase: 'Proclamation of a leader (the voice of the people)'.
Illustration: a person on a hill speaking to the crowds.
Phrase: 'Limited and repetitive language'.
Illustration: a mouth saying 'I have the best words'.","Based on the conception of political regimes, addressed by the authors, evaluate the following statements, indicating which are correct.
Democracy is the system that aims to ensure its citizens a broader personal freedom than other models.
Freedom of expression in the democratic system ensures that the manifestation of a political agent and a citizen have equivalent repercussions.
Fake news are manifestations related to the category of diversified sources of information and can be used as a strategy to weaken the democratic system of government.
The right to freedom of expression allows the issuance of critical opinions and speeches contrary to democracy and human rights.
Only what is stated in","{'A': 'I and II', 'B': 'I and III', 'C': 'II and IV', 'D': 'I, III and IV', 'E': 'II, III and IV'}",{'B': 'I and III'},Administration
2,2022,"TEXT 1
Data from the survey conducted by TransgenderEurope (TGEU) shows that Brazil has remained for the 13th consecutive year as the country that most kills transgender people.
Map Description:
Title: Transgender Deaths - by countries from 2008 to 2021 - Absolute numbers:
• More than 1000: Brazil.
• 501 to 1000: Mexico.
• 251 to 500: USA.
• 101 to 250: Argentina, Venezuela, Colombia, India.
• 51 to 100: Turkey.
• 2 to 50: Canada, Russia, China, Saudi Arabia, Australia and part of Europe.
TEXT 2
According to data from the Notification of Injuries Information System (Sinan), from the Ministry of Health, there was a gross increase of 5% in violence against homosexuals and 37.1% in violence against bisexuals, going from 4,855 records in 2018 to 5,330 in 2019. The following graph presents the percentage data of reported cases in 2019, according to the victims' sexual orientation.
Graph Description:
Title: Brazil: Profile of Homosexual and Bisexual People Victims of Violence, by Sexual Orientation, by Age Group (2019):
• 10 to 14 years: Heterosexuals (9%), Homosexuals (6%), Bisexuals (8%).
• 15 to 19 years: Heterosexuals (14%), Homosexuals (16%), Bisexuals (27%).
• 35 to 39 years: Heterosexuals (11%), Homosexuals (9%), Bisexuals (7%).
• 40 to 44 years: Heterosexuals (9%), Homosexuals (7%), Bisexuals (4%).
• 60 to 64 years: Heterosexuals (3%), Homosexuals (2%), Bisexuals (1%).","Considering the information presented in the map and graph, as well as the social situation of LGBTQIAPN+ groups, evaluate the following statements, indicating which ones are correct.
Speeches and practices against sexual and gender diversity are incompatible with the ethical premises and human rights that govern democratic societies.
Violence against LGBTQIAPN+ groups is historical, symbolic, psychological, and physical, occurring due to stereotypes and stigmas prevalent in society and through repression and abuse.
From the age of 40, there is a higher incidence of violence against heterosexual people compared to other groups, indicating that vulnerability is independent of sexual orientation.
Brazil is the country where the highest number of deaths of trans people is identified among the analyzed countries, a situation that reveals the need for a more assertive public policy to combat crimes committed against LGBTQIAPN+ groups.
Only what is stated in","{'A': 'I and III', 'B': 'I and IV’, 'C': 'II and III', 'D': 'I, II and IV', 'E': 'II, III and IV'}","{'D': 'I, II and IV’}",Administration
3,2022,"In 2019, armed violence was three times higher for the black population, compared to the non-black population, both for the general population and for the youth group (between 15 and 29 years old). Regarding the mortality rate per 100,000 inhabitants in the group of people up to 14 years old, the inequality in the victimization of black children and adolescents by firearm assault also stands out, with a rate 3.6 times higher than that of non-blacks in 2019. Source of the Text: INSTITUTO SOU DA PAZ. Armed violence and racism: the role of firearms in racial inequality. 2021.","Considering the information presented, evaluate the following assertions and the proposed relationship between them. I. Racial factor is an important determinant in the analysis of data related to homicides and violence in Brazil in the population of adolescents and young people. BECAUSE II. The black population suffers more violence than the non-black population, due to the existing structural racism in the country, in addition to other social vulnerabilities associated with this form of prejudice. Regarding these assertions, choose the correct option.","{'A': 'Assertions I and II are true propositions, and II is a correct justification of I.', 'B': 'Assertions I and II are true propositions, but II is not a correct justification of I.', 'C': 'Assertion I is a true proposition, and II is a false proposition.', 'D': 'Assertion I is a false proposition, and II is a true proposition.', 'E': 'Assertions I and II are false propositions.'}","{'A': 'Assertions I and II are true propositions, and II is a correct justification of I.'}",Administration
4,2022,"TEXT 1
In addition to a lawsuit regarding the Temporal Framework being processed in the Judiciary, there is also a bill in the Chamber of Deputies that seeks to turn the Temporal Framework thesis into law. It is Bill No. 490/2007, which determines that only the peoples who were occupying the lands considered ancestral on the day of the promulgation of the Federal Constitution, on October 5, 1988, should have the right to these lands.
Available on g1.globo website. Accessed on: June 21, 2022 (adapted).
TEXT 2
The murder of the indigenist Bruno Pereira and the journalist Dom Phillips exposed to the world the importance of demarcating indigenous territories, guaranteed by the 1988 Federal Constitution. Indigenous territories, besides preserving identities, ways of life, traditions, and cultures of these peoples, are also essential for environmental preservation. They contribute to containing greenhouse gas emissions, promoting biodiversity, and enhancing systems.
If the Temporal Framework criterion is maintained, the land conflict may intensify. The territories will become areas of more conflicts between farmers, miners, prospectors, land grabbers, rural producers, drug traffickers, fish traders, hunters, and loggers, resulting in the death of indigenous people and forest defenders, and by extension, of indigenous territories.","Based on the texts presented, evaluate the following statements, indicating which ones are correct.
Indigenous territories, with the regulation of the Temporal Framework, will be formally protected from invasions, and the original peoples will be able to maintain their cultural traditions.
The actions of groups of prospectors, illegal fishermen, deforesters, and some sectors of agricultural activities have been confronting the original peoples in territorial disputes.
The increase in crime in indigenous territories is associated with the economic interests of unsustainable exploitation of the environment, such as those related to illegal mining and deforestation.
The existence of indigenous social movements is essential for the struggle for social, cultural, and land access rights by the original peoples, as well as for the preservation of the environment and the way of life of indigenous peoples.
The Brazilian state is prevented from intervening in the demarcation of indigenous territories, respecting the autonomy, self-management, and free determination of the original peoples, according to the 1988 Federal Constitution.
Only what is stated in is correct","{'A': 'I and V', 'B': 'I, III and V’, 'C': 'II, III and IV', 'D': 'II, IV and V', 'E': 'I, II, III and IV'}","{'C': 'II, III and IV'}",Administration
5,2022,"Research carried out by the Brazilian Observatory of Public Policies of the Federal University of Minas Gerais (UFMG) indicates that the population living on the streets increased in Brazil in 2022. From January to May this year, more than 26 thousand new people in this situation were registered in the Single Registry (CadÚnico) of the Federal Government. In the country, more than 180 thousand people are registered in CadÚnico. Available on the g1.globo website. Accessed on: July 6, 2022 (adapted).","Considering the information presented, evaluate the following assertions and the proposed relationship between them. I. The existence of people living on the streets in Brazil mainly stems from the social inequalities arising from the Covid-19 pandemic. BECAUSE II. One of the effects of the Covid-19 pandemic was the increase in the number of people living on the streets in Brazil, which highlights the socio-spatial segregation of Brazilian cities. Regarding these assertions, choose the correct option.","{'A': 'Statements I and II are true propositions, and II is a correct justification for I.', 'B': 'Statements I and II are true propositions, but II is not a correct justification for I.', 'C': 'Statement I is a true proposition, and II is a false proposition.', 'D': 'Statement I is a false proposition, and II is a true proposition.', 'E': 'Statements I and II are false propositions.'}","{'D': 'Statement I is a false proposition, and II is a true proposition.'}",Administration
6,2022,"By the end of 2021, around 89.3 million people were displaced worldwide due to violence, persecution, human rights violations, or other conflicts in their places of origin. This contingent of forced displacements had already reached over 100 million people by May 2022, motivated by instabilities such as those in Afghanistan, some African countries, and the regions of Ukraine occupied by Russia, as well as other places where armed conflicts had been ongoing, such as in Syria. Available at acnur.org. Accessed on: June 21, 2022 (adapted). Description of the figure: The cartoon by artist Latuff depicts Syrian migrants fleeing the civil war towards Europe. On a beach, three characters watch the arrival of overcrowded boats with migrants: The first one, with his hands in his pockets, is wearing a gray suit with a dollar sign symbol on his back and says, 'I see cheap labor!'. Next to him, a lady wearing the flag of the European Union shows concern and says, 'I see a headache!'. Finally, with his back to the beach, the third one wears clothes with the colors of the US flag, bids farewell by touching the lady's shoulder, whistles, and says, 'I'll see you on my next military adventure!'.","Regarding current forced international migrations, choose the correct option.","{'A': 'Interests regarding the type of treatment given to immigrants worldwide are independent of their countries of origin.', 'B': 'Xenophobia, which consists of prejudice against foreigners, is due to the lack of international norms for handling immigration situations.', 'C': 'Refugees are migrants from underdeveloped countries who move to central countries of global capitalism in order to serve as cheap labor.', 'D': 'Forced international migrations arise from economic globalization, whose processes are responsible for the increase in the number of refugees worldwide.', 'E': 'The condition of an international forced migrant differs from the general condition of an immigrant in that it refers to displacement motivated by involuntary factors that are beyond the control of the migrant and their family.'}",{'E': 'The condition of an international forced migrant differs from the general condition of an immigrant in that it refers to displacement motivated by involuntary factors that are beyond the control of the migrant and their family.'},Administration
7,2022,"TEXT 1
Description of the Graph:
Title: Latin America, Caribbean (21 countries): Femicide or feminicide (2021) (in absolute numbers and rates per 100,000 women)
The following data are presented:
Countries - Absolute Number of Deaths - Deaths per 100,000 women (approximately)
Honduras - 227 - 4.8
Santa Lucia - 4 - 4.5
Trinidad and Tobago - 22 - 3.1
Dominican Republic - 132 - 2.4
El Salvador - 73 - 2.3
Bolivia - 113 - 2
Brazil - 1738 - 1.8
Panama - 31 - 1.5
Mexico - 948 - 1.6
Guatemala - 119 - 1.2
Uruguay - 19 - 1.1
Argentina - 251 - 1.1
Paraguay - 36 - 1
Ecuador - 79 - 0.9
Peru - 148 - 0.9
TEXT 2
Research results from the Economic Commission for Latin America and the Caribbean (ECLAC), linked to the United Nations (UN), indicate that, in addition to intimate femicide, perpetrated by partners or ex-partners of the victim, and systemic sexual femicide, where the victim is kidnapped and raped, there is lesbophobic or biphobic femicide, configured when the victim is bisexual or lesbian and is murdered because the aggressor believes she should be punished for her sexual orientation.
Available on the ebc website. Accessed on: Aug 22, 2022.","Based on the graph and information from the text, choose the correct option.","{'A': 'The presented graph ranks the countries based on a proportion calculation, and in this perspective, Santa Lucia has one of the lowest femicide rates in the region.', 'B': 'Public policies for women assume that they should be primarily responsible for their own safety, avoiding risky behaviors.', 'C': 'The Latin American countries with the highest rates of femicides per 100,000 women, according to the presented graph, are Brazil, Mexico, and Argentina.', 'D': 'The forms of violence that affect women are determined not only by sexual and gender conditions but also by economic, age, racial, cultural, and religious differences.', 'E': 'The number per 100,000 women victims of femicide in Brazil explains the country's high position in the ranking, unlike Honduras, which relatively records fewer occurrences than Brazil.'}","{'D': 'The forms of violence that affect women are determined not only by sexual and gender conditions but also by economic, age, racial, cultural, and religious differences.'}",Administration
8,2022,"Description of the image:
Photo of Charles Humpres showing graffiti by Eduardo Kobra. The art occupies the side space of two floors of a building, characterized by the intense use of contrasts and colors that portrays a man sitting on the ground, head down, barefoot, with two empty plates by his side and holding a sign that reads 'Welcome to real Brazil'.
Initially, the transgressive nature of graffiti was seen by the State as vandalism in public space and as a danger to the conservation of private property, therefore, it should be combated. Over time, however, this marginal conception has transformed, leading to an acceptable valorization by the State and positive for society. This transition of graffiti, from marginal art to recognized and accepted artistic expression, has revealed important aspects not only for graffiti professionals, but for society as a whole, as it incorporates the possibility of being an artistic product of cultural, economic, and ideological value.
Source of the Text: PIRES, E. M.; SANTOS, F. A. The city of São Paulo and its dynamics: graffiti, Clean City Law, and urban advertising. Annals of the Museu Paulista: History and Material Culture. v. 26, São Paulo, 2018 (adapted).","Considering the text and image presented, it is correct to state that graffiti consists of a","{'A': 'popular expression associated with protest and, therefore, is not recognized as art.', 'B': 'conventional expression of hierarchies consolidated over time and still present in society.', 'C': 'cultural expression that problematizes the values and relationships of society with the spaces where it is produced.', 'D': 'urban intervention that brings harm to society because it generates latent conflicts between different social classes.', 'E': 'aesthetic intervention carried out with the purpose of standardized beautification of urban spaces through the use of intense and contrasting colors.'}",{'C': 'cultural expression that problematizes the values and relationships of society with the spaces where it is produced.'},Administration
10,2022,"Among the theories used in Administration, Mathematical Theory is the one that focuses on rational decision-making process, based on mathematical, statistical, and computational procedures. This theory emerged between the 1940s and 1950s and has been present in managerial practices and trends since then. Game theory, queuing theory, probability theory, and linear programming, applied to managerial problems, are techniques and methods recurring in mathematical sciences that originated from Mathematical Theory. The recent evolution of the use of Mathematical Theory is evidenced in the methods and processes of Big Data, Business Intelligence, and Business Analytics, which use computational platforms with large volumes of data in different formats (numeric, textual, visual). When considering the different specialties and managerial functions, there are variations in the intensity of use of these tools, in areas that make intensive use of methods and tools, and in others that have reduced use. In addition, functional areas are linked, in a differentiated way, to different methods. Source of the Text: ANDRADE, R .; AMBONI, N. TGA - General Theory of Administration, 2017 (adapted).","Considering the appropriation of Mathematical Theory in functional areas or specialties of Administration, evaluate the following statements, indicating which ones are correct. The managerial area of Production and Operations, given its focus on planning, management, and production control, maintains the tradition of little intensive use of Mathematical Theory, and its focus is on metrics and accounting methods, such as balance sheet analysis and statements. The managerial area of Marketing, whose focus is communication and advertising, prioritizes the use of qualitative methods, emphasizing the use of operational research methods, queuing theory, and linear programming. The managerial area of Human Resources, although traditionally focusing on instrumental and interpretive aspects of people management, has had an increase in the use of mathematical methods in its various functions. It is correct what is stated in","{'A': 'I only.', 'B': 'III only', 'C': 'I and II only', 'D': 'II and III only', 'E': 'I, II, and III'}",{'B': 'III only'},Administration
11,2022,"The development of institutions within capitalist society, triggered by technological transformations in the late 19th century, led to the material and immaterial rationalization of productive processes. These institutions were meticulously studied by Max Weber (1864-1920), who focused on the analysis of the daily organization of society, on the division and coordination of the most diverse labor activities. These activities were based on the rational division of labor, on the requirement of specialization and differentiation of the functions performed by workers, and classified according to technical criteria, through subordination to a hierarchically organized and highly specialized authority.
Source of the Text: SANTOS, F. R. Max Weber and bureaucratic rationality, Jun. 2015 (adapted).","Considering the presented text and the characteristics of bureaucratic organization, according to Weberian theory, evaluate the following statements, indicating which are correct.
The bureaucratic organization presupposes the replacement of decision norms based on social relationships, typical of patrimonialist mentality, by rules and procedures that enable impersonality and objectivity. 
Bureaucracy as a result of the search for efficiency is widespread in capitalist system organizations. 
The bureaucratic theory presupposes the division of labor, the existence of hierarchy, and the use of written records. 
It is correct what is stated in","{'A': 'I only.', 'B': 'II only', 'C': 'I and III only', 'D': 'II and III only', 'E': 'I, II and III'}","{'E': 'I, II and III'}",Administration
