id;year;context;question;options;correct_answer;area
1;2022;"TEXTO 1
A democracia representativa exige, para o seu funcionamento, um conjunto de características, as quais podem ser compreendidas como instituições. São elas: Funcionários eleitos; Eleições livres, justas e frequentes; Sufrágio inclusivo; Direito de concorrer a cargos eletivos; Liberdade de expressão; Fontes de informação diversificadas; Autonomia para as associações. Entre as categorias mencionadas, destacam-se duas como pilares do regime democrático.
Liberdade de expressão: os cidadãos têm o direito de se expressar, sem o perigo de punições severas, quanto aos assuntos políticos de uma forma geral, o que inclui a liberdade de criticar os funcionários do governo, o governo em si, o regime, a ordem socioeconômica e a ideologia dominante.
Fontes de informação diversificadas: os cidadãos têm o direito de buscar fontes de informação, alternativas, diversificadas e independentes. Ademais, a existência de fontes de informação alternativa deve ser protegida por lei.
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
TEXTO 2
Fonte do Texto: DAHL, R. A. Sobre a democracia, EDU: UnB, 2001 (adaptado).
Embora os regimes políticos possam ser derrubados e as ideologias criticadas e destituídas de sua legitimidade, por trás de um regime e de sua ideologia há sempre um modo de pensar e de sentir, uma série de hábitos culturais, uma nebulosa de instintos obscuros e de pulsões insondáveis.
Fonte do Texto: ECO, U. O Fascismo Eterno. In: Cinco escritos Morais. Editora Record: Rio de Janeiro, 2002 (adaptado).
TEXTO 3
A figura a seguir exemplifica algumas condutas que, segundo Umberto Eco, podem ser consideradas contraditórias aos princípios democráticos.
Descrição da Figura:
São apresentados 7 quadros com frases e ilustrações distintas.
Frase: “Culto às tradições e às raízes”. Ilustração: desenho de uma águia de cabeça branca utilizando um boné semelhante ao de beisebol. 
Frase: “Constante estado de ameaça”. Ilustração: tanque de guerra. 
Frase: “Exaltação da vontade popular”. Ilustração: adereço de mão com o dedo indicador levantado e a escrita “#1 - o melhor”. 
Frase: “Oposição à análise crítica”. Ilustração: microfones emitindo a frase “Fake News!”. 
Frase: “obsessão por conspirações e culpados externos”. Ilustração: desenho de imigrantes como alvo. 
Frase: “Proclamação de um líder (a voz do povo)”. Ilustração: uma pessoa sobre um monte falando às multidões. 
Frase: “Linguagem limitada e repetitiva”. Ilustração: uma boca falando “eu tenho as melhores palavras”.";"Com base na concepção de regimes políticos, abordada pelos autores, avalie as afirmações a seguir, indicando quais são as corretas.
A democracia é o sistema que se propõe a assegurar aos seus cidadãos uma liberdade pessoal mais ampla do que outros modelos. 
A liberdade de expressão no sistema democrático garante que a manifestação de um agente político e de um cidadão possuam repercussões equivalentes. 
As fake news são manifestações relacionadas à categoria de fontes de informação diversificadas e podem ser utilizadas como estratégia para fragilizar o sistema democrático de governo. 
O direito à liberdade de expressão permite a emissão de opinião crítica e discursos contrários à democracia e aos direitos humanos. 
É correto apenas o que se afirma em
";"{'A': 'I e II', 'B': 'I e III', 'C': 'II e IV', 'D': 'I, III e IV', 'E': 'II, III e IV'}

";"{'B': 'I e III'}
";Administração
2;2022;"TEXTO 1
Dados do levantamento feito pelo TransgenderEurope (TGEU) mostram que o Brasil permaneceu pelo 13o ano consecutivo como o país que mais mata pessoas transgêneros.
Descrição do Mapa: Título: Mortes de Transgêneros – por países de 2008 a 2021 – Números absolutos:
• Maior que 1000: Brasil. • 501 a 1000: México. • 251 a 500: EUA. • 101 a 250: Argentina, Venezuela, Colômbia, Índia. • 51 a 100: Turquia.
• 2 a 50: Canadá, Rússia, China, Arábia Saudita, Austrália e parte da Europa.
TEXTO 2
De acordo com dados do Sistema de Informação de Agravos de Notificação (Sinan), do Ministério da Saúde, houve um crescimento bruto de 5% nas violências contra homossexuais e 37,1% nas violências contra bissexuais, passando de 4 855 registros em 2018 para 5 330 em 2019. No gráfico a seguir são apresentados os dados percentuais de casos notificados em 2019, de acordo com a orientação sexual das vítimas de violência.
Descrição do Gráfico: TÍtulo: Brasil: Perfil de Pessoas Homossexuais e Bissexuais Vítimas de Violência, por orientação Sexual, por Faixa etária (2019):
• 10 a 14 anos: Heterossexuais (9%), Homossexuais (6%), Bissexuais (8%). • 15 a 19 anos: Heterossexuais (14%), Homossexuais (16%), Bissexuais (27%). • 35 a 39 anos: Heterossexuais (11%), Homossexuais (9%), Bissexuais (7%). • 40 a 44 anos: Heterossexuais (9%), Homossexuais (7%), Bissexuais (4%). • 60 a 64 anos: Heterossexuais (3%), Homossexuais (2%), Bissexuais (1%).";"Considerando as informações apresentadas no mapa e no gráfico, bem como a situação social dos grupos LGBTQIAPN+, avalie as afirmações a seguir, indicando quais são as corretas.
Os discursos e as práticas contra a diversidade sexual e de gênero são incompatíveis com as premissas éticas e dos direitos humanos que regem as sociedades democráticas. 
A violência contra os grupos LGBTQIAPN+ é histórica, simbólica, psicológica e física, ocorrendo em razão de estereótipos e estigmas vigentes na sociedade e por meio de repressões e abusos. 
A partir dos 40 anos de idade, há uma maior incidência de violência sobre pessoas heterossexuais em relação aos outros grupos, o que indica que a vulnerabilidade independe da orientação sexual. 
O Brasil é o país onde se identifica o maior número de mortes de pessoas trans entre os países analisados, situação que revela a necessidade de uma política pública mais assertiva de combate aos crimes cometidos contra os grupos LGBTQIAPN+. 
É correto apenas o que se afirma em";"{'A': 'I e III', 'B': 'I e IV’, 'C': 'II e III', 'D': 'I, II e IV', 'E': 'II, III e IV'}
";{'D': 'I, II e IV’};Administração
3;2022;"Em 2019, a violência armada foi três vezes maior para a população negra, em comparação com a não negra, tanto para a população geral quanto para o grupo jovem (entre 15 e 29 anos de idade). Quanto à taxa de mortalidade por 100 mil habitantes no grupo de pessoas com até 14 anos de idade, destaca-se, da mesma forma, a desigualdade na vitimização de crianças e adolescentes negros por agressão com arma de fogo, com taxa 3,6 vezes maior do que a de não negros em 2019.
Fonte do Texto: INSTITUTO SOU DA PAZ. Violência armada e racismo: o papel da arma de fogo na desigualdade racial. 2021.";"Considerando as informações apresentadas, avalie as asserções a seguir e a relação proposta entre elas.
I. O fator racial é um importante condicionante na análise de dados relativos a homicídios e violência no Brasil na população de adolescentes e jovens.
PORQUE 
II. A população negra sofre mais violência do que a população não negra, em razão do racismo estrutural existente no país, além de outras vulnerabilidades sociais associadas a essa forma de preconceito.
A respeito dessas asserções, assinale a opção correta.
";"{'A': ‘As asserções I e II são proposições verdadeiras, e a II é uma justificativa correta da I.', 'B': 'As asserções I e II são proposições verdadeiras, mas a II não é uma justificativa correta da I.’, 'C': 'A asserção I é uma proposição verdadeira, e a II é uma proposição falsa.', 'D': 'A asserção I é uma proposição falsa, e a II é uma proposição verdadeira.', 'E': 'As asserções I e II são proposições falsas.'}
";{'A': ‘As asserções I e II são proposições verdadeiras, e a II é uma justificativa correta da I.'};Administração
4;2022;"TEXTO 1
Além de tramitar no Judiciário um processo a respeito do Marco Temporal, há também, na Câmara dos Deputados, um projeto em que se tenta transformar a tese do Marco Temporal em lei. Trata-se do Projeto de Lei n. 490/2007, que determina que devem ter direito às terras consideradas ancestrais somente os povos que as estivessem ocupando no dia da promulgação da Constituição Federal, em 5 de outubro de 1988.
Disponível no site do g1.globo. Acesso em: 21 jun. 2022 (adaptado).
TEXTO 2
O assassinato do indigenista Bruno Pereira e do jornalista Dom Phillips expôs ao mundo a importância da demarcação dos territórios indígenas, assegurada pela Constituição Federal de 1988. Os territórios indígenas, além de preservarem identidades, modos de vida, tradições e culturas desses povos, também são fundamentais para a preservação ambiental. Eles contribuem para conter as emissões de gases de efeito estufa, promover a biodiversidade e potencializar sistemas.
Se mantido o critério do Marco Temporal, a guerra fundiária poderá ser intensificada. Os territórios se tornarão zonas de mais conflitos entre fazendeiros, mineradores, garimpeiros, grileiros, produtores rurais, narcotraficantes, comerciantes de peixes, caçadores e madeireiros, o que resultará na morte de indígenas e de defensores da floresta e, por extensão, dos territórios indígenas.";"Com base nos textos apresentados, avalie as afirmações a seguir, indicando quais são as corretas.
Os territórios indígenas, com a regulamentação do Marco Temporal, ficarão formalmente protegidos de invasões, e os povos originários poderão manter suas tradições culturais. 
As ações de grupos de garimpeiros, de pescadores ilegais, de desmatadores e de alguns setores das atividades agropecuárias vêm confrontando os povos originários em disputas territoriais. 
O aumento da criminalidade nos territórios indígenas está associado aos interesses econômicos de exploração insustentável do meio ambiente, como os relacionados aos garimpos ilegais e ao desmatamento de florestas. 
A existência dos movimentos sociais indígenas é essencial para a luta por direitos sociais, culturais e de acesso à terra pelos povos originários, assim como para a preservação do meio ambiente e do modo de vida dos indígenas. 
O Estado brasileiro está impedido de intervir nas demarcações de territórios indígenas, em respeito à autonomia, à autogestão e à livre determinação dos povos originários, segundo a Constituição Federal de 1988. 
É correto apenas o que se afirma em";"{'A': 'I e V', 'B': 'I, III e V’, 'C': 'II, III e IV', 'D': 'II, IV e V', 'E': 'I, II, III e IV'}
";{'C': 'II, III e IV'};Administração
5;2022;"Pesquisa realizada pelo Observatório Brasileiro de Políticas Públicas da Universidade Federal de Minas Gerais (UFMG) aponta que a população em situação de rua aumentou no Brasil em 2022. De janeiro a maio deste ano, mais de 26 mil novas pessoas nessa situação foram registradas no Cadastro Único (CadÚnico) do Governo Federal. No país, mais de 180 mil pessoas estão registradas no CadÚnico.
Disponível no site do g1.globo. Acesso em: 6 jul. 2022 (adaptado).";"Considerando as informações apresentadas, avalie as asserções a seguir e a relação proposta entre elas.
I. A existência de pessoas em situação de rua no Brasil deriva, sobretudo, das desigualdades sociais oriundas da pandemia de Covid-19.
PORQUE
II. Um dos efeitos da pandemia de Covid-19 foi a ampliação do número de pessoas em situação de rua no Brasil, o que evidencia a segregação socioespacial das cidades brasileiras.
A respeito dessas asserções, assinale a opção correta.";"{'A': 'As asserções I e II são proposições verdadeiras, e a II é uma justificativa correta da I.', 'B': 'As asserções I e II são proposições verdadeiras, mas a II não é uma justificativa correta da I.’, 'C': 'A asserção I é uma proposição verdadeira, e a II é uma proposição falsa.', 'D': 'A asserção I é uma proposição falsa, e a II é uma proposição verdadeira.', 'E': 'As asserções I e II são proposições falsas.'}
";{'D': 'A asserção I é uma proposição falsa, e a II é uma proposição verdadeira.'};Administração
6;2022;"Ao final de 2021, cerca de 89,3 milhões de pessoas estavam deslocadas em todo o mundo, em decorrência de violência, perseguições, violações dos direitos humanos ou outros conflitos em seus locais de origem. Esse contingente de deslocamentos forçados já alcançava mais de 100 milhões de pessoas em maio de 2022, sendo motivados por instabilidades como as ocorridas no Afeganistão, em alguns países africanos e nas regiões da Ucrânia ocupadas pela Rússia, além de outros locais onde já perduravam confrontos armados, como, por exemplo, na Síria.
Disponível no site do acnur.org. Acesso em: 21 jun. 2022 (adaptado).
Descrição da figura:
A charge do artista Latuff retrata migrantes sírios fugindo da guerra civil em direção à Europa. Em uma praia, três personagens assistem à chegada de barcos superlotados com migrantes:
O primeiro, com as mãos nos bolsos, está de terno cinza com o símbolo de cifrão estampado em suas costas e diz: “Eu vejo mão de obra barata!”.
Ao seu lado, uma senhora vestindo a bandeira da União Europeia demonstra preocupação e fala: “Eu vejo dor de cabeça!”. 
Por último, já de costas para a praia, o terceiro veste roupas com as cores da bandeira dos EUA, se despede tocando no ombro da senhora, assovia e diz: “Eu vejo você na minha próxima aventura militar!”.";"Com relação às atuais migrações internacionais forçadas, assinale a opção correta.
";{'A': 'Os interesses em relação ao tipo de tratamento dispensado aos imigrantes no mundo independem de seus países de origem.', 'B': 'A xenofobia, que consiste no preconceito contra estrangeiros, deve-se à falta de normas internacionais para o tratamento de situações de imigração.’, 'C': 'Os refugiados são migrantes de países subdesenvolvidos que se deslocam para países centrais do capitalismo global a fim de servir de mão de obra barata.', 'D': 'As migrações internacionais forçadas surgem da globalização econômica, cujos processos são responsáveis pelo aumento do número de refugiados no mundo.', 'E': 'A condição de migrante internacional forçado diferencia-se da condição geral de imigrante na medida em que se refere ao deslocamento motivado por fatores involuntários, que fogem ao controle do migrante e de sua família.'};{''E': 'A condição de migrante internacional forçado diferencia-se da condição geral de imigrante na medida em que se refere ao deslocamento motivado por fatores involuntários, que fogem ao controle do migrante e de sua família.'};Administração
7;2022;"TEXTO 1
Descrição do Gráfico:
Título: América Latina, Caribe (21 países): Feminicídio ou femicídio (2021) (em números absolutos e taxas por 100 mil mulheres)
São apresentados os seguintes dados: Países - Número Absoluto de Mortes - Mortes a cada 100 mil mulheres (aproximadamente)
Honduras - 227 - 4,8
SantaLúcia-4-4,5
 Trinidad e Tobago - 22 - 3,1
República Dominicana - 132 - 2,4
ElSalvador-73-2,3
Bolívia-113-2
Brasil - 1738 - 1,8
Panamá-31-1,5
México-948-1,6
Guatemala - 119 - 1,2
Uruguai-19-1,1
Argentina - 251 - 1,1
Paraguai-36-1
Equador-79-0,9
Peru-148-0,9
TEXTO 2
Resultados de pesquisa da Comissão Econômica para a América Latina e o Caribe (CEPAL), vinculada à Organização das Nações Unidas (ONU), apontam que, além do feminicídio íntimo, aquele perpetrado por parceiros ou ex-parceiros da vítima, e do feminicídio sexual sistêmico, em que a vítima é sequestrada e estuprada, há o feminicídio lesbofóbico ou bifóbico, configurado quando a vítima é bissexual ou lésbica e é assassinada porque o agressor entende que deve puni-la por sua orientação sexual.
Disponível no site da ebc. Acesso em: 22 ago. 2022.";"A partir do gráfico e das informações do texto, assinale a opção correta.
";{'A': 'O gráfico apresentado ranqueia os países a partir de um cálculo de proporção e, nessa perspectiva, Santa Lúcia apresenta uma das taxas mais baixas de feminicídio na região.', 'B': 'As políticas públicas voltadas às mulheres partem do pressuposto de que elas devem ser as principais responsáveis por sua própria segurança, evitando comportamentos de risco.’, 'C': 'Os países da América Latina que apresentam as maiores taxas de ocorrência de feminicídios a cada 100 mil mulheres, de acordo com o gráfico apresentado, são Brasil, México e Argentina.', 'D': 'As formas de violência que afetam as mulheres são determinadas não somente pela condição sexual e de gênero, mas também por diferenças econômicas, etárias, raciais, culturais e religiosas.', 'E': 'O número relativo a cada 100 mil mulheres vítimas de feminicídio no Brasil explica a posição elevada do país no ranking, diferentemente de Honduras, que registra, relativamente, menos ocorrências que o Brasil.'};{'D': 'As formas de violência que afetam as mulheres são determinadas não somente pela condição sexual e de gênero, mas também por diferenças econômicas, etárias, raciais, culturais e religiosas.'};Administração
8;2022;"Descrição da imagem:
Foto de Charles Humpres mostrando grafite de Eduardo Kobra. A arte ocupa o espaço lateral de dois andares de um prédio, sendo caracterizada pelo uso intenso de contrastes e cores que retrata um homem sentado ao chão, cabeça baixa, descalço, com dois pratos vazios ao seu lado e segurando um cartaz escrito “Welcome to real Brazil”.
nicialmente, a natureza transgressora do grafite foi encarada pelo Estado como vandalismo no espaço público e como um perigo para a conservação da propriedade privada, devendo-se, portanto, combatê-lo. Com o tempo, contudo, essa concepção marginal transformou-se, incidindo em uma valorização aceitável pelo Estado e positiva para a sociedade. Essa transição do grafite, de arte marginal para manifestação artística reconhecida e aceita, tem revelado aspectos importantes não somente para os profissionais do grafite, mas para a sociedade como um todo, pois incorpora a possibilidade de ele ser um produto artístico de valor cultural, econômico e ideológico.
Fonte do Texto: PIRES, E. M.; SANTOS, F. A. A cidade de São Paulo e suas dinâmicas: graffiti, Lei Cidade Limpa e publicidade urbana. Anais do Museu Paulista: História e Cultura Material. v. 26, São Paulo, 2018 (adaptado).";"Considerando-se o texto e a imagem apresentados, é correto afirmar que o grafite consiste em uma
";{'A': 'expressão popular associada à contestação e, por isso, não é reconhecido como arte.', 'B': 'expressão convencional de hierarquias consolidadas ao longo do tempo e ainda presentes na sociedade.’, 'C': 'expressão cultural que problematiza os valores e as relações da sociedade com os espaços onde é produzida.', 'D': 'intervenção urbana que traz prejuízos para a sociedade porque gera conflitos latentes entre diferentes classes sociais.', 'E': 'intervenção estética realizada com o propósito de embelezamento padronizado dos espaços urbanos pelo uso de cores intensas e contrastantes.'};{'C': 'expressão cultural que problematiza os valores e as relações da sociedade com os espaços onde é produzida.'};Administração
10;2022;"Entre as teorias utilizadas na Administração, a Teoria Matemática é a que mantém o foco no processo decisório racional, baseado em procedimentos matemáticos, estatísticos e computacionais. Essa teoria surgiu entre os anos 1940 e 1950 e, desde então, está presente nas práticas e nas tendências gerenciais. A teoria dos jogos, a teoria das filas, a teoria das probabilidades e a programação linear, aplicadas aos problemas gerenciais de técnicas e métodos recorrentes nas ciências matemáticas originaram-se da Teoria Matemática.
A evolução recente de usos da Teoria Matemática está evidenciada nos métodos e processos de Big Data, Business Intelligence e Business Analytics, que utilizam plataformas computacionais com grandes volumes de dados em diferentes formatos (numérico, textual, visual).
Quando consideramos as diferentes especialidades e funções gerenciais, temos variações de intensidade de uso dessas ferramentas, em áreas que fazem uso intensivo de métodos e ferramentas, e, em outras que têm uso reduzido. Além disso, as áreas funcionais vinculam-se, de forma diferenciada, aos diferentes métodos.
Fonte do Texto: ANDRADE, R.; AMBONI, N. TGA - Teoria Geral da Administração, 2017 (adaptado).";"Considerando a apropriação da Teoria Matemática nas áreas funcionais ou nas especialidades de
Administração, avalie as afirmações a seguir, indicando quais são as corretas.
A área gerencial de Produção e Operações, dado o seu foco em planejamento, gestão e controle de produção, mantém a tradição de uso pouco intensivo da Teoria Matemática, e seu foco são as métricas e os métodos contábeis, como a análise de balanços e de demonstrativos. 
A área gerencial de Marketing, cujo foco é a comunicação e a propaganda, prioriza a utilização de métodos qualitativos, enfatizando o uso de métodos de pesquisa operacional, teoria das filas e programação linear. 
A área gerencial de Recursos Humanos, embora tradicionalmente mantenha o foco em aspectos instrumentais e interpretativos da gestão de pessoas, tem tido aumento no uso de métodos matemáticos, em suas diversas funções. 
É correto o que se afirma em
";"{'A': 'I, apenas.', 'B': 'III, apenas’, 'C': 'I e II, apenas', 'D': 'II e III, apenas', 'E': 'I, II e III'}

";"{'B': 'III, apenas’}

";Administração
11;2022;"O desenvolvimento das instituições no interior da sociedade capitalista, desencadeado por transformações tecnológicas no final do século XIX, levou à racionalização material e imaterial dos processos produtivos. Essas instituições foram minuciosamente estudadas por Max Weber (1864-1920), que focou na análise da organização cotidiana da sociedade, na divisão e na coordenação das mais diversas atividades laborais. Essas atividades eram baseadas na divisão racional do trabalho, na exigência de especialização e diferenciação das funções exercidas pelos trabalhadores, e classificadas de acordo com critérios técnicos, mediante a subordinação a uma autoridade hierarquicamente organizada e altamente especializada.
Fonte do Texto: SANTOS, F. R. Max Weber e a racionalidade burocrática, jun. 2015 (adaptado).";"Considerando o texto apresentado e as características da organização burocrática, conforme a teoria weberiana, avalie as afirmações a seguir, indicando quais são as corretas.
A organização burocrática pressupõe a substituição das normas de decisão baseadas nas relações sociais, típicas da mentalidade patrimonialista, por regras e procedimentos que possibilitam a impessoalidade e a objetividade. 
A burocracia como decorrência da busca por eficiência é disseminada nas organizações do sistema capitalista. 
A teoria burocrática pressupõe a divisão do trabalho, a existência de hierarquia e o uso de registros escritos. 
É correto o que se afirma em
";"{'A': 'I, apenas.', 'B': 'II, apenas’, 'C': 'I e III, apenas', 'D': 'II e III, apenas', 'E': 'I, II e III'}
";{'E': 'I, II e III'};Administração
