id,year,context,question,options,correct_answer,CE,DS,EK,IC,MR,TC,image,IU,ledor,figures,description,area,cor,system_answer
1,2013,"
Distribuição espacial atual da população brasileira

Conflitos em terras indígenas

Mapa 1 

Mapa 2


THÉRY, H. As boas-novas sobre a população brasileira. Conhecimento Prático 
Geográfi co, n. 41, jan. 2012 (adaptado).

 SIMIELLI, M. E. Geoatlas. São Paulo: Ática, 2009 (adaptado).
","
Os  mapas  representam  distintos  padrões  de  distribuição  de  processos  socioespaciais.  Nesse  sentido,  a  menor 
incidência de disputas territoriais envolvendo povos indígenas se explica pela
","{'A': '  fertilização natural dos solos.\n', 'B': '  expansão da fronteira agrícola.\n', 'C': '  intensifi cação da migração de retorno.\n', 'D': '  homologação de reservas extrativistas.\n', 'E': '  concentração histórica da urbanização.\n'}",{'E': '  concentração histórica da urbanização.\n'},No,No,No,Yes,No,No,Yes,,,,,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,AZUL,
2,2013,"
Trata-se de um gigantesco movimento de construção de cidades, necessário para o assentamento residencial 
dessa população, bem como de suas necessidades de trabalho, abastecimento, transportes, saúde, energia, água 
etc. Ainda  que  o  rumo  tomado  pelo  crescimento  urbano  não  tenha  respondido  satisfatoriamente  a  todas  essas 
necessidades, o território foi ocupado e foram construídas as condições para viver nesse espaço.

MARICATO, E. Brasil, cidades: alternativas para a crise urbana. Petrópolis: Vozes, 2001.
","
A  dinâmica  de  transformação  das  cidades  tende  a  apresentar  como  consequência  a  expansão  das  áreas 
periféricas pelo(a) 
","{'A': '  crescimento da população urbana e aumento da especulação imobiliária.\n', 'B': '  direcionamento maior do fl uxo de pessoas, devido à existência de um grande número de serviços.\n', 'C': '  delimitação de áreas para uma ocupação organizada do espaço físico, melhorando a qualidade de vida.\n', 'D': '  implantação de políticas públicas que promovem a moradia e o direito à cidade aos seus moradores.\n', 'E': '  reurbanização de moradias nas áreas centrais, mantendo o trabalhador próximo ao seu emprego, diminuindo os deslocamentos para a periferia.\n\n'}",{'A': '  crescimento da população urbana e aumento da especulação imobiliária.\n'},No,No,Yes,No,No,No,No,,,,,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,AZUL,"[gpt-3.5-turbo: {
    ""E"": ""  reurbanização de moradias nas áreas centrais, mantendo o trabalhador próximo ao seu emprego, diminuindo os deslocamentos para a periferia.\\n\\n""
}]"
3,2013,"
No dia 1º de julho de 2012, a cidade do Rio de Janeiro 
tornou-se  a  primeira  do  mundo  a  receber  o  título  da 
Unesco de Patrimônio Mundial como Paisagem Cultural. 
A candidatura, apresentada pelo Instituto do Patrimônio 
Histórico  e  Artístico  Nacional  (Iphan),  foi  aprovada 
durante a 36ª Sessão do Comitê do Patrimônio Mundial. 
O presidente do Iphan explicou que “a paisagem carioca 
é a imagem mais explícita do que podemos chamar de 
civilização  brasileira,  com  sua  originalidade,  desafios, 
contradições  e  possibilidades”.  A  partir  de  agora,  os 
locais da cidade valorizados com o título da Unesco serão 
alvo de ações integradas visando a preservação da sua 
paisagem cultural.

Disponível em: www.cultura.gov.br. Acesso em: 7 mar. 2013 (adaptado).
","
O  reconhecimento  da  paisagem  em  questão  como 
patrimônio mundial deriva da
","{'A': '  presença do corpo artístico local.\n', 'B': '  imagem internacional da metrópole.\n', 'C': '  herança de prédios da ex-capital do país.\n', 'D': '  diversidade de culturas presente na cidade.\n', 'E': '  relação sociedade-natureza de caráter singular.\n'}",{'E': '  relação sociedade-natureza de caráter singular.\n'},No,No,Yes,No,No,Yes,No,,,,,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,AZUL,"[gpt-3.5-turbo: {
    ""E"": ""  relação sociedade-natureza de caráter singular.\\n""
}]"
4,2013,"TEXTO I

Há  já  algum  tempo  eu  me  apercebi  de  que,  desde 
meus  primeiros  anos,  recebera  muitas  falsas  opiniões 
como verdadeiras, e de que aquilo que depois eu fundei 
em princípios tão mal assegurados não podia ser senão 
mui duvidoso e incerto. Era necessário tentar seriamente, 
uma vez em minha vida, desfazer-me de todas as opiniões 
a que até então dera crédito, e começar tudo novamente 
a fim de estabelecer um saber firme e inabalável.

DESCARTES, R. Meditações concernentes à Primeira Filosofia. 
São Paulo: Abril Cultural, 1973 (adaptado).

TEXTO II

É  o  caráter  radical  do  que  se  procura  que  exige  a 
radicalização  do  próprio  processo  de  busca.  Se  todo  o 
espaço  for  ocupado  pela  dúvida,  qualquer  certeza  que 
aparecer a partir daí terá sido de alguma forma gerada 
pela  própria  dúvida,  e  não  será  seguramente  nenhuma 
daquelas  que  foram  anteriormente  varridas  por  essa 
mesma dúvida.
SILVA, F. L. Descartes: a metafísica da modernidade. São Paulo: Moderna, 2001 (adaptado).
","
A exposição e a análise do projeto cartesiano indicam que, 
para  viabilizar  a  reconstrução  radical  do  conhecimento, 
deve-se
","{'A': '  retomar o método da tradição para edificar a ciência \n\ncom legitimidade.\n\n', 'B': '  questionar  de  forma  ampla  e  profunda  as  antigas \n\nideias e concepções.\n\n', 'C': '  investigar os conteúdos da consciência dos homens \n\nmenos esclarecidos.\n\n', 'D': '  buscar  uma  via  para  eliminar  da  memória  saberes \n\nantigos e ultrapassados.\n\n', 'E': '  encontrar \n\nideias  e  pensamentos  evidentes  que \n\ndispensam ser questionados.\n\n\n\n'}",{'B': '  questionar  de  forma  ampla  e  profunda  as  antigas \n\nideias e concepções.\n\n'},No,No,No,No,No,Yes,No,,,,,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,AZUL,
5,2013,"
De  ponta  a  ponta,  é  tudo  praia-palma,  muito  chã  e 
muito  formosa.  Pelo  sertão  nos  pareceu,  vista  do  mar, 
muito  grande,  porque,  a  estender  olhos,  não  podíamos 
ver  senão  terra  com  arvoredos,  que  nos  parecia  muito 
longa. Nela, até agora, não pudemos saber que haja ouro, 
nem prata, nem coisa alguma de metal ou ferro; nem lho 
vimos.  Porém  a  terra  em  si  é  de  muito  bons  ares  [...]. 
Porém o melhor fruto que dela se pode tirar me parece 
que será salvar esta gente.

Carta de Pero Vaz de Caminha. In: MARQUES, A.; BERUTTI, F.; FARIA, R. 
História moderna através de textos. São Paulo: Contexto, 2001.
","
A  carta  de  Pero  Vaz  de  Caminha  permite  entender  o 
projeto  colonizador  para  a  nova  terra.  Nesse  trecho,  o 
relato enfatiza o seguinte objetivo:
","{'A': '  Valorizar  a  catequese  a  ser  realizada  sobre  os \n\npovos nativos.\n\n', 'B': '  Descrever  a  cultura \n\nprosperidade portuguesa.\n\nlocal  para  enaltecer  a \n\n', 'C': '  Transmitir  o  conhecimento  dos  indígenas  sobre  o \n\npotencial econômico existente.\n\n', 'D': '  Realçar  a  pobreza  dos  habitantes  nativos  para \n\ndemarcar a superioridade europeia.\n\n', 'E': '  Criticar  o  modo  de  vida  dos  povos  autóctones  para \n\nevidenciar a ausência de trabalho.\n\n'}",{'A': '  Valorizar  a  catequese  a  ser  realizada  sobre  os \n\npovos nativos.\n\n'},No,No,No,No,No,Yes,No,,,,,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,AZUL,"[gpt-3.5-turbo: {
    ""A"": ""  Valorizar  a  catequese  a  ser  realizada  sobre  os \\n\\npovos nativos.\\n\\n""
}]"
6,2013,"
O canto triste dos conquistados: 
os últimos dias de Tenochtitlán 

Nos caminhos jazem dardos quebrados;
os cabelos estão espalhados.
Destelhadas estão as casas,
Vermelhas estão as águas, os rios, como se alguém 
as tivesse tingido,
Nos escudos esteve nosso resguardo,
mas os escudos não detêm a desolação...

PINSKY, J. et al. História da América através de textos. 
São Paulo: Contexto, 2007 (fragmento).   
","
O  texto  é  um  registro  asteca,  cujo  sentido  está 
relacionado ao(à)
","{'A': '  tragédia  causada  pela  destruição  da  cultura \n\ndesse povo.\n\n', 'B': '  tentativa frustrada  de  resistência  a  um  poder \n\nconsiderado superior.\n\n', 'C': '  extermínio  das  populações Exército espanhol.\n\nindígenas  pelo \n\n', 'D': '  dissolução  da  memória  sobre  os  feitos  de  seus \n\nantepassados.\n\n', 'E': '  profetização  das  consequências  da  colonização \n\nda América.\n\n'}",{'B': '  tentativa frustrada  de  resistência  a  um  poder \n\nconsiderado superior.\n\n'},No,No,No,No,No,Yes,No,,,,,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,AZUL,"[gpt-3.5-turbo: {
    ""B"": "" tentativa frustrada  de  resistência  a  um  poder \n\nconsiderado superior.\n\n""
}]"
7,2013,"
Taxa de fecundidade total – Brasil – 1940-2010


IBGE. Censo demográfico 2010: resultados gerais da amostra.
Disponível em: ftp://ftp.ibge.gov.br. Acesso em: 12 mar. 2013.
","
O  processo  registrado  no  gráfico  gerou  a  seguinte 
consequência demográfica:
","{'A': '  Decréscimo da população absoluta.\n', 'B': '  Redução do crescimento vegetativo.\n', 'C': '  Diminuição da proporção de adultos.\n', 'D': '  Expansão de políticas de controle da natalidade.\n', 'E': '  Aumento da renovação da população economicamente ativa.\n\n'}",{'B': '  Redução do crescimento vegetativo.\n'},No,No,No,Yes,No,No,Yes,,,,,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,AZUL,
8,2013,"
As  Brigadas 

Internacionais 

foram  unidades  de 
combatentes formadas por voluntários de 53 nacionalidades 
dispostos  a  lutar  em  defesa  da  República  espanhola. 
Estima-se  que  cerca  de  60  mil  cidadãos  de  várias 
partes do mundo – incluindo 40 brasileiros – tenham se 
incorporado a essas unidades. Apesar de coordenadas 
pelos  comunistas,  as  Brigadas  contaram  com 
membros  socialistas,  liberais  e  de  outras  correntes 
político-ideológicas.

SOUZA, I. I. A Guerra Civil Europeia. História Viva, n. 70, 2009 (fragmento).
","
A Guerra Civil Espanhola expressou as disputas em curso 
na  Europa  na  década  de  1930.  A  perspectiva  política 
comum que promoveu a mobilização descrita foi o(a)
","{'A': '  crítica ao stalinismo.\n', 'B': '  combate ao fascismo.\n', 'C': '  rejeição ao federalismo.\n', 'D': '  apoio ao corporativismo.\n', 'E': '  adesão ao anarquismo.\n\n'}",{'B': '  combate ao fascismo.\n'},No,No,Yes,No,No,No,No,,,,,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,AZUL,"[gpt-3.5-turbo: {
    ""B"": ""  combate ao fascismo.\\n""
}]"
9,2013,"
De  todas  as  transformações  impostas  pelo  meio 
técnico-científico-informacional à logística de transportes, 
interessa-nos  mais  de  perto  a  intermodalidade.  E  por 
uma razão muito simples: o potencial que tal “ferramenta 
logística” ostenta permite que haja, de fato, um sistema de 
transportes condizente com a escala geográfica do Brasil.
HUERTAS, D. M. O papel dos transportes na expansão recente da fronteira agrícola brasileira. 
Revista Transporte y Territorio, Universidade de Buenos Aires, n. 3, 2010 (adaptado).
","
A necessidade de modais de transporte interligados, no 
território brasileiro, justifica-se pela(s)
","{'A': '  variações  climáticas  no território,  associadas  à \ninteriorização da produção.\n\n', 'B': '  grandes distâncias e a busca da redução dos custos \n\nde transporte.\n\n', 'C': '  formação geológica do país, que impede o uso de um \n\núnico modal.\n\n', 'D': '  proximidade  entre  a  área  de  produção  agrícola \n\nintensiva e os portos.\n\n', 'E': '  diminuição  dos  fluxos  materiais  em  detrimento  de \n\nfluxos imateriais.\n\n'}",{'B': '  grandes distâncias e a busca da redução dos custos \n\nde transporte.\n\n'},No,No,Yes,No,No,Yes,No,,,,,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,AZUL,"[gpt-3.5-turbo: {
    ""B"": ""  grandes distâncias e a busca da redução dos custos \\n\\nde transporte.\\n\\n""
}]"
10,2013,"
Nasce daqui uma questão: se vale mais ser amado 
que  temido  ou  temido  que  amado.  Responde-se  que 
ambas  as  coisas  seriam  de  desejar;  mas  porque  é 
difícil  juntá-las,  é  muito  mais  seguro  ser  temido  que 
amado,  quando  haja  de  faltar  uma  das  duas.  Porque 
dos  homens  se  pode  dizer,  duma  maneira  geral,  que 
são ingratos, volúveis, simuladores, covardes e ávidos 
de  lucro,  e  enquanto  lhes  fazes  bem  são  inteiramente 
teus, oferecem-te o sangue, os bens, a vida e os filhos, 
quando,  como  acima  disse,  o  perigo  está  longe;  mas 
quando ele chega, revoltam-se.

MAQUIAVEL, N. O príncipe. Rio de Janeiro: Bertrand, 1991.
","
A partir da análise histórica do comportamento humano 
em suas relações sociais e políticas, Maquiavel define o 
homem como um ser
","{'A': '  munido de virtude, com disposição nata a praticar \n\no bem a si e aos outros.\n\n', 'B': '  possuidor  de  fortuna,  valendo-se  de  riquezas \n\npara alcançar êxito na política.\n\n', 'C': '  guiado por interesses, de modo que suas ações \n\nsão imprevisíveis e inconstantes.\n\n', 'D': '  naturalmente  racional,  vivendo  em  um  estado \n\npré-social e portando seus direitos naturais.\n\n', 'E': '  sociável  por  natureza,  mantendo relações \n\npacíficas com seus pares.\n\n\n\n'}","{'C': '  guiado por interesses, de modo que suas ações \n\nsão imprevisíveis e inconstantes.\n\n'}",No,No,Yes,No,No,Yes,No,,,,,CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS,AZUL,"[gpt-3.5-turbo: {
    ""C"": ""  guiado por interesses, de modo que suas ações \\n\\nsão imprevisíveis e inconstantes.\\n\\n""
}]"
